,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_001145953,5338.903,4971.758,4952.428,4626.447,5667.872,5606.107,4886.851,4958.647,2044.645,1898.305,1675.792,1584.684,4679.378,3634.891,3640.29,3217.08,4702.559,3953.057,4055.875,3528.936
NM_080559,2558.355,2876.904,2215.658,2504.599,3523.019,4289.815,3027.875,3675.446,1921.38,1717.728,1682.66,1597.535,2352.628,2196.292,1895.723,1869.843,3233.478,3314.069,2444.883,2665.038
NM_133796,2194.036,2358.792,1975.009,2130.251,2560.912,2566.034,2328.365,2318.152,1950.213,1887.956,1757.355,1758.199,2104.789,2153.147,1811.5,1860.189,2870.436,2872.049,2454.652,2408.565
NM_008495,3014.927,2399.49,2735.308,2156.424,2387.284,2018.877,1974.909,1754.945,1911.985,2238.379,1650.403,1735.504,1436.471,844.862,1055.035,721.043,2378.785,1885.017,1933.07,1705.403
NM_009735,1850.973,2200.594,1816.082,1927.791,1790.025,2349.788,1652.53,2012.987,3173.779,3100.112,2902.012,2790.874,2570.895,3707.592,2465.559,3457.559,1390.246,1774.771,1144.546,1578.33
NM_011313,2046.782,1857.625,1760.32,1427.854,1777.81,2210.154,1487.494,1838.42,1370.266,1626.661,1309.801,1390.486,1201.415,667.126,886.163,598.441,1868.534,1767.311,1786.316,1399.718
NM_007687,1952.065,1728.705,1736.014,1560.314,2000.259,1728.978,1873.686,1595.714,1447.866,1473.721,1297.935,1292.413,1427.188,1169.036,1224.188,1078.861,2166.691,1943.391,1852.332,1647.622
NM_011865,1766.186,1705.919,1750.94,1586.34,1913.176,1740.134,2068.306,1692.383,1238.832,1376.384,1246.985,1419.392,1675.575,1568.509,1609.515,1439.821,2381.723,1864.946,2036.156,1671.883
NM_011662,1671.949,1460.609,1557.202,1302.806,1464.637,1537.562,1205.011,1260.38,967.333,1054.358,809.972,846.175,1281.678,1113.712,1018.578,913.978,1495.96,1429.353,1216.875,1255.229
NM_178598,1055.782,944.298,973.751,902.422,1046.566,1074.304,1036.813,1081.055,676.327,732.095,625.397,648.963,948.399,906.536,883.171,856.295,1299.848,1442.604,1218.724,1329.934
NM_007763,2597.582,1678.366,2305.979,1362.846,1215.389,820.671,1042.038,714.88,571.363,789.304,448.078,575.01,791.324,283.474,560.381,254.188,3516.432,2821.014,2885.969,2405.269
NM_016774,820.574,900.917,753.272,818.74,944.173,954.811,843.234,877.967,923.03,960.185,846.542,841.971,702.335,773.54,614.676,708.98,1218.779,1119.359,1068.385,1042.56
NM_009415,867.177,864.662,658.313,652.793,749.901,976.642,614.132,942.995,600.761,690.979,498.503,514.972,614.211,529.047,471.927,465.484,728.835,1035.17,634.217,834.795
NM_001166590,726.157,610.019,713.712,577.374,922.927,773.179,840.659,741.868,1046.771,1220.09,926.575,1071.139,709.966,718.428,554.423,658.035,1285.847,1111.839,1165.392,965.837
NM_010496,1288.295,1166.911,1646.274,1402.294,880.887,805.017,1013.588,931.309,589.43,625.684,908.671,839.524,805.501,752.36,1399.826,1111.821,468.653,423.921,715.037,770.92
