,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_008562,1538.876,1560.307,2290.213,1905.397,1299.422,1384.546,2286.877,2064.103,940.766,853.463,1358.435,1363.478,1340.114,936.516,1721.811,1088.847,1026.125,1195.196,1048.901,1144.425
NM_031868,904.085,883.441,798.603,751.45,988.059,979.937,815.919,807.554,879.01,947.013,752.629,856.121,820.457,775.548,645.82,683.284,968.654,899.3,803.318,785.516
NM_009883,839.226,704.127,2422.256,1095.544,875.822,807.461,3089.131,1311.099,933.371,1062.234,1640.093,2155.671,1943.439,1905.814,2777.409,2225.203,1202.929,1139.88,2114.293,1325.857
NM_009095,713.226,636.605,637.859,552.45,770.882,740.88,687.273,664.774,650.722,786.621,573.643,649.238,755.892,776.907,571.051,681.607,675.869,669.489,623.957,592.447
NM_011099,742.125,606.619,582.055,476.573,655.109,650.78,563.337,600.999,715.722,761.977,644.404,657.637,588.215,621.451,501.953,537.324,544.551,737.964,476.165,587.398
NM_001164598,377.396,380.531,257.956,234.116,470.532,517.185,303.303,307.639,314.634,310.007,147.534,206.685,420.291,395.351,176.036,202.876,465.843,502.854,185.176,228.555
NM_008416,500.053,448.011,5702.492,3961.175,457.844,454.725,5866.472,3931.464,480.283,574.118,2196.614,2880.601,598.228,417.334,2794.073,2080.909,984.957,773.575,4999.065,4047.822
NM_146035,426.905,371.382,317.494,314.502,449.358,414.774,367.094,319.58,406.882,402.03,301.497,307.289,324.038,309.402,239.406,247.692,423.552,364.423,309.28,282.228
NM_026353,297.244,367.642,249.89,313.599,353.276,391.19,277.997,310.79,363.596,313.834,308.475,257.846,275.551,395.994,204.116,312.546,375.831,339.742,282.204,262.284
NM_010591,442.702,333.782,510.528,1067.037,448.36,291.76,534.645,838.572,348.144,367.112,397.451,411.669,545.241,263.875,796.619,1125.655,197.318,121.884,555.011,650.817
