,Category,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
4910,H,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,54/390,200/4383,1.24440742229151e-14,6.09759636922838e-13,4.84663943418797e-13,KLK10/CDH1/KRT13/TRIM29/FGFR3/SCNN1A/GJB3/MAPK13/LSR/ST14/CA2/AGR2/CELSR2/NMU/KLK11/TSPAN13/LAMC2/ST6GALNAC2/FRK/HSPB8/PKP3/TFAP2C/TJP3/FLNB/TIAM1/KLF4/PERP/SLC7A5/NRIP1/SNX10/SULT2B1/ATP2B4/OVOL2/ADD3/TPD52L1/CKB/CD9/EGR3/SLC27A2/LLGL2/ISG20/ID2/SFN/HOMER2/SLC9A3R1/CYP4F11/CLIC3/ANXA9/PTPN6/S100A9/FABP5/PPIF/EMP2/FAM102A,54
4911,H,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,50/390,200/4383,3.35614862766102e-12,8.22256413776949e-11,6.53565785386619e-11,KLK10/KRT13/AQP3/SCNN1A/ELF3/KRT18/CELSR2/MREG/ZNF185/CLDN7/SLC2A1/CALB2/LAD1/DHRS3/FRK/KRT15/HSPB8/TFAP2C/TJP3/KRT8/FLNB/HES1/TIAM1/KLF4/SLC7A5/P2RY2/NRIP1/MAST4/WWC1/PMAIP1/ENDOD1/SULT2B1/OVOL2/ADD3/ABLIM1/TPD52L1/IGF1R/RHOD/EGR3/SLC27A2/CANT1/SFN/UGCG/SLC9A3R1/CLIC3/ANXA9/PPIF/AKAP1/TGM2/FAM102A,50
4912,H,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,44/390,200/4383,6.15708275596762e-09,1.00565685014138e-07,7.99340568318603e-08,SERPINB2/IL18/IL1A/LAMB3/HBEGF/EFNA1/IFIH1/HES1/MXD1/CFLAR/KLF4/DDX58/BMP2/IL1B/PLAUR/SERPINB8/PTGS2/SDC4/SNN/CXCL10/SPHK1/EGR3/MAP3K8/CCL5/FOSL2/LIF/GCH1/MAFF/B4GALT5/PLAU/ID2/LITAF/SPSB1/EDN1/SMAD3/PLK2/CXCL11/RIPK2/REL/ZC3H12A/F2RL1/CXCL1/BIRC3/TNIP1,44
4913,H,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,38/390,200/4383,3.66524921470855e-06,4.48993028801797e-05,3.56879528800569e-05,HERC6/TNFSF10/IFI27/UPP1/ISG15/MX1/IFIH1/PLSCR1/PIM1/DDX58/RSAD2/SLAMF7/RTP4/IL4R/TDRD7/PTGS2/IFIT1/CASP1/CXCL10/MYD88/IRF7/AUTS2/CCL5/ISG20/GCH1/OAS3/PARP12/OASL/IRF5/USP18/APOL6/OAS2/CASP4/BST2/CXCL11/RIPK2/VAMP8/PTPN6,38
4914,H,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,23/390,97/4383,8.24208086006114e-06,8.07723924285991e-05,6.42014719625815e-05,HERC6/IFI27/SAMD9/ISG15/MX1/IFIH1/PLSCR1/RSAD2/OAS1/RTP4/IL4R/TDRD7/CASP1/CXCL10/IRF7/ISG20/PARP12/OASL/USP18/BST2/CXCL11/RIPK2/LAMP3,23
4915,H,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,34/390,200/4383,0.00013254092281615,0.000927786459713049,0.000737445735969556,IL18/IL1A/TNFSF10/ITGB8/HBEGF/MXD1/IL1B/PLAUR/RTP4/IL4R/P2RY2/GNA15/SLC31A2/CXCL10/FZD5/SPHK1/LYN/CD55/IRF7/TLR1/CCL5/LIF/GCH1/ABI1/EDN1/NOD2/PTAFR/SEMA4D/BST2/CXCL11/RIPK2/ADM/SLC11A2/LAMP3,34
4916,H,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,34/390,200/4383,0.00013254092281615,0.000927786459713049,0.000737445735969556,SLPI/MAP7/MMP10/CA2/MALL/HBEGF/TSPAN1/HDAC9/TSPAN13/ALDH1A3/KLF4/JUP/BMP2/IL1B/PLAUR/PTGS2/GALNT3/MMP9/PCSK1N/ITGA2/CXCL10/SOX9/PRDM1/EMP1/STRN/PTPRR/LIF/PLAU/ID2/MYCN/LAT2/F2RL1/BIRC3/WNT7A,34
4917,H,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,33/390,199/4383,0.000270264866869701,0.00165537230957692,0.00131576316765512,TNFSF10/CA2/IRF6/MYO1E/DHRS3/PRKCH/SYNGR2/IL1R2/PLSCR1/NDRG1/MXD1/TIAM1/PIM1/BMP2/IL4R/HK2/TNFRSF21/SMPDL3A/CXCL10/IGF1R/GABARAPL1/ITGA6/EMP1/MAP3K8/SLC39A8/FURIN/LIF/MAFF/IL1RL1/TGM2/RRAGD/ADAM19/CCNE1,33
4918,H,HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,31/390,200/4383,0.00134226729148008,0.00730789969805819,0.00580864208008921,KLK8/TGFA/IL1A/ST14/KRT17/HBEGF/SDC1/TM4SF1/UPP1/VDR/NDRG1/MXD1/KLF4/BMP2/PERP/CEBPA/CASP1/TPD52L1/SPHK1/WWP1/GLS2/CTSD/ZNF365/LIF/SFN/CDK5R1/PLK2/VAMP8/DEF6/BAIAP2/EPS8L2,31
4919,H,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,29/390,200/4383,0.00520918526751592,0.025525007810828,0.0202884057787462,CDH1/CDH3/MAPK13/COL17A1/LAMB3/SYK/CLDN7/PCDH1/GRB7/CALB2/CDSN/CLDN4/LAMC2/DSC3/LAMA3/JUP/DLG1/SIRPA/MPZL1/CTNND1/MMP9/ITGA2/MPP5/ACTN4/RHOF/SRC/RASA1/BAIAP2/AMIGO2,29
4920,H,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,28/390,200/4383,0.00968417348855065,0.0431385909944529,0.0342884611556339,SERPINB2/CA2/RABIF/PLSCR1/PIM1/PLAUR/DOCK9/CTSC/PLA2G7/CASP1/TIMP2/LYN/CD55/IRF7/CTSH/GCA/CCL5/LAMP2/CTSD/MAFF/PRSS3/CDK5R1/CASP4/SRC/S100A9/CDA/GATA3/CXCL1,28
