,x,y,PAM50,Cohort,Class,color
BRCA-A1OV-01A,9.81862162279465,-12.0653843380546,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1P7-01A,3.01197188118995,-23.0692407564229,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A1P1-01A,-3.96605277402291,-22.9344789816774,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A1PG-01A,-11.8296703294173,-11.1441058326525,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A5RW-01A,20.7617474792101,2.43861891983323,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A07R-01A,24.3191059034705,7.7431903894193,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A5QP-01A,-8.61572747630071,-4.9092310232498,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5QM-01A,-8.52335974613717,-5.52801321399409,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A041-01A,-5.57330307144513,3.20726949464637,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A26W-01A,1.07213135917995,-2.62654899119321,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0XP-01A,-10.9208083219568,8.26751158077435,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0FZ-01A,-3.581649074944,11.0321661750146,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A134-01A,22.8934102632734,-4.13969506037367,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A130-01A,7.25231154510542,2.92968304465804,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1HN-01A,4.87378644764387,13.1713353999559,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A138-01A,2.25548663548529,-5.91727917701602,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0AK-01A,12.6026050012082,16.3296991328196,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1HL-01A,2.34158744546897,4.87387613316425,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A12L-01A,14.3641815707391,4.68788649543831,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1HE-01A,-12.8603198104026,7.03900244532847,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A6IV-01A,-5.80397622331316,-15.0676965046311,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1XA-01A,-4.92806652299182,7.94431255587649,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1IH-01A,-5.95816175445675,-16.6251300591382,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A105-01A,1.20501735977173,14.8752037697336,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1KF-01A,16.461364054983,10.7453328363715,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A42T-01A,4.68905210293655,3.13687133930498,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A24P-01A,-8.52474506676282,-2.37967923431863,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0TR-01A,-9.8994418297287,20.6571756213825,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0XV-01A,-8.63151397297513,-4.41291505017043,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0XW-01A,-0.641441960214929,-11.2243158378866,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A18T-01A,24.9741757674702,5.64255205003847,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A145-01A,-13.8732880445384,-7.07748552784265,LumA,TCGA,LumA_TCGA,#FB9A99
