"","logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype"
"HALLMARK_COAGULATION",-0.302359602962624,-0.085350279044324,-11.7241892635364,8.29534214351843e-24,4.14767107175922e-22,43.351525111721,6
"HALLMARK_ALLOGRAFT_REJECTION",0.188564119336868,-0.080079564027651,9.05491198229304,2.61213355828093e-16,6.53033389570232e-15,26.2373241066748,6
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.210275608160021,-0.168621788444912,8.98580045022407,4.0187500007009e-16,6.69791666783483e-15,25.8112283277323,6
"HALLMARK_MYC_TARGETS_V1",0.235174602975472,-0.261808199395086,7.70480262416822,9.31454007671683e-13,1.1643175095896e-11,18.1610158353884,6
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.256878358064106,-0.140266055845452,7.54591659535901,2.34832188846074e-12,2.34832188846074e-11,17.2501516008874,6
"HALLMARK_SPERMATOGENESIS",-0.17428144414505,0.00216982645284502,-6.89695935179245,9.27992520561021e-11,7.73327100467517e-10,13.6346480527686,6
"HALLMARK_HEME_METABOLISM",-0.123147904481092,-0.122546644225125,-6.19246521649517,4.08940632754516e-09,2.92100451967511e-08,9.92530808476677,6
"HALLMARK_HYPOXIA",0.168915921552226,-0.0787840628268128,6.16661353691623,4.67772692116217e-09,2.92357932572635e-08,9.79392254419716,6
"HALLMARK_ANGIOGENESIS",-0.410733304259876,-0.168674399467759,-5.76083070556838,3.68726272924318e-08,1.91339282646173e-07,7.77910829852155,6
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.150557490475367,-0.286816423459789,5.75337041017313,3.82678565292345e-08,1.91339282646173e-07,7.74292672952398,6
"HALLMARK_MYOGENESIS",-0.13178854654494,-0.0712917184032062,-5.01582942994479,1.28692923267362e-06,5.84967833033463e-06,4.33097999688982,6
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-0.139187765130565,-0.0513671668662485,-4.8288796327525,2.97859033191908e-06,1.24107930496628e-05,3.52100915668125,6
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.119325221692405,-0.0876526365529968,4.66377845214633,6.13543748220789e-06,2.35978364700304e-05,2.8253157314291,6
"HALLMARK_INFLAMMATORY_RESPONSE",0.0985787152799523,-0.0188275241572888,4.36007305507107,2.21228801088281e-05,7.90102861029576e-05,1.59532383179362,6
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.125813951888424,-0.115580484818659,4.09211782810366,6.5113938449616e-05,0.00021704646149872,0.565650733120848,6
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0883382749230328,-0.0305787027856569,3.52517232836184,0.000540048105652811,0.00168765033016504,-1.43198480643489,6
"HALLMARK_MTORC1_SIGNALING",0.08040771944393,-0.165964074936616,3.45734782762312,0.000684636561854744,0.0020136369466316,-1.65385077795526,6
"HALLMARK_APICAL_JUNCTION",-0.0889078772994239,0.0481526869785123,-3.42385727766773,0.000768738193908823,0.00213538387196895,-1.76201851840689,6
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.0786087883361963,-0.0149450007792588,-3.37827672382667,0.000898813479646688,0.00236529863064918,-1.90775416701668,6
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-0.116338980562763,-0.252847494022617,-3.08245754564924,0.00238513200549556,0.00596283001373889,-2.81151098874472,6
"HALLMARK_IL2_STAT5_SIGNALING",0.0563783391175483,-0.10214195703853,2.77004982544896,0.00620897729265318,0.0147832792682219,-3.6849185121099,6
"HALLMARK_MITOTIC_SPINDLE",-0.0491553843741099,-0.0449871292906631,-2.63888452774034,0.00906726198627905,0.0206074136051797,-4.0261893746188,6
"HALLMARK_GLYCOLYSIS",0.057961376563312,-0.0529705167117276,2.56610295025624,0.0111212861348096,0.0241767089887166,-4.2089615542884,6
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0540633793258203,-0.0543664298833702,2.48581974595645,0.0138622056804932,0.0288795951676941,-4.40506730433316,6
"HALLMARK_ANDROGEN_RESPONSE",-0.0754967052303477,-0.165797022384006,-2.3969697840978,0.0175829247957954,0.0351658495915909,-4.61532037320321,6
"HALLMARK_G2M_CHECKPOINT",-0.0491512129556537,-0.0798880185856704,-2.30972990680543,0.0220690572469715,0.0424404947057144,-4.81478465083301,6
"HALLMARK_MYC_TARGETS_V2",0.0736640302984276,-0.121182284820702,2.24812638088606,0.0258143988699899,0.0478044423518331,-4.95144223263096,6
