tumor	size	gene	AVG_EXPR	ORR
ACC	79	MON2	10.1809570399554	0.062
BLCA	408	MON2	9.46912211029771	0.18
BRCA	1104	MON2	10.053792170279	0.057
CESC	307	MON2	9.6502195351761	0.2
COAD_MSS	271	MON2	9.20581254197794	0
COAD_MSI	159	MON2	9.23979982698253	0.39
ESCA	185	MON2	10.1858738752909	0.11
GBM	167	MON2	9.61723974175082	0.087
HNSC	522	MON2	9.62496226324869	0.15
KIRC	534	MON2	10.1872357433466	0.24
LIHC	373	MON2	9.56036130880132	0.18
LUAD	517	MON2	9.78125799064306	0.17
LUSC	502	MON2	9.72518015294292	0.17
MESO	87	MON2	10.1062402871982	0.13
OV	308	MON2	9.2755637407026	0.099
PAAD	179	MON2	9.77693295934186	0
PRAD	498	MON2	10.1036738285015	0.075
SARC	263	MON2	9.68957674554169	0.093
SKCM	473	MON2	9.61166719023625	0.37
UCEC	533	MON2	9.41239047844565	0.13
UVM	80	MON2	8.75140336415978	0.036
