specificSubtype	otherSubtype	EnrichScore	tissue
hM01_Mast-TPSAB1	hM01_Mast-TPSAB1	-1.97999866495977	normal
hM01_Mast-TPSAB1	hM02_pDC-LILRA4	-0.558451945560296	normal
hM01_Mast-TPSAB1	hM03_cDC2-CD1C	-1.10008948075331	normal
hM01_Mast-TPSAB1	hM04_cDC1-BATF3	-1.47136796777977	normal
hM01_Mast-TPSAB1	hM08_Macro-NLRP3	-0.891039020812063	normal
hM01_Mast-TPSAB1	hM12_TAM-C1QC	0.188756089669266	normal
hM01_Mast-TPSAB1	hT04_CD4-TCF7	1.28310952374775	normal
hM01_Mast-TPSAB1	hT05_CD4-CXCR6	1.19294084191012	normal
hM01_Mast-TPSAB1	hT06_CD4-CXCR5	0.853993796912722	normal
hM01_Mast-TPSAB1	hT15_CD8-GZMK	0.665380933798792	normal
hM01_Mast-TPSAB1	hT16_CD8-CD6	0.430493502895864	normal
hM01_Mast-TPSAB1	hT17_CD8-CD160	-0.114227896665414	normal
hM01_Mast-TPSAB1	hI02_NK-GZMK	0.1600125156059	normal
hM01_Mast-TPSAB1	hI04_ILC3-SLC4A10	-0.551011061683984	normal
hM01_Mast-TPSAB1	hB02_GALTB-IgA	-0.815234150345675	normal
hM01_Mast-TPSAB1	hB03_FollicularB-IgD	-0.19083872979542	normal
hM01_Mast-TPSAB1	hB05_GCBCell-LRMP	-1.2249441859786	normal
hM01_Mast-TPSAB1	hB01_PlasmaB-IgG	-0.738017992230216	normal
hM01_Mast-TPSAB1	hF01_Myofib-ACTA2	1.29234183216218	normal
hM01_Mast-TPSAB1	hF02_CAF-FAP	2.23308304961271	normal
hM01_Mast-TPSAB1	hM13_TAM-SPP1	-0.557032361068881	normal
hM01_Mast-TPSAB1	hT07_CD4-GZMK	0.968191283591671	normal
hM01_Mast-TPSAB1	hT08_CD4-IL23R	0.863639510139281	normal
hM01_Mast-TPSAB1	hT09_CD4-CXCL13	0.524428235130566	normal
hM01_Mast-TPSAB1	hT11_CD4-CTLA4	-0.146445369698178	normal
hM01_Mast-TPSAB1	hT18_CD8-LAYN	-0.317672287845248	normal
hM02_pDC-LILRA4	hM01_Mast-TPSAB1	0.247161717244357	normal
hM02_pDC-LILRA4	hM02_pDC-LILRA4	-2.99386110261297	normal
hM02_pDC-LILRA4	hM03_cDC2-CD1C	-0.0952009230658427	normal
hM02_pDC-LILRA4	hM04_cDC1-BATF3	0.259371128570943	normal
hM02_pDC-LILRA4	hM08_Macro-NLRP3	-1.23662055885835	normal
hM02_pDC-LILRA4	hM12_TAM-C1QC	0.269090555800887	normal
