Barcode	CellName	Sample	Tissue	Platform	raw.nUMI	raw.nGene	filter.nUMI	filter.nGene	ribo.per	raw.nCD	raw.nTF	raw.nCyt	raw.nLR	Global_Cluster	Sub_Cluster	Sub_ClusterID	Global_tSNE_1	Global_tSNE_2	Sub_tSNE_1	Sub_tSNE_2	integrated.Global_tSNE_1	integrated.Global_tSNE_2
TCD45n-101-20180104	N_T_P0104_00001	P0104	T	Smart-seq2	361999.1204	1391	149874.8968	1245	0.003444564	36	63	8	72	Epithelial cell	hE06_UnIdent	hE06	-14.76538346	34.42721117	8.846055145	12.17788941	29.26295074	-17.99209216
TCD45n-10-20180104	N_T_P0104_00002	P0104	T	Smart-seq2	528956.2216	3498	379406.2269	3081	0.001964418	57	189	23	144	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.106840118	32.01859867	-5.121409165	19.14310967	31.02363109	-21.38808909
TCD45n-105-20180104	N_T_P0104_00003	P0104	T	Smart-seq2	393885.6709	1831	153265.5659	1602	0.006838209	32	90	16	97	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-11.12333014	30.97303245	1.468616522	17.17119296	30.2249619	-19.14593705
TCD45n-107-20180104	N_T_P0104_00004	P0104	T	Smart-seq2	633193.9909	1753	426985.2652	1559	0.000737945	32	80	15	85	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	-14.00933511	31.04038476	-0.626184709	16.51510874	30.20243345	-19.18595002
TCD45n-108-20180104	N_T_P0104_00005	P0104	T	Smart-seq2	511993.8998	5127	328379.3209	4369	0.025553353	86	271	26	212	Epithelial cell	hE03_Goblet-SPINK4	hE03	-1.466837463	36.11223377	1.219952822	4.973066549	26.18332743	-15.17558724
TCD45n-110-20180104	N_T_P0104_00006	P0104	T	Smart-seq2	467278.4418	5997	344493.0914	5083	0.00256629	102	339	25	243	Epithelial cell	hE03_Goblet-SPINK4	hE03	-1.490451825	34.27605593	-0.510011145	2.50391455	28.92772513	-21.04271289
TCD45n-111-20180104	N_T_P0104_00007	P0104	T	Smart-seq2	939155.6069	5419	794518.0006	4918	0.016703461	82	326	29	236	Fibroblast	hF01_Myofib-ACTA2	hF01	-27.19256893	33.13131404	-40.23128899	3.649741259	29.51718626	-9.511287373
TCD45n-112-20180104	N_T_P0104_00008	P0104	T	Smart-seq2	538802.3478	3581	367179.5842	3229	0.014373394	57	194	14	159	Fibroblast	hF01_Myofib-ACTA2	hF01	-29.64741689	34.41861516	-40.53896968	5.036285465	29.64375148	-9.728612453
TCD45n-115-20180104	N_T_P0104_00009	P0104	T	Smart-seq2	464776.1656	4077	336623.2459	3573	0.003787124	66	202	16	151	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.386327085	32.31345312	-4.768907921	19.60731594	30.74215793	-21.39932421
TCD45n-118-20180104	N_T_P0104_00010	P0104	T	Smart-seq2	506019.5507	4353	337582.1681	3833	0.002266126	68	211	20	176	Epithelial cell	hE02_Enterocyte-GUCA2B	hE02	2.848609096	32.57001761	-4.716875165	19.89244525	31.18634705	-21.45556632
