uid	pubdate	authors	title	fulljournalname	elocationid
40977462	2025 Sep 22	Liu SY, Lin LT, Chang CH, Chen YJ	Liposomal (188)Rhenium Plus Macrophage Depletion Enhances Anti-PD-L1 Efficacy and B Cell Infiltration Against Lung Metastatic Cancer.	Cancer science	doi: 10.1111/cas.70206
40976819	2025 Sep 21	ang M	Histone lactylation in gastrointestinal cancers: developing immunotherapeutic drugs targeting epigenetics.	Archives of pharmacal research	doi: 10.1007/s12272-025-01570-0
40976783	2025 Sep 22	Gao P, Zuo C, Yuan W, Cai J, Chai X, Gong R, Yu J, Yao L, Su W, Liu Z, Lin S, Wang Y, Cai M, Ma L, Li Q, Zhou P	Spatiotemporal multi-omics analysis uncovers NAD-dependent immunosuppressive niche triggering early gastric cancer.	Signal transduction and targeted therapy	doi: 10.1038/s41392-025-02390-w
40976299	2025 Sep 19	asemi K	C-C motif glycoprotein ligand 5 (CCL5) and its GPCR CCR5: Macromolecular game-changers in cancer biology.	International journal of biological macromolecules	doi: 10.1016/j.ijbiomac.2025.147737
40976049	2025 Sep 20	Zhu J, Zhang L, Hui X, Shang L, Ma J, Zhang Q	SMC4 promotes immune evasion by inhibiting endogenous interferon signaling and upregulating PD-L1 expression in triple negative breast cancer.	International immunopharmacology	doi: 10.1016/j.intimp.2025.115580
40975978	2025 Sep 20	Jing D, Chen B, Liang R, Li F, Zhao B, Pu F, Wu W	GBP1-CDK9-STAT3 signaling axis promotes osteosarcoma PD-L1 expression and immune escape.	Neoplasia (New York, N.Y.)	doi: 10.1016/j.neo.2025.101232
40975903	2025 Sep 20	Ferreira DL, Biojout T, Bazille C, Guyot M, Malandain L, Charrier L, Toutain J, Peres E, Valable S, Madelaine J, Levallet J, Levallet G, Bergot E	Amphiregulin reflects brain metastasis progression and leads to PD-L1 expression in non-small cell lung cancer cells.	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	doi: 10.1016/j.biopha.2025.118600
40975760	2025 Sep 20	Xian J, Pan X, Kang Y, Zheng L, Yin X, Zhang M, Wei Y, Tan J, Zhang M, Nie L, Chen X, Zeng H, Zhou Q, Chen N	Fumarate activates the IL-6/JAK/STAT3 pathway by inhibiting KDM4C-mediated H3K36me3 demethylation in FH-knockdown renal cancer cells.	British journal of cancer	doi: 10.1038/s41416-025-03195-y
40975344	2025 Sep 18	Xu Y, Qian T, Pan H, Gu Y, Xu M, Bai C, Chen W	Akkermansia muciniphila-derived outer membrane protein Amuc_1100 promotes acetylation of RING Finger Protein 181 promoter and mediates Autophagy Related 7 ubiquitination to activate CD8(+) T cells in lung adenocarcinoma.	International journal of biological macromolecules	doi: 10.1016/j.ijbiomac.2025.147773
40974690	2025 Sep 19	Yuan X, Li C, Zhang X, Feng X	Recurrent pregnancy loss: Crosstalk between immune cells, decidual cells, and cellular autophagy.	Reproductive biology	doi: 10.1016/j.repbio.2025.101083
40974651	2025 Sep 15	Nishibori S, Takeda Y, Igase M, Mizuno T	Engineering an Fc-inert feline IgG1 by targeted mutations: Application to anti-PD-1 antibody development.	Veterinary immunology and immunopathology	doi: 10.1016/j.vetimm.2025.111000
40974370	2025 Sep 20	Zhu J, Huang L, Bi S, Kong W, Feng W, Li Y, Xie Z, Shan P, Zhu S	Vitiligo Signature-Based Drug Screening Identifies Fulvestrant as a Novel Immunotherapy Combination Strategy.	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	doi: 10.1002/advs.202503979
40974147	2025 Sep 20	Cheng X, Jiang S, Peng X, Yang P, Zhang S, Xu C, Gao X, Fan S, Liu H, Zhuang J, Chen X, Liang N, Lin B, Lu Q, Chen M, Xiao Y, Zhu Z, Wang R, Hu K, Wu C	Multicyclic Peptides Targeting PD-L1 for Radiotheranostics: From Discovery to Clinical Proof-of-Concept.	Journal of the American Chemical Society	doi: 10.1021/jacs.5c11292
40973957	2025 Sep 19	Zhou R, Zhu YJ, He YH, Lin JJ, Zhang ZX, Zhao WJ, Ma HC, Chang XS, Chen YD, Li WZ, Chen X, Chai XS, Zhang HB	The association between acupuncture and response to immune checkpoint inhibitors in non-small cell lung cancer.	Chinese medicine	doi: 10.1186/s13020-025-01148-4
40973860	2025 Sep 19	Ji Y, Cui K, Zhang J, Wang J, Dai Z, Cui Y, Ge H, Zheng J, Yu D	ASO Visual Abstract: Noninvasive Prediction of PD-L1 Expression in LA-NSCLC by 18F-FDG PET/CT-Based Metabolic Habitats: A Multicenter Radiomic and Biological Study.	Annals of surgical oncology	doi: 10.1245/s10434-025-18362-x
40973222	2025 Sep 18	Chat V, Fletez-Brant K, Srivastava M, Nabet B, Mellman I, McCarthy MI, Hammer C	Clonal hematopoiesis is associated with reduced response to atezolizumab in non-small cell lung cancer.	Journal for immunotherapy of cancer	pii: e011565. doi: 10.1136/jitc-2025-011565
