source	target
Gene6	Mir3
Gene2	Mir1
Gene3	Mir5
Gene1	Mir4
Gene6	Mir6
Gene9	Mir6
Gene2	Mir2
Gene1	Mir2
Gene1	Mir2
Gene3	Mir3
Gene5	Mir5
Gene7	Mir6
Gene2	Mir4
Gene1	Mir4
Gene5	Mir5
Gene2	Mir3
Gene10	Mir1
Gene10	Mir1
Gene2	Mir6
Gene6	Mir3
Gene7	Mir3
Gene8	Mir5
Gene8	Mir5
Gene8	Mir1
Gene8	Mir6
Gene8	Mir5
Gene1	Mir2
Gene6	Mir3
Gene10	Mir3
Gene9	Mir1
Gene3	Drug5
Gene4	Drug3
Gene5	Drug3
Gene2	Drug7
Gene5	Drug2
Gene2	Drug3
Gene5	Drug6
Gene8	Drug8
Gene3	Drug6
Gene1	Drug8
Gene4	Drug5
Gene9	Drug4
Gene4	Drug1
Gene2	Drug4
Gene10	Drug6
Gene3	Drug3
Gene9	Drug8
Gene1	Drug7
Gene3	Drug4
Gene8	Drug4
Gene5	Drug1
Gene6	Drug8
Gene2	Drug5
Gene6	Drug6
Gene10	Drug6
Gene7	Drug1
Gene3	Drug4
Gene9	Drug7
Gene5	Drug8
Gene9	Drug5
Gene2	Drug7
Gene9	Drug2
Gene1	Drug1
Gene2	Drug5
Gene9	Drug3
Gene2	Drug5
Gene8	Drug6
Gene8	Drug1
Gene1	Drug3
Gene4	Drug8
Gene5	Drug8
Gene5	Drug3
Gene7	Drug2
Gene7	Drug3
Gene6	Drug1
Gene2	Drug2
Gene6	Drug6
Gene9	Drug7
Gene1	Drug6
Gene10	Drug2
Gene5	Drug3
Gene8	Drug7
Gene5	Drug8
Gene7	Drug2
Gene9	Drug3
Gene2	Drug8
Gene9	Drug4
Gene10	Drug4
Gene6	Drug5
Gene3	Drug5
Gene7	Drug6
Gene2	Drug2
Gene6	Drug5
Gene7	Drug7
Gene3	Drug8
Gene3	Drug6
Gene3	Drug6
Gene1	Drug7
Gene1	Drug4
Gene10	Drug1
Gene6	Drug7
Gene7	Drug1
Gene2	Drug2
Gene1	Drug5
Gene2	Drug3
Gene3	Drug2
Gene1	Drug3
Gene4	Drug1
Gene10	Drug4
Gene2	Drug7
Gene4	Drug3
Gene9	Drug3
Gene9	Drug7
Gene1	Drug8
Gene6	Drug6
Gene5	Drug6
Gene4	Drug2
Gene1	Drug3
Gene6	Drug8
Gene5	Drug7
Gene9	Drug6
Gene1	Drug6
Gene6	Drug2
Gene3	Drug6
Gene8	Drug7
Gene3	Drug2
Gene10	Drug2
Gene7	Drug5
Gene6	Drug3
Gene1	Drug3
Meth8	Drug2
Meth1	Drug3
Meth8	Drug5
Meth2	Drug3
Meth2	Drug6
Meth5	Drug3
Meth10	Drug6
Meth10	Drug3
Meth6	Drug4
Meth8	Drug3
Meth2	Drug6
Meth8	Drug5
Meth3	Drug4
Meth10	Drug4
Meth10	Drug1
Meth4	Drug1
Meth10	Drug6
Meth10	Drug7
Meth9	Drug8
Meth7	Drug5
Meth5	Drug4
Meth8	Drug8
Meth4	Drug7
Meth10	Drug7
Meth5	Drug1
Meth10	Drug3
Meth1	Drug4
Meth6	Drug4
Meth1	Drug1
Meth8	Drug8
Meth5	Drug8
Meth1	Drug7
Meth9	Drug2
Meth10	Drug7
Meth1	Drug5
Meth3	Drug5
Meth1	Drug4
Meth5	Drug6
Meth1	Drug2
Meth3	Drug4
Meth9	Drug5
Meth1	Drug4
Meth3	Drug2
Meth7	Drug3
Meth2	Drug2
Meth5	Drug7
Meth1	Drug2
Meth5	Drug1
Meth9	Drug7
Meth7	Drug6
Meth6	Drug4
Meth10	Drug8
Meth6	Drug2
Meth6	Drug3
Meth4	Drug4
Meth3	Drug3
Meth5	Drug4
Meth5	Drug7
Meth5	Drug1
Meth4	Drug5
Meth7	Drug2
Meth2	Drug8
Meth6	Drug3
Meth7	Drug4
Meth7	Drug1
Meth4	Drug4
Meth2	Drug8
Meth6	Drug4
Meth3	Drug7
Meth2	Drug1
Meth1	Drug5
Meth3	Drug4
Meth4	Drug6
Meth10	Drug2
Meth5	Drug6
Meth5	Drug5
Meth7	Drug7
Meth4	Drug1
Meth1	Drug8
Meth4	Drug1
Meth4	Drug5
Meth5	Drug3
Meth10	Drug2
Meth8	Drug4
Meth5	Drug8
Meth7	Drug8
Meth5	Drug8
Meth6	Drug4
Meth3	Drug1
Meth2	Drug8
Meth1	Drug6
Meth9	Drug8
Meth2	Drug8
Meth6	Drug4
Meth3	Drug4
Meth6	Drug5
Meth8	Drug6
Meth7	Drug4
Meth10	Drug1
Meth7	Drug2
Mir4	Drug8
Mir2	Drug5
Mir6	Drug8
Mir4	Drug7
Mir5	Drug6
Mir3	Drug3
Mir3	Drug4
Mir3	Drug7
Mir2	Drug2
Mir1	Drug4
Mir3	Drug7
Mir6	Drug5
Mir5	Drug3
Mir6	Drug6
Mir1	Drug8
Mir4	Drug1
Mir1	Drug3
Mir6	Drug4
Mir1	Drug4
Mir6	Drug1
Drug1	Tar1
Drug2	Tar2
Drug3	Tar3
Drug4	Tar4
Drug5	Tar5
Drug6	Tar6
Drug7	Tar7
Drug8	Tar8
Tar1	Path5
Tar6	Path4
Tar4	Path1
Tar2	Path6
Tar6	Path1
Tar3	Path6
Tar5	Path5
Tar3	Path6
Tar4	Path2
Tar6	Path6
Tar2	Path4
Tar6	Path3
Tar6	Path6
Tar1	Path4
Tar5	Path3
