Profile ID	Profile Model	Cluster (-1 non-significant)	# Genes Assigned	# Gene Expected	p-value
0	0.0,-2.0,-4.0,-3.0,-1.0,0.0,-1.0,-1.0,-3.0	-1	21.0	73.84	1.00
1	0.0,-2.0,-2.0,-3.0,-1.0,-3.0,-2.0,-2.0,-2.0	-1	17.0	90.64	1.00
2	0.0,-2.0,-2.0,-1.0,-2.0,-1.0,-1.0,1.0,-1.0	-1	54.0	85.04	1.00
3	0.0,-2.0,-2.0,-1.0,0.0,-1.0,-3.0,-1.0,-2.0	-1	50.0	69.04	0.99
4	0.0,-2.0,-2.0,0.0,0.0,-2.0,-1.0,-2.0,0.0	-1	9.0	74.12	1.00
5	0.0,-2.0,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,1.0	-1	74.0	82.8	0.85
6	0.0,-2.0,-1.0,0.0,-2.0,0.0,-2.0,-1.0,-1.0	-1	18.0	73.14	1.00
7	0.0,-2.0,0.0,-2.0,-1.0,-1.0,1.0,-1.0,0.0	-1	27.0	86.28	1.00
8	0.0,-2.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-3.0	-1	72.0	78.56	0.79
9	0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0	-1	62.0	69.96	0.85
10	0.0,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0	0	431.0	67.6	3.0E-199
11	0.0,-1.0,-2.0,-3.0,-4.0,-3.0,-2.0,-1.0,0.0	4	247.0	76.1	5.8E-56
12	0.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0	-1	69.0	77.48	0.85
13	0.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0	-1	2.0	65.36	1.00
14	0.0,-1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0	-1	77.0	62.8	0.04
15	0.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0	-1	11.0	96.4	1.00
16	0.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0	-1	3.0	76.66	1.00
17	0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0	-1	26.0	79.7	1.00
18	0.0,-1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0	-1	20.0	76.64	1.00
19	0.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,-2.0,-1.0	-1	24.0	71.4	1.00
20	0.0,0.0,-1.0,-3.0,-3.0,-1.0,0.0,-1.0,-3.0	-1	36.0	78.54	1.00
21	0.0,0.0,-1.0,0.0,-2.0,-3.0,-4.0,-2.0,0.0	6	128.0	65.3	2.7E-12
22	0.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0	-1	88.0	82.7	0.29
23	0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-2.0	-1	25.0	77.58	1.00
24	0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0	1	397.0	76.28	1.2E-153
25	0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0	-1	86.0	80.56	0.28
26	0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,2.0,1.0	-1	24.0	69.88	1.00
27	0.0,0.0,1.0,0.0,2.0,0.0,1.0,-1.0,1.0	-1	57.0	77.12	0.99
28	0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0	-1	45.0	61.84	0.99
29	0.0,0.0,2.0,4.0,4.0,3.0,2.0,0.0,-1.0	3	286.0	65.34	1.1E-92
30	0.0,1.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0	-1	8.0	81.9	1.00
31	0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,2.0	-1	65.0	78.0	0.94
32	0.0,1.0,-1.0,1.0,-1.0,0.0,2.0,0.0,0.0	-1	55.0	96.0	1.00
33	0.0,1.0,-1.0,1.0,3.0,3.0,1.0,0.0,2.0	-1	61.0	72.34	0.92
34	0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0	-1	61.0	84.5	1.00
35	0.0,1.0,1.0,0.0,0.0,2.0,1.0,-1.0,1.0	-1	72.0	85.92	0.95
36	0.0,1.0,1.0,2.0,1.0,-1.0,1.0,-1.0,0.0	5	166.0	69.84	3.4E-23
37	0.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0	-1	72.0	81.74	0.88
38	0.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0	-1	58.0	73.94	0.98
39	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0	2	320.0	70.2	2.5E-108
40	0.0,2.0,0.0,-1.0,-1.0,-2.0,0.0,-2.0,0.0	-1	79.0	79.24	0.53
41	0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,-1.0	-1	46.0	68.7	1.00
42	0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0	-1	0.0	81.72	1.00
43	0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0	-1	36.0	72.78	1.00
44	0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0	-1	18.0	69.8	1.00
45	0.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0	-1	7.0	71.72	1.00
46	0.0,2.0,2.0,1.0,2.0,0.0,-1.0,1.0,0.0	-1	46.0	65.7	1.00
47	0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0	-1	52.0	66.42	0.97
48	0.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0	-1	68.0	75.78	0.83
49	0.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0	-1	13.0	74.06	1.00
