CALM1,PLCG2-intermediate
GDI2,PLCG2-intermediate
GAPDH,PLCG2-low
UBE2N,PLCG2-low
ERICH1,PLCG2-high
NDUFB9,PLCG2-low
RAB2A,PLCG2-low
FGFR1,PLCG2-high
WDR83OS,PLCG2-low
TMEM258,PLCG2-low
RNPC3,PLCG2-high
ATP5J,PLCG2-low
TRIM73,PLCG2-high
ZNF706,PLCG2-low
GNAS,PLCG2-high
SEC11A,PLCG2-low
TIMM17B,PLCG2-low
LSM1,PLCG2-low
ZBTB34,PLCG2-high
ZNF880,PLCG2-high
BRD9,PLCG2-high
CHCHD6,PLCG2-low
LHFPL4,PLCG2-high
TMEM230,PLCG2-low
XXBAC-BPGBPG55C20.2,PLCG2-high
LYPLA1,PLCG2-low
ARHGEF11,PLCG2-high
NDUFB6,PLCG2-low
C1ORF122,PLCG2-low
PPIA,PLCG2-intermediate
PSME1,PLCG2-low
LINC00936,PLCG2-high
PCBD1,PLCG2-low
ZDHHC21,PLCG2-high
CNOT7,PLCG2-low
POLR2K,PLCG2-low
LENG8,PLCG2-high
PARL,PLCG2-intermediate
MYL12B,PLCG2-low
MAP3K4,PLCG2-high
GOLGA7,PLCG2-low
DNAJC19,PLCG2-intermediate
ESD,PLCG2-high
FTH1,PLCG2-intermediate
PSMB5,PLCG2-low
MTPN,PLCG2-high
NPIPB5,PLCG2-high
KXD1,PLCG2-low
H3F3A,PLCG2-intermediate
SNX3,PLCG2-low
SSBP1,PLCG2-intermediate
GUSBP1,PLCG2-high
BCKDHA,PLCG2-high
RAB9A,PLCG2-intermediate
SMIM12,PLCG2-low
ZNF511,PLCG2-low
RP11-303E16.7,PLCG2-high
SHFM1,PLCG2-intermediate
AP2M1,PLCG2-intermediate
SMIM19,PLCG2-low
BTBD8,PLCG2-high
C8ORF59,PLCG2-low
RP11-111M22.2,PLCG2-high
NEDD8,PLCG2-low
DNAJC3-AS1,PLCG2-high
SUMO1,PLCG2-intermediate
SSU72,PLCG2-low
RP11-297N6.4,PLCG2-high
RMRP,PLCG2-high
TCEB1,PLCG2-low
MTRNR2L12,PLCG2-high
GS1-124K5.3,PLCG2-high
ZNHIT3,PLCG2-low
PCNX2,PLCG2-high
RAC1,PLCG2-intermediate
SUB1,PLCG2-intermediate
MTRNR2L8,PLCG2-high
PLCG2,PLCG2-high

