Gene	Description	Class
ACTR3	actin related protein 3 [Source:HGNC...	SURVIVAL_DN
SPC25	SPC25 component of NDC80 kinetochore...	SURVIVAL_DN
AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	SURVIVAL_DN
ANLN	anillin actin binding protein [Sourc...	SURVIVAL_DN
ANXA3	annexin A3 [Source:HGNC Symbol;Acc:H...	SURVIVAL_DN
ANXA4	annexin A4 [Source:HGNC Symbol;Acc:H...	SURVIVAL_DN
RND3	Rho family GTPase 3 [Source:HGNC Sym...	SURVIVAL_DN
ARHGAP18	Rho GTPase activating protein 18 [So...	SURVIVAL_DN
ATP2B1	ATPase plasma membrane Ca2+ transpor...	SURVIVAL_DN
ATP5F1C	ATP synthase F1 subunit gamma [Sourc...	SURVIVAL_DN
B3GNT5	"""UDP-GlcNAc:betaGal beta-1,3-N-acety..."	SURVIVAL_DN
ACTL6A	actin like 6A [Source:HGNC Symbol;Ac...	SURVIVAL_DN
BCAT1	branched chain amino acid transamina...	SURVIVAL_DN
BUB3	BUB3 mitotic checkpoint protein [Sou...	SURVIVAL_DN
BZW2	basic leucine zipper and W2 domains ...	SURVIVAL_DN
URI1	URI1 prefoldin like chaperone [Sourc...	SURVIVAL_DN
DBNDD2	dysbindin domain containing 2 [Sourc...	SURVIVAL_DN
SFT2D1	SFT2 domain containing 1 [Source:HGN...	SURVIVAL_DN
CALM2	calmodulin 2 [Source:HGNC Symbol;Acc...	SURVIVAL_DN
CBX3	chromobox 3 [Source:HGNC Symbol;Acc:...	SURVIVAL_DN
CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HG...	SURVIVAL_DN
CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HG...	SURVIVAL_DN
CCT5	chaperonin containing TCP1 subunit 5...	SURVIVAL_DN
CCT6A	chaperonin containing TCP1 subunit 6...	SURVIVAL_DN
CD164	CD164 molecule [Source:HGNC Symbol;A...	SURVIVAL_DN
CD2AP	CD2 associated protein [Source:HGNC ...	SURVIVAL_DN
SEPTIN7	septin 7 [Source:HGNC Symbol;Acc:HGN...	SURVIVAL_DN
CDK4	cyclin dependent kinase 4 [Source:HG...	SURVIVAL_DN
SLC44A1	solute carrier family 44 member 1 [S...	SURVIVAL_DN
CENPF	centromere protein F [Source:HGNC Sy...	SURVIVAL_DN
TPRKB	TP53RK binding protein [Source:HGNC ...	SURVIVAL_DN
HDDC2	HD domain containing 2 [Source:HGNC ...	SURVIVAL_DN
ZC2HC1A	zinc finger C2HC-type containing 1A ...	SURVIVAL_DN
CKS2	CDC28 protein kinase regulatory subu...	SURVIVAL_DN
CLIC1	chloride intracellular channel 1 [So...	SURVIVAL_DN
GTPBP4	GTP binding protein 4 [Source:HGNC S...	SURVIVAL_DN
YBX3	Y-box binding protein 3 [Source:HGNC...	SURVIVAL_DN
CTBP2	C-terminal binding protein 2 [Source...	SURVIVAL_DN
CCDC6	coiled-coil domain containing 6 [Sou...	SURVIVAL_DN
EIF4A3	eukaryotic translation initiation fa...	SURVIVAL_DN
DEK	DEK proto-oncogene [Source:HGNC Symb...	SURVIVAL_DN
DLGAP5	DLG associated protein 5 [Source:HGN...	SURVIVAL_DN
DYNLL1	dynein light chain LC8-type 1 [Sourc...	SURVIVAL_DN
DSG2	desmoglein 2 [Source:HGNC Symbol;Acc...	SURVIVAL_DN
DUSP18	dual specificity phosphatase 18 [Sou...	SURVIVAL_DN
DYRK2	dual specificity tyrosine phosphoryl...	SURVIVAL_DN
ECT2	epithelial cell transforming 2 [Sour...	SURVIVAL_DN
EEF1E1	eukaryotic translation elongation fa...	SURVIVAL_DN
PDLIM7	PDZ and LIM domain 7 [Source:HGNC Sy...	SURVIVAL_DN
FABP5	fatty acid binding protein 5 [Source...	SURVIVAL_DN
FBL	fibrillarin [Source:HGNC Symbol;Acc:...	SURVIVAL_DN
ZWILCH	zwilch kinetochore protein [Source:H...	SURVIVAL_DN
NDC1	NDC1 transmembrane nucleoporin [Sour...	SURVIVAL_DN
CDCA8	cell division cycle associated 8 [So...	SURVIVAL_DN
ZNF532	zinc finger protein 532 [Source:HGNC...	SURVIVAL_DN
INAVA	innate immunity activator [Source:HG...	SURVIVAL_DN
		SURVIVAL_DN
DEPDC1	DEP domain containing 1 [Source:HGNC...	SURVIVAL_DN
CENPU	centromere protein U [Source:HGNC Sy...	SURVIVAL_DN
HDAC2	histone deacetylase 2 [Source:HGNC S...	SURVIVAL_DN
HIF1A	hypoxia inducible factor 1 subunit a...	SURVIVAL_DN
H4C1	H4 clustered histone 1 [Source:HGNC ...	SURVIVAL_DN
H4C3	H4 clustered histone 3 [Source:HGNC ...	SURVIVAL_DN
H4C14	H4 clustered histone 14 [Source:HGNC...	SURVIVAL_DN
HMGB2	high mobility group box 2 [Source:HG...	SURVIVAL_DN
HMGN1	high mobility group nucleosome bindi...	SURVIVAL_DN
JPT1	Jupiter microtubule associated homol...	SURVIVAL_DN
HNRNPA1	heterogeneous nuclear ribonucleoprot...	SURVIVAL_DN
HNRNPC	heterogeneous nuclear ribonucleoprot...	SURVIVAL_DN
AGFG1	ArfGAP with FG repeats 1 [Source:HGN...	SURVIVAL_DN
PRMT2	protein arginine methyltransferase 2...	SURVIVAL_DN
PRMT1	protein arginine methyltransferase 1...	SURVIVAL_DN
METTL5	"""methyltransferase 5, N6-adenosine [..."	SURVIVAL_DN
UBE2T	ubiquitin conjugating enzyme E2 T [S...	SURVIVAL_DN
		SURVIVAL_DN
ITGB1BP1	integrin subunit beta 1 binding prot...	SURVIVAL_DN
IER3	immediate early response 3 [Source:H...	SURVIVAL_DN
ITPR3	"""inositol 1,4,5-trisphosphate recept..."	SURVIVAL_DN
SUZ12	SUZ12 polycomb repressive complex 2 ...	SURVIVAL_DN
TUBA1B	tubulin alpha 1b [Source:HGNC Symbol...	SURVIVAL_DN
KHDRBS1	"""KH RNA binding domain containing, s..."	SURVIVAL_DN
PCLAF	PCNA clamp associated factor [Source...	SURVIVAL_DN
LRRCC1	leucine rich repeat and coiled-coil ...	SURVIVAL_DN
KIF5B	kinesin family member 5B [Source:HGN...	SURVIVAL_DN
KLF5	Kruppel like factor 5 [Source:HGNC S...	SURVIVAL_DN
KNTC1	kinetochore associated 1 [Source:HGN...	SURVIVAL_DN
KRT10	keratin 10 [Source:HGNC Symbol;Acc:H...	SURVIVAL_DN
KRT19	keratin 19 [Source:HGNC Symbol;Acc:H...	SURVIVAL_DN
LAMB1	laminin subunit beta 1 [Source:HGNC ...	SURVIVAL_DN
RPSA	ribosomal protein SA [Source:HGNC Sy...	SURVIVAL_DN
ZNF681	zinc finger protein 681 [Source:HGNC...	SURVIVAL_DN
ZNF37BP	"""zinc finger protein 37B, pseudogene..."	SURVIVAL_DN
