Gene	FDR	IQR	Group A median	Group B median
A1BG	1.66E-04	1.73	-1.49	-0.37
AADACP1	5.43E-04	1.8	-2	-1.09
AASS	1.50E-05	2.08	-2.62	-1.25
ABCA6	1.86E-03	1.85	-1.52	-0.21
ABCA8	3.44E-05	3.14	-3.15	-0.9
ABCB11	3.79E-04	2.5	-2.27	-0.51
ABCB4	2.30E-03	2.44	-2.75	-0.59
ABCC4	5.74E-06	1.71	2.49	1.79
ABCC9	6.05E-06	1.75	-2.46	-1.32
ABCD3	1.94E-02	1.79	-0.69	-0.88
ABCG1	2.33E-03	1.63	1.63	0.79
ABCG2	1.13E-02	2.07	-1.87	-0.29
ABI3BP	1.14E-02	2.37	-1.77	-0.96
AC083843.1	1.33E-02	1.51	-0.93	-0.98
ACADL	3.49E-06	2.75	-2.74	-1.14
ACADSB	3.28E-07	1.64	-2.01	-1.39
ACE2	6.06E-03	1.5	-1.35	-0.87
ACMSD	7.26E-06	1.8	-2	-0.93
ACOT12	2.50E-03	2.19	-1.73	-0.43
ACSL4	6.05E-06	3.64	4.76	2.8
ACSL5	4.98E-05	1.74	-2.06	-0.73
ACSL6	6.99E-03	1.72	0.18	0.8
ACSM1	5.98E-03	2.8	1.2	1.7
ACSM2A	1.86E-02	1.85	-1.46	0.12
ACSM3	3.28E-07	2	-2.81	-1.73
ACSM5	1.50E-04	2.12	-2.46	-0.87
ADAM9	3.31E-02	1.8	0.78	0.57
ADAMTS1	5.69E-04	1.62	-1.62	-1.07
ADAMTSL3	9.53E-05	1.92	-1.53	-1.09
ADH1A	6.92E-05	2.02	-1.83	-0.34
ADH1B	5.65E-06	3.61	-4.33	-1
ADH1C	3.13E-04	2.86	-2.22	-0.3
ADH4	1.32E-06	3.72	-4.04	-0.88
ADH6	3.02E-04	1.97	-2.09	-0.62
ADIRF	2.41E-02	1.95	-1.33	-0.34
ADRB2	6.46E-05	1.53	-1.81	-0.6
ADRBK2	2.43E-03	1.86	0.72	0.87
ADSSL1	2.08E-02	1.74	-1.14	-0.85
AFF3	2.23E-02	2.36	1.81	1.23
AFM	5.23E-07	2.56	-3.19	-1.56
AGO2	1.83E-04	1.53	1.49	0.52
AGXT	1.71E-02	1.55	-0.73	-0.68
AGXT2	2.65E-06	1.74	-2.32	-1.07
AK025288	7.20E-04	2.14	-1.86	-1.92
AK093362	5.98E-03	1.92	0.44	0.26
AKAP12	1.56E-02	1.98	-1.3	-0.76
AKR1B10	6.54E-06	3.65	6.54	6.04
AKR1C1	3.96E-02	1.87	0.35	1.06
AKR1D1	1.19E-06	3.71	-3.67	-1.87
AKR7A3	1.33E-05	1.64	-1.93	-0.88
ALAS1	9.35E-04	1.71	-1.72	-0.35
ALB	3.18E-04	1.67	-1.38	-1.45
ALDH1B1	2.00E-03	1.51	-1.3	-0.48
ALDH6A1	3.28E-07	1.67	-2.66	-1.8
ALDH8A1	1.78E-06	1.71	-1.79	-0.71
ALDOB	5.76E-07	2.86	-3.47	-1.41
ANG	8.08E-05	1.92	-2.08	-0.41
ANGPT1	8.08E-05	1.55	1.01	1.02
ANGPTL4	4.11E-05	1.75	-1.98	-0.91
ANKRD20A12P	6.47E-03	1.65	0.22	0.64
ANKRD29	1.06E-05	2.18	1.22	2
ANKRD37	2.79E-04	1.67	-2.41	-1.68
ANLN	3.28E-07	2.37	4.2	1.89
ANO1	4.94E-04	3.17	-2.16	-0.88
ANTXR1	9.47E-03	2.27	0.83	1.16
ANXA10	3.28E-07	2.58	-3.73	-2.03
ANXA5	9.12E-03	1.61	1.1	0.53
AOX1	8.50E-05	2.44	-2.09	-0.38
AP000525.9	1.29E-04	1.51	1.32	0.42
APBA1	2.33E-02	1.62	-0.99	-0.69
APOA5	3.99E-07	2.32	-3.59	-1.73
APOB	2.76E-03	2.02	-1.38	-0.85
APOBEC3B	1.48E-05	2.51	2.54	1.42
APOBEC3G	1.76E-04	1.56	1.46	1.06
APOC2	2.18E-03	2.06	-1.92	-0.25
APOF	3.28E-07	3.28	-4.91	-2.99
APOL6	1.45E-04	1.87	-1.08	-1.02
AQP9	3.49E-02	2.28	-2.01	0.18
AR	7.53E-04	1.56	-1.7	-0.38
ARHGAP18	1.69E-03	1.75	1.07	0.66
ARMCX3	3.42E-02	2.88	-1.16	-1.58
ART4	1.88E-02	2.11	-1.35	-0.57
ASAP2	1.70E-05	1.6	1.61	1.44
ASPA	3.28E-07	1.52	-2.74	-2.11
ASPH	4.01E-03	1.87	1.21	0.49
ASPM	3.28E-07	2.11	4.95	3.04
ASPN	2.54E-02	2.44	-1.71	-0.54
ATAD2	9.55E-06	1.83	2.3	0.85
ATF5	6.92E-05	3.41	-2.08	-2
ATP1B3	4.94E-04	1.51	1.72	0.54
ATP6V1C1	1.50E-04	1.52	1.42	0.78
ATRX	6.31E-03	1.56	1.04	0.66
AURKA	3.28E-07	1.7	3.55	2.01
AVPR1A	2.14E-06	3.78	-4.59	-3.8
AZGP1	7.21E-07	1.89	-2.43	-1.35
B3GNT5	7.70E-05	2.53	2.5	1.19
BACE2	2.57E-02	2.05	1.23	0.29
BAMBI	3.68E-02	1.64	1	0.28
BASP1	4.12E-03	1.65	-0.84	-0.75
BBOX1	1.29E-04	4.16	-3.64	-1.61
BC017398	1.28E-05	3.38	4.15	2.79
BCAT1	1.19E-06	1.71	2.53	1.83
