DATA	GSM3443357	GSM3443358	GSM3443359	GSM3443360	GSM3443361	GSM3443362	GSM3443363	GSM3443364	GSM3443365	GSM3443366	GSM3443367	GSM3443368
APITD1 /// APITD1-CORT	8.441097	8.475046	8.65539	8.516031	8.418268	8.460168	8.282255	8.287272	8.186783	8.287317	8.325607	8.459985
SAA2-SAA4 /// SAA4	5.252111	5.430918	5.420259	5.496871	5.673105	5.437256	5.603959	5.337072	5.34603	5.30792	5.499212	5.281267
ORM1 /// ORM2	3.0787934999999997	3.0917405000000002	3.1103785000000004	2.9975810000000003	3.0466065	2.8794995	3.1299265	3.0552555000000003	2.965808	2.9970285	2.966939	2.993494
T	5.100341	5.147388	5.031716	5.212217	5.170536	5.037246	5.128167	5.176053	5.243752	5.285633	5.20416	5.137498
DHFR	10.4107545	10.3262735	10.434939499999999	10.4583245	10.3410425	10.319331	10.233846	9.912387500000001	9.979284	10.008166500000002	10.054794000000001	10.0053215
LEFTY1 /// LEFTY2	4.722003	4.799446	4.825212	4.81998	4.912926	4.549273	4.723768	4.376253	4.768935	4.855704	4.642899	4.699271
MBD3	7.992044	7.790071	7.802238	7.821929	7.818801	7.639013	7.397049	7.695104	7.559099	7.540289	7.591329	7.525721
MBD4	9.1131425	9.130143499999999	8.993295	9.038380499999999	8.9153755	9.1870935	9.337782	9.314055499999998	9.3120795	9.277656499999999	9.141476	9.224685000000001
MBD5	6.79821	6.881564	6.844625	6.717609	6.548123	6.925483	7.33077	7.611101	7.331881	7.520707	7.406056	7.565769
MBD1	7.9997185	8.0198075	8.012204	7.972604	8.044863	8.059501000000001	8.332329	8.206067000000001	8.263732	8.236224	8.282857	8.199189
MBD2	4.2310675	3.9819065	4.0631085	4.164794	3.9849710000000003	3.7849500000000003	3.9517635	4.0005015	4.015305	4.0255019999999995	4.09664	3.8781685
MBIP	6.535383	6.348857	6.335646	6.677029	6.504211	6.822276	6.571131	6.547231	6.780812	6.608288	6.465242	6.519184
GLULP4 /// GLULP4	4.349937	4.231413	4.39216	4.356649	4.47898	4.230978	4.290271	4.190981	4.28602	4.307229	4.206413	4.085566
RP3-497J21.1	3.454632	3.693428	3.551979	3.422708	3.296528	3.296987	3.123374	3.505182	3.693974	3.402091	3.433216	3.455245
MBL2	3.175379	3.029636	2.953344	2.757288	3.010278	2.934167	3.782746	3.88059	4.111164	4.2609	3.68217	4.130125
DHPS	8.096163	8.112716	8.134384	8.036611	8.197492	8.174945	7.675558	7.802374	7.715728	7.850686	7.866659	7.865541
IL2RG	4.516032	4.424227	4.532091	4.71927	4.585804	4.377784	4.347645	4.374569	4.487853	4.598629	4.520294	4.51239
IL2RA	4.1855775	4.2112870000000004	4.2635105	4.279052999999999	4.2318275	4.1126439999999995	4.1249405	4.045249	4.193916	3.90705	4.367742	4.0446755
IL2RB	5.270623	5.253697	5.426495	5.42768	5.482452	5.226894	5.5014	5.176839	5.353882	5.40341	5.583429	5.12027
PEX26	8.425068	8.421448	8.532903	8.425691	8.396268	8.517794	8.522865	8.572983	8.501037	8.601048	8.565535	8.588388
IL36A	3.927081	4.146943	4.044325	4.046999	4.116245	4.156403	3.991103	3.811678	4.031222	3.940745	3.983804	3.96144
DHX8	7.167985	7.306396	7.157031	7.077372	7.150464	7.317056	7.130864	7.235168	7.360342	7.332416	7.049726	7.358365
DHX9	6.561486	6.772284	6.641222	6.670803	6.652987	6.993752	6.640444	6.724506	6.440028	6.505976	6.174899	6.768138
MC2R	3.896023	3.470496	3.696425	3.539921	3.799221	3.515326	3.581153	3.482841	3.683015	3.589078	3.637961	3.520603
OR7E47P	6.189915	6.135493	6.214956	6.324393	6.2915	6.038379	6.109799	6.12583	6.166469	6.347687	6.285338	6.332354
SLC10A1	3.460778	3.710806	3.793071	3.747137	3.819398	3.512097	3.386483	3.620384	3.613968	3.610561	3.888931	3.653202
SLC10A2	3.059712	3.003382	3.227278	3.128905	2.984995	3.074003	2.869256	3.224989	3.077322	3.140304	3.191204	3.077512
SLC10A3	8.548246	8.581719	8.520714	8.527788	8.448276	8.575908	8.173808	8.254746	8.193431	8.074318	8.108996	8.192258
IL36G	4.223208	4.230474	4.472383	4.085412	4.320192	4.244525	4.579296	4.086939	4.223949	4.356891	4.342631	4.180162
PEX5L	3.145665	2.989796	3.112072	3.202974	3.331894	3.096148	3.151439	3.2139	3.127273	3.037518	3.303579	3.126613
MC1R	6.099672	5.995787	6.135962	6.202875	6.081332	5.820214	5.974652	6.140616	6.032512	6.063154	6.005955	6.018842
MC4R	3.9727	3.462107	3.476299	3.722229	3.671094	3.705851	3.702671	3.440107	3.689729	3.481014	3.889687	3.716314
