GO ID	GO Term	Interactions	P-value	FDR corrected p-value	FDR pval 1 vs. 4+5
GO:0030903	notochord development	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.27872765930449E-13	1.19177456581625E-10	3.59442599275719E-09
GO:0032103	positive regulation of response to external stimulus	organ + species + age + organ:species + organ:age + species:age + organ:species:age	6.17938951120094E-11	1.61591035717905E-08	1.70027646472609E-06
GO:0051321	meiotic cell cycle	organ + species + age + organ:species + organ:age + species:age + organ:species:age	9.4872747032669E-10	1.65394822326953E-07	4.6835779613963E-09
GO:1901575	organic substance catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.60782194373882E-09	2.1022271914385E-07	0.0001662861
GO:1901796	regulation of signal transduction by p53 class mediator	organ + species + age + organ:species + organ:age + species:age + organ:species:age	3.37006279721821E-09	3.52508568589025E-07	5.51009614150711E-06
GO:0002252	immune effector process	species + age + species:age	9.53071088988451E-09	6.75878538562554E-07	4.06585349910505E-06
GO:0006952	defense response	organ + species + age + organ:species + organ:age + species:age + organ:species:age	9.62782359827872E-09	6.75878538562554E-07	1.84769460013037E-07
GO:0051017	actin filament bundle assembly	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.03384862495228E-08	6.75878538562554E-07	3.99793356673872E-07
GO:0061572	actin filament bundle organization	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.21482964645663E-08	0.000000706	6.66639044625523E-07
GO:0044248	cellular catabolic process	organ + species + age + organ:species + organ:age + species:age + organ:species:age	1.94361675857559E-08	1.01651156473503E-06	0.0070059642
GO:1901701	cellular response to oxygen-containing compound	organ + species + age + organ:species + organ:age + species:age + organ:species:age	2.30921081294758E-08	1.09792477742871E-06	7.67284149105217E-07
GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	organ + species + age + organ:age + species:age	2.87806671310469E-08	1.25435740912813E-06	1.84769460013037E-07
GO:0006270	DNA replication initiation	species + age + species:age	3.63420424960427E-08	1.4620683250331E-06	1.8968594542407E-05
