NR	R	MeanDecreaseAccuracy	MeanDecreaseGini
cg00008544	-0.66329056324089	1.35033650760029	0.526924479237155	0.196807077807459
cg00013006	3.17552298682118	-1.62406914588127	1.59657153546179	0.383383266506521
cg00013618	1.70525372491289	-1.10066854597616	0.776864914978171	0.184707837505352
cg00014561	9.70919466065457	1.7042537396329	8.79001160558188	0.797785595682806
cg00017475	1.36146528433282	-0.459888500876274	0.735403022994433	0.283853906820993
cg00031105	-1.39602075853325	2.26870487936779	0.339361819695486	0.458917915757354
cg00032686	3.10052359747938	5.55533778082541	5.40090438871109	1.46344588287184
cg00032959	1.5228296810379	1.14805711373346	1.87608561918904	0.214324605965556
cg00033304	-0.338639343873179	4.68966807438156	3.47561191766568	0.534265680416051
cg00036263	-0.678711543542144	0.188049216927313	-0.330492493207586	0.137595937264875
cg00039564	4.40044949122667	8.66063994684165	8.03961823755023	0.828873137136866
cg00040419	6.10310613104187	6.17723179498777	7.95882097957111	1.06442855965234
cg00053135	0.582002181862722	3.18753401237798	2.84688896196191	0.147569418160309
cg00058009	3.16587030984595	1.14502024747606	2.67205788642524	0.271799699941791
cg00060627	0.918837972824048	4.32283723522335	3.81650043923194	0.182691303016848
cg00099976	-1.51262678263423	1.50535786687406	-0.490032607104527	0.116057920884593
cg00102512	5.22818132987565	-1.13610924881762	3.76446712181291	0.572464259378747
cg00109776	2.19681467592686	0.270910537194673	2.19021639392363	0.349202553000067
cg00113020	1.31498726991551	1.63345245443932	2.12754066191096	0.247486434824257
cg00113623	3.67340555327644	8.11275670811585	7.49406967251077	1.3211345983385
cg00114618	1.61396174725657	2.09392522118889	2.28780650612012	0.160982941186757
cg00115040	4.74565243032354	5.83381850998744	6.73976662722753	1.10155962232886
cg00121876	5.33295228260982	8.30225076565493	8.22114373761415	0.775308617750029
cg00124045	0.447967764434861	2.47163360890111	2.01619274816582	0.350193277308352
cg00127150	14.7916655736403	16.678730258537	19.2680033305118	4.78920099908162
cg00128425	-1.96733364808074	1.33065968794095	-0.642993053937738	0.106071181289232
cg00133811	-2.19782988895283	2.68133026033422	-0.517477918050276	0.119364629701309
cg00134728	0.150729689527335	2.94609984065028	1.96010703087768	0.173339666853103
cg00139242	5.55177359824623	8.5301746420479	9.07367385269136	1.56914438630991
cg00139683	-0.225568577965943	3.00997149481331	1.75380701505019	0.393989132522508
cg00142925	10.3760791035434	11.5273101490723	13.1303447355439	2.87070873944721
cg00145438	1.10732703081243	3.18173153841261	3.04336314771354	0.369221596152251
cg00145969	1.13956475902258	0.165342153682113	0.770320464326749	0.149369463886513
cg00148867	0.907222793661028	-0.632665755656354	0.54433497337191	0.234951773602018
cg00151250	1.49448235179844	1.8730776603512	2.52555031694818	0.433075248197742
cg00155846	0.810071093636214	0.805111434053321	0.90132794006032	0.0968627162918891
cg00156669	2.16956229208069	-1.46369972030461	0.889637997360312	0.106058772689809
cg00157016	6.4209653097744	4.09904544393096	6.50672926578617	0.904329439661911
cg00160981	3.66319384598395	2.87617113850158	4.49469271906698	0.522129955396743
cg00162862	6.64284954890376	6.78249609256463	8.35344237740268	1.61318506910441
cg00164217	1.4132737125761	-0.897056662141106	0.441447993052457	0.207365376861146
cg00164500	1.26142987625624	0.68919447990636	1.41668060366204	0.210748697300415
cg00168009	5.8459625547905	3.10934896613211	6.09792516575953	1.38869537960921
cg00168942	0.789219566079157	3.62904068219457	3.06881128229524	0.200668375882904
cg00171565	17.4368065688672	11.3873551205287	16.9127459095391	2.61121623807355
cg00176672	3.37499025770311	0.52311585447209	2.78443164184082	0.127168010264816
cg00186529	1.28676668137669	0.954120069774943	1.50140608162316	0.170553124443107
cg00188032	0.117098905295256	1.17329547507566	0.693402335332728	0.169213732629669
cg00192750	1.11802662752916	-0.298741468167506	0.914503682502047	0.0920316070190444
cg00197191	1.02577221589881	2.16388525539378	2.06850751826009	0.274213809938018
