	C1	C2	C4	C3	C5
CD80	0.0512518569513388	0.0262768319763138	-0.0510065403890257	0.0186510058451496	-0.079543273843792
CD28	0.0711710569223523	-0.0656920799407846	-0.0937951244372717	0.0725895672376597	-0.0974381116868163
ICOSLG	0.0173104097974564	0.00432339681044344	-0.0579503949715451	0.0561327973742924	-0.164507772020725
PDCD1LG2	-0.0725932098989094	0.198136060830361	-0.159432600016988	0.137545405933657	-0.171272308578008
CD274	-0.0782908801043516	0.199431397617926	-0.158137263229423	0.138840742721221	-0.169976971790443
VTCN1	-0.0404634225877749	0.030465648341296	-0.0694385458251932	0.0838926483875131	-0.118163500287853
SLAMF7	-0.00906735751295337	-0.00906735751295337	-0.000870636201477957	0.00872623679309646	-0.00906735751295337
BTN3A2	-0.0127269103953042	-0.0217179193863132	-0.0525354624989382	0.057128501097118	0.0095471118787181
BTN3A1	-0.0127269103953042	-0.0217179193863132	-0.0525354624989382	0.057128501097118	0.0095471118787181
C10orf54	0.164408130729374	0.000571966893210402	-0.101354794869617	0.0217856286762672	-0.183170216848973
CD276	0.188222399362296	0.116294327434224	-0.101184914635182	-0.0206470230302583	-0.199241988102092
TNFSF9	0.0797130330809087	0.20059215396003	-0.141913700840907	0.0389246399793483	-0.116868163500288
TNF	-0.0451012717852096	-0.0191272458111836	-0.045846428268071	0.0668366123946675	0.0121377854538476
TNFSF4	0.0212326533570057	-0.0207253886010363	-0.0125286672895609	0.00774436228864344	-0.0207253886010363
IL1B	0.0136780318127468	-0.0202880021532871	-0.0538732693451117	0.0528737115778216	-0.0780080598733449
CXCL9	0.203512808435088	0.113602718524998	-0.0854072878620573	-0.0448758136190143	-0.162972558050278
CXCL10	0.203512808435088	0.113602718524998	-0.0854072878620573	-0.0448758136190143	-0.162972558050278
CCL5	0.211783035617233	0.317677141511338	-0.145863416291514	-0.0565891615805874	-0.1205142966801
VEGFB	0.00356896989021341	-0.0773501110288675	-0.0480761063450268	0.0751664115944167	-0.146133179811936
CX3CL1	-0.200360520308707	-0.189371509319696	0.170326170050115	0.0201307322110155	-0.147524467472654
TGFB1	0.0934544729881517	0.139408518942198	-0.131296186188737	0.0412433389264839	-0.135242755709077
VEGFA	-0.0533896155657814	-0.0204225825987484	-0.0389450437441604	0.0619825567458927	0.0478794857033199
CD70	0.0823037066560383	0.203182827535159	-0.139323027265778	0.034397875832058	-0.114277489925158
CD40LG	0.0649661219609406	0.0160150730098917	-0.0961309776607492	0.0619548983091475	-0.16580310880829
IL10	0.032111670712707	-0.016839378238342	-0.00864265692686656	-0.00260450279350211	-0.016839378238342
IFNG	0.278397768035074	-0.01530852567122	-0.0693323706786715	-0.0670717091070013	-0.106217616580311
IL1A	0.0136780318127468	-0.0202880021532871	-0.0538732693451117	0.0528737115778216	-0.0780080598733449
IL12A	-0.0253994709953259	0.088486642890788	-0.0222755457402531	0.00737558313204137	0.00671656112070619
IFNA2	-0.0161328308996703	0.178672363905524	-0.153614201987599	0.106157689967363	-0.140711955478795
IFNA1	-0.0187235044747998	0.189068703317408	-0.156204875562728	0.107125735253443	-0.143302629053924
IL4	0.466140077539041	0.143462754861719	-0.192177015204281	-0.0943705861744694	-0.159086547687584
IL2	0.235099097793398	0.120213982908283	-0.118448993459611	-0.0297143805432117	-0.208309345615045
IL13	0.466140077539041	0.143462754861719	-0.192177015204281	-0.0943705861744694	-0.159086547687584
TNFRSF18	-0.0254809956882496	0.0204730502657964	-0.132124352331606	0.141007320266259	-0.196939167146421
TIGIT	0.045816877423095	0.028833860440078	-0.0477575809054617	0.016401452989877	-0.0639992323930148
PDCD1	0.179417732526541	-0.00839445528564703	-0.145183895353776	0.0521499824829901	-0.157023603914796
CTLA4	0.0711710569223523	-0.0656920799407846	-0.0937951244372717	0.0725895672376597	-0.0974381116868163
IL2RA	0.00281713105547304	-0.00617387793553596	-0.0164996177694725	0.0264091973521657	-0.123056994818653
TNFRSF4	-0.0254809956882496	0.0204730502657964	-0.132124352331606	0.141007320266259	-0.196939167146421
CD27	0.048914815754194	0.0938698607092389	-0.0456340779750276	-0.00110633746980621	-0.102859336019958
LAG3	0.0515054893293235	0.0834735212973555	-0.0430434043998981	-0.00207438275588662	-0.100268662444828
TNFRSF9	-0.0161600057973115	0.0218020321647265	-0.131487301452476	0.136466726900596	-0.208597198234504
ICOS	0.0768687271277945	-0.0669874167283494	-0.0950904612248365	0.0712942304500949	-0.0987334484743811
BTLA	0.0313145403818979	0.0353105443779019	-0.0412808969676378	0.0157606992052809	-0.0575225484551909
KIR2DL3	0.154326243704482	0.0614191507973892	-0.121782893060392	0.0173280106208397	-0.0722989829207446
KIR2DL1	0.154326243704482	0.0614191507973892	-0.121782893060392	0.0173280106208397	-0.0722989829207446
TNFRSF14	-0.0254809956882496	0.0204730502657964	-0.132124352331606	0.141007320266259	-0.196939167146421
EDNRB	0.124995470850393	0.0620584079133302	-0.130191964664911	0.0559115298803312	-0.244338898483976
CD40	0.107730352549005	-0.0271347823161295	-0.0326170050114669	-0.0139629008168458	-0.0531088082901554
ADORA2A	-0.049576071596797	-0.075550097570823	-0.0279665335938164	0.0814494864750244	-0.116916138936864
TLR4	0.23691981593536	-0.0188244398088958	-0.1624267391489	0.0427829919052975	-0.178516599501055
HAVCR2	0.414861045690061	0.116159746988763	-0.17642062346046	-0.0720363985027566	-0.184465553636538
ITGB2	0.00772672922931988	0.0147197362223269	-0.0564427078909369	0.0571008426603728	-0.167098445595855
ICAM1	0.061333743976231	0.173221855864343	-0.116644015968742	0.037343499345417	-0.153377470734984
SELP	0.00905829921373963	-0.0129197227642823	-0.0177100144398199	0.0167978905832242	-0.0259067357512953
HLA-DRB5	NA	NA	NA	NA	NA
HLA-DQA1	NA	NA	NA	NA	NA
HLA-DQB1	NA	NA	NA	NA	NA
MICA	-0.0451012717852096	-0.0191272458111836	-0.045846428268071	0.0668366123946675	0.0121377854538476
MICB	-0.0451012717852096	-0.0191272458111836	-0.045846428268071	0.0668366123946675	0.0121377854538476
HLA-DQA2	NA	NA	NA	NA	NA
HLA-DQB2	NA	NA	NA	NA	NA
HLA-B	NA	NA	NA	NA	NA
HLA-A	NA	NA	NA	NA	NA
HLA-C	NA	NA	NA	NA	NA
HLA-DRA	NA	NA	NA	NA	NA
HLA-DRB1	NA	NA	NA	NA	NA
HLA-DPB1	NA	NA	NA	NA	NA
HLA-DPA1	NA	NA	NA	NA	NA
IDO1	0.0589967027790862	0.214840858623242	-0.103074832243269	0.0140274371692512	-0.139656495874112
GZMA	0.456556396970905	0.140872081286589	-0.186570967467935	-0.0862851031659691	-0.235751295336788
PRF1	0.154824450161238	-0.00201870668191911	-0.0998471077890087	0.0263123928235576	-0.185760890424103
