Gene	Category	ICI
CD80	Co-stimulator	Stimulatory
CD28	Co-stimulator	Stimulatory
ICOSLG	Co-stimulator	Stimulatory
PDCD1LG2	Co-inhibitor	N/A
CD274	Co-inhibitor	Inhibitory
VTCN1	Co-inhibitor	Inhibitory
SLAMF7	Co-inhibitor	Inhibitory
BTN3A2	Co-inhibitor	Stimulatory
BTN3A1	Co-inhibitor	Stimulatory
C10orf54	Co-inhibitor	Inhibitory
CD276	Co-inhibitor	Inhibitory
TNFSF9	Ligand	Stimulatory
TNF	Ligand	Stimulatory
TNFSF4	Ligand	Stimulatory
IL1B	Ligand	Stimulatory
CXCL9	Ligand	Stimulatory
CXCL10	Ligand	Stimulatory
CCL5	Ligand	Stimulatory
VEGFB	Ligand	Inhibitory
CX3CL1	Ligand	Stimulatory
TGFB1	Ligand	Inhibitory
VEGFA	Ligand	Inhibitory
CD70	Ligand	Stimulatory
CD40LG	Ligand	Stimulatory
IL10	Ligand	Inhibitory
IFNG	Ligand	Stimulatory
IL1A	Ligand	Stimulatory
IL12A	Ligand	Stimulatory
IFNA2	Ligand	Stimulatory
IFNA1	Ligand	Stimulatory
IL4	Ligand	Inhibitory
IL2	Ligand	Stimulatory
IL13	Ligand	Inhibitory
TNFRSF18	Receptor	Stimulatory
TIGIT	Receptor	Inhibitory
PDCD1	Receptor	Inhibitory
CTLA4	Receptor	Inhibitory
IL2RA	Receptor	Stimulatory
TNFRSF4	Receptor	Stimulatory
CD27	Receptor	Stimulatory
LAG3	Receptor	Inhibitory
TNFRSF9	Receptor	Stimulatory
ICOS	Receptor	Stimulatory
BTLA	Receptor	Inhibitory
KIR2DL3	Receptor	Inhibitory
KIR2DL1	Receptor	Inhibitory
TNFRSF14	Receptor	Stimulatory
EDNRB	Receptor	Inhibitory
CD40	Receptor	Stimulatory
ADORA2A	Receptor	Inhibitory
TLR4	Receptor	Stimulatory
HAVCR2	Receptor	Inhibitory
ITGB2	Cell adhesion	Stimulatory
ICAM1	Cell adhesion	Stimulatory
SELP	Cell adhesion	Stimulatory
HLA-DRB5	Antigen presentation	N/A
HLA-DQA1	Antigen presentation	N/A
HLA-DQB1	Antigen presentation	N/A
MICA	Antigen presentation	N/A
MICB	Antigen presentation	N/A
HLA-DQA2	Antigen presentation	N/A
HLA-DQB2	Antigen presentation	N/A
HLA-B	Antigen presentation	N/A
HLA-A	Antigen presentation	N/A
HLA-C	Antigen presentation	N/A
HLA-DRA	Antigen presentation	N/A
HLA-DRB1	Antigen presentation	N/A
HLA-DPB1	Antigen presentation	N/A
HLA-DPA1	Antigen presentation	N/A
IDO1	Other	Inhibitory
GZMA	Other	Stimulatory
PRF1	Other	Stimulatory
ARG1	Other	Inhibitory
HMGB1	Other	Stimulatory
ENTPD1	Other	Stimulatory
