	C1	C2	C4	C3	C5
CD80	-0.336544962639465	-0.114517061885483	0.0109657288446932	0.128560646562068	0.0842490842490842
CD28	-0.712208124249493	-0.593817983463476	-0.633182946337794	-0.590446642625596	-0.515262515262515
ICOSLG	-0.123306720273083	0.0586201038930685	0.117504936394548	-0.0761453868756479	-0.122536357325039
PDCD1LG2	-0.0880631423216327	-0.0437597355233607	-0.168614793399665	-0.170595277338327	0.190199971686287
CD274	-0.1860879807419	-0.265425769737073	-0.0736142281501633	-0.121598135178221	-0.0842490842490842
VTCN1	-0.358172418427848	-0.4555868840921	-0.575524547445208	-0.615056284449056	-0.556166056166056
SLAMF7	0.0583899668406711	-0.201535306798465	0.087901802825867	0.0348497644241066	0.197802197802198
BTN3A2	-0.369140041880306	-0.311309159985955	-0.283592924086239	-0.155620729653944	-0.194749694749695
BTN3A1	0.162864925592116	0.102832055000216	0.120203132066985	0.108233619424047	-0.0964590964590964
C10orf54	-0.0326299957115081	0.0499763394500237	0.177929096340173	-0.177660505833328	-0.356532356532356
CD276	-0.41821058269022	-0.278905305221095	-0.29839854693174	-0.291778620405477	-0.386446886446886
TNFSF9	0.209919697297807	0.0147749903084278	0.125607475323154	0.0366440469514017	0.337606837606838
TNF	-0.52521842977243	-0.270676691729323	-0.167272386329079	-0.274572763981127	0.1001221001221
TNFSF4	-0.31361452445776	-0.170330789811173	-0.056650988450449	0.0295874341358951	-0.578537634583489
IL1B	-0.240142733000567	-0.199721331300279	-0.141818735289897	-0.242879440901787	-0.150511374063145
CXCL9	-0.409121362024831	-0.15121819771475	0.0510807959734469	0.0593219685851001	-0.313797313797314
CXCL10	-0.536719993187839	-0.435478146603512	-0.187853263400644	-0.131779250002139	0.125763125763126
CCL5	-0.536092099310112	-0.726352594773647	-0.599299199802416	-0.54072704247773	-0.599511599511599
VEGFB	-0.116618530496512	-0.0366748166385912	-0.0405005365534661	0.0102222662120684	0.0213675213675214
CX3CL1	-0.391754036958708	-0.514160275001082	-0.604121916540958	-0.340752486985971	-0.598290598290598
TGFB1	-0.165122836359791	-0.172689390588188	-0.0656678183197719	-0.22755767611296	-0.000610500610500611
VEGFA	-0.502496188517154	-0.446842631053157	-0.324790331607966	-0.481990591559299	0.119047619047619
CD70	0.0337012827795424	-0.146196870217616	0.0547504414858553	-0.0364250239933361	0.302197802197802
CD40LG	-0.352355507616009	-0.361690940638309	-0.0799946965937813	0.0162034808570428	-0.19047619047619
IL10	-0.314724624418056	-0.380266971635084	-0.41189938060929	-0.367904735339779	-0.448107448107448
IFNG	-0.420244308406102	-0.373041813223079	-0.0923235161585389	0.0113841175722674	-0.496179118352314
IL1A	-0.0820792310990435	-0.170548800525797	-0.0247554563073065	-0.2574264983858	-0.173341688296834
IL12A	0.0436154331782694	-0.0432873687452921	-0.14541790090107	-0.290314162390408	-0.304029304029304
IFNA2	NA	NA	NA	NA	NA
IFNA1	NA	NA	NA	NA	NA
IL4	0.0175771683055931	-0.358146413029993	-0.133607111204176	-0.0724042554576495	-0.0108086398265362
IL2	NA	NA	NA	NA	NA
IL13	-0.254877315928258	-0.0827494589234227	-0.13644162144962	-0.0729864945012735	0.212797581834593
TNFRSF18	0.0475845066159951	-0.0973900927389241	-0.210083648343296	-0.135853600165576	-0.286324786324786
TIGIT	-0.608991399290554	-0.219175561280824	-0.188661796406509	-0.113960747250366	-0.57020757020757
