term	NES	FDR	tumor
HALLMARK_ALLOGRAFT_REJECTION	2.98363220989286	3.33333333333333e-10	BLCA
HALLMARK_APOPTOSIS	2.27507182089088	3.33333333333333e-10	BLCA
HALLMARK_COMPLEMENT	2.62467379310391	3.33333333333333e-10	BLCA
HALLMARK_E2F_TARGETS	2.59906936320433	3.33333333333333e-10	BLCA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.6288054354377	3.33333333333333e-10	BLCA
HALLMARK_G2M_CHECKPOINT	2.67339788353416	3.33333333333333e-10	BLCA
HALLMARK_IL2_STAT5_SIGNALING	2.23210116955225	3.33333333333333e-10	BLCA
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.55142065153189	3.33333333333333e-10	BLCA
HALLMARK_INFLAMMATORY_RESPONSE	2.97543850933015	3.33333333333333e-10	BLCA
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.68114583232396	3.33333333333333e-10	BLCA
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.93090917395905	3.33333333333333e-10	BLCA
HALLMARK_KRAS_SIGNALING_UP	2.14365109155572	3.33333333333333e-10	BLCA
HALLMARK_MTORC1_SIGNALING	2.73903352337467	3.33333333333333e-10	BLCA
HALLMARK_MYC_TARGETS_V1	2.19132378867177	3.33333333333333e-10	BLCA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.05112355623973	3.33333333333333e-10	BLCA
HALLMARK_HYPOXIA	2.06672487943146	1.38682092264508e-09	BLCA
HALLMARK_P53_PATHWAY	2.008511581738	1.19313205603645e-08	BLCA
HALLMARK_COAGULATION	1.96913057350266	1.09783229522957e-06	BLCA
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2.03917685219368	1.41066335438319e-06	BLCA
HALLMARK_MITOTIC_SPINDLE	1.79580472451508	1.81118313011697e-06	BLCA
HALLMARK_XENOBIOTIC_METABOLISM	1.77519805771742	6.30965204056943e-06	BLCA
HALLMARK_ANDROGEN_RESPONSE	1.95380223419204	9.39541439298019e-06	BLCA
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	2.12231038088853	1.33847251005127e-05	BLCA
HALLMARK_ANGIOGENESIS	2.12707722936206	2.74840320090522e-05	BLCA
HALLMARK_GLYCOLYSIS	1.66374345443823	3.01519642622729e-05	BLCA
HALLMARK_UV_RESPONSE_UP	1.70894386510513	0.00016515222856964	BLCA
HALLMARK_PROTEIN_SECRETION	1.8031370209243	0.000168383009007887	BLCA
HALLMARK_UV_RESPONSE_DN	1.67322162820213	0.000225015401208838	BLCA
HALLMARK_APICAL_JUNCTION	1.49963198236338	0.00132314880592908	BLCA
HALLMARK_ESTROGEN_RESPONSE_LATE	1.44848891074141	0.00232363700782656	BLCA
HALLMARK_FATTY_ACID_METABOLISM	1.50639235273633	0.00286946582916235	BLCA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.61161720342339	0.00320572828775393	BLCA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.56435565406485	0.00360778184528476	BLCA
HALLMARK_MYC_TARGETS_V2	1.6333001238048	0.00618318612743938	BLCA
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.39024603986198	0.00799955155574304	BLCA
HALLMARK_HEME_METABOLISM	1.41533128025988	0.00838312896909772	BLCA
HALLMARK_MYOGENESIS	-1.36232130298643	0.0219492975708552	BLCA
HALLMARK_KRAS_SIGNALING_DN	1.28690244653897	0.0405284457117726	BLCA
HALLMARK_APICAL_SURFACE	1.42133312252897	0.0481883309333708	BLCA
HALLMARK_ESTROGEN_RESPONSE_EARLY	1.20070935203013	0.124223602484472	BLCA
HALLMARK_SPERMATOGENESIS	1.14698384581323	0.20602113378082	BLCA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.13637302463217	0.296898420385103	BLCA
HALLMARK_TGF_BETA_SIGNALING	1.1191642609913	0.313813393107313	BLCA
HALLMARK_HEDGEHOG_SIGNALING	1.09867672603557	0.346687211093991	BLCA
HALLMARK_ADIPOGENESIS	1.02599430825038	0.409722222222222	BLCA
HALLMARK_PEROXISOME	0.920777077280433	0.693802035152636	BLCA
HALLMARK_BILE_ACID_METABOLISM	0.920073835302924	0.693802035152636	BLCA
HALLMARK_PANCREAS_BETA_CELLS	0.834341840003804	0.760933806146572	BLCA
HALLMARK_NOTCH_SIGNALING	0.754774191710312	0.867847138855542	BLCA
HALLMARK_DNA_REPAIR	0.767824128314277	0.96045197740113	BLCA
HALLMARK_ALLOGRAFT_REJECTION	2.85371128901914	5e-10	BRCA
HALLMARK_COMPLEMENT	2.29917538233758	5e-10	BRCA
HALLMARK_E2F_TARGETS	3.00087303211177	5e-10	BRCA
HALLMARK_G2M_CHECKPOINT	2.92806674210825	5e-10	BRCA
HALLMARK_INFLAMMATORY_RESPONSE	2.7385579742063	5e-10	BRCA
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.78920678024787	5e-10	BRCA
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.04424846503124	5e-10	BRCA
HALLMARK_MTORC1_SIGNALING	2.82081138458426	5e-10	BRCA
HALLMARK_MYC_TARGETS_V1	2.56966221103581	5e-10	BRCA
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.29017073071985	5e-10	BRCA
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.34391286418602	3.32974869908774e-09	BRCA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.96769481273312	3.08614723402779e-08	BRCA
HALLMARK_IL2_STAT5_SIGNALING	1.95789196970868	3.63890337637627e-08	BRCA
HALLMARK_MITOTIC_SPINDLE	1.91018100770198	6.91567716045857e-08	BRCA
HALLMARK_KRAS_SIGNALING_UP	1.91264665306841	7.06382846451689e-08	BRCA
HALLMARK_ESTROGEN_RESPONSE_EARLY	-1.92006030468129	1.24033767236639e-07	BRCA
HALLMARK_GLYCOLYSIS	1.85567717728789	2.79535084864647e-07	BRCA
HALLMARK_MYC_TARGETS_V2	2.20148438445469	1.42851612239857e-06	BRCA
