gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ARID1A	975965	182	27	3087614	927172	0	64	3	0	3	17	3291229	0	0
CDKN1A	904665	228	37	218862	72375	0	14	0	0	50	42	10040439	0	0
KDM6A	59340	NaN	36	1969951	530171	0	65	2	0	50	38	11454357	4.440892e-16	2.792137e-12
TP53	2069567	213	34	596177	164629	0	111	4	0	23	31	3754815	6.661338e-16	3.141154e-12
ZFP36L1	543449	259	46	447567	143592	0	26	1	0	50	37	10082706	1.998401e-15	7.538770e-12
ELF3	751933	168	31	526697	137995	0	33	0	0	50	40	10939819	2.442491e-15	7.678376e-12
RB1	349930	450	41	1333244	340645	0	45	0	0	3	0	987581	2.453593e-14	6.611381e-11
STAG2	338292	NaN	7	1838904	441777	0	36	7	0	4	7	1115154	4.647719e-10	1.095816e-06
EP300	1167197	154	42	3343339	920996	0	52	7	0	50	61	12539403	1.527909e-08	3.202158e-05
CDKN2A	225405	357	-15	460305	119853	0	13	0	0	50	35	11927593	4.953741e-08	9.343746e-05
MLL2	1770671	214	65	7371635	2370619	0	77	12	0	0	12	2370619	6.418084e-08	1.100526e-04
FBXW7	117295	501	51	1178072	315748	0	24	1	0	50	57	13015727	6.949978e-07	1.044375e-03
PIK3CA	401889	613	11	1523542	379631	0	44	1	0	45	46	10689498	7.198002e-07	1.044375e-03
PSIP1	200332	583	6	788019	183543	0	16	1	0	50	55	11257111	1.749822e-06	2.357510e-03
FGFR3	859388	222	42	1168422	361296	0	28	3	0	34	37	8510721	2.358901e-05	2.966239e-02
KLF5	274388	328	28	618372	184122	0	13	1	0	50	50	11210212	2.678674e-05	3.157822e-02
CREBBP	637890	242	39	3359165	953806	0	25	5	0	31	36	8326406	5.513013e-05	6.116850e-02
TSC1	1919595	461	33	1624288	447953	0	15	2	0	50	43	10542432	1.282544e-04	1.343964e-01
METTL3	707390	470	30	805775	228898	0	15	1	0	50	39	12838939	1.797929e-04	1.784870e-01
FOXQ1	114944	481	14	511450	190298	0	10	3	0	11	15	2415202	1.926269e-04	1.816664e-01
TFG	345618	509	16	557384	155365	0	8	1	0	50	44	13769392	2.539112e-04	2.280606e-01
HSP90AA1	1488666	145	41	1206636	303975	0	18	2	0	50	64	15945467	3.110867e-04	2.667144e-01
HIST1H3B	408919	685	43	179490	59637	0	9	0	0	50	39	9152060	4.862709e-04	3.987844e-01
C3orf70	760533	598	32	345277	93026	0	10	0	0	50	48	13184409	5.892611e-04	4.631101e-01
RHOB	621277	189	19	263638	78551	0	9	0	0	50	45	11462463	7.223492e-04	5.449980e-01
BTG2	574553	420	26	216739	62918	0	6	0	0	50	49	11572859	9.509156e-04	6.898527e-01
SMCHD1	502296	394	33	2858716	734558	0	18	0	0	14	2	4145640	1.089324e-03	7.609934e-01
ARID2	820796	602	10	2499350	736102	0	18	5	0	19	19	5380647	1.236318e-03	8.328365e-01
PARD3	139914	776	0	1918613	514345	0	12	3	0	50	27	11524223	2.045561e-03	1
HRAS	1970020	236	42	298185	83376	0	10	0	0	50	59	10983244	2.176377e-03	1
POLA2	3946871	242	49	840901	238934	0	9	0	0	27	14	6767931	2.317076e-03	1
CDKN1B	791330	136	44	274832	75463	0	4	0	0	50	48	11011422	2.422492e-03	1
NEK11	312654	797	12	957666	210756	0	10	1	0	50	38	11194193	2.478330e-03	1
HORMAD1	1611525	178	42	581702	136837	0	11	1	0	50	54	11246110	2.733862e-03	1
ZNF791	1975767	409	1	814074	195123	0	11	0	0	50	63	15087196	2.755016e-03	1
UBA52	1394856	259	48	184508	48829	0	5	1	0	17	13	3222521	2.887498e-03	1
ZNF750	711691	350	16	953420	306484	0	16	1	0	5	1	1232112	3.012099e-03	1
LEPRE1	820426	426	30	1032164	291430	0	8	2	0	50	43	12276344	3.021257e-03	1
MARK2	1321109	201	51	1100293	311888	0	6	0	0	30	18	7207392	3.186029e-03	1
CRISP3	67784	1246	-2	358208	85306	0	5	0	0	50	24	10454038	3.245758e-03	1
AKR1E2	287187	559	-13	461463	116958	0	6	0	0	50	27	9368413	3.618900e-03	1
MLL3	261375	616	16	6776037	1890435	0	54	9	0	23	21	5853304	3.944563e-03	1
CARD18	46073	568	-18	131626	31652	0	3	0	0	50	43	10603999	4.140857e-03	1
KRAS	259193	512	16	330802	79709	0	7	0	0	50	40	11124520	4.219508e-03	1
ERCC2	1280459	215	23	1091029	315941	0	22	3	0	50	52	11489290	4.350852e-03	1
IKZF2	55860	1226	19	751542	180069	0	10	0	0	50	38	10356380	4.378304e-03	1
ASXL2	602691	287	31	1944089	575719	0	20	3	0	37	33	9392538	4.397777e-03	1
BLVRA	690958	250	45	420354	112905	0	6	0	0	50	39	11497782	4.416753e-03	1
SLC25A30	680643	296	78	413792	114256	0	4	0	0	50	34	11651410	4.462552e-03	1
NUPL2	509506	218	23	584404	165980	0	7	1	0	50	32	9608891	4.727568e-03	1
AHR	370010	410	2	1188301	309572	0	17	2	0	50	51	11345891	4.934439e-03	1
RBM10	819569	NaN	38	1306996	361103	0	8	2	0	50	30	8986659	4.962777e-03	1
CDKN2AIPNL	929843	170	46	165594	43425	0	3	0	0	50	51	12608111	5.082259e-03	1
NKX2-2	283479	694	-10	364577	113677	0	7	0	0	50	43	11695414	6.276716e-03	1
LRRFIP2	392784	376	27	1052429	264217	0	9	0	0	50	24	11728996	6.640927e-03	1
SCG2	276568	364	-7	858850	216932	0	11	0	0	27	16	6685713	6.700993e-03	1
DEFB123	605825	450	-76	99202	23546	0	4	0	0	50	78	15293127	6.926578e-03	1
FOXA1	67481	487	-58	628408	195509	0	8	2	0	28	33	5177611	6.968239e-03	1
MAGEE2	117293	NaN	-10	711784	198404	0	7	2	0	43	47	12520682	7.110354e-03	1
TBL1XR1	135357	433	0	739383	187596	0	7	1	0	50	38	11663955	7.353894e-03	1
RPA3	218130	434	16	176402	43618	0	4	0	0	50	48	11160997	7.392888e-03	1
DCDC1	84163	938	-25	499291	133556	0	11	0	0	50	72	12678170	7.423126e-03	1
GPS2	1911735	206	36	469955	124099	0	7	0	0	50	43	11966000	7.498040e-03	1
USP7	401069	159	12	1614831	370560	0	12	2	0	12	3	2688683	8.061356e-03	1
EPHA2	866090	197	37	1347333	386772	0	14	2	0	50	51	12163439	8.133099e-03	1
ZNHIT1	1022626	258	39	217125	61374	0	6	0	0	50	54	10682936	8.267468e-03	1
TNFRSF10C	648331	237	48	356471	104413	0	5	1	0	50	45	12447921	8.331938e-03	1
ACTG1	3582152	268	26	514538	150154	0	9	1	0	27	15	3964220	8.834802e-03	1
SSH3	1369264	177	44	906328	270200	0	11	2	0	44	41	10190014	9.012583e-03	1
SLC9A4	184297	671	6	1105118	308221	0	7	3	0	17	8	4716920	9.197511e-03	1
WAC	204806	355	17	905363	251479	0	9	2	0	35	37	6771984	9.331000e-03	1
TAF11	1099530	304	24	299922	78744	0	6	0	0	50	41	11469411	9.336820e-03	1
PTPRK	107062	714	4	2038659	544260	0	15	2	0	50	32	12960143	9.422759e-03	1
HIST1H2AK	228884	634	40	169647	59058	0	5	0	0	50	39	8025905	9.548428e-03	1
SKP1	766424	144	54	251672	58093	0	6	0	0	50	73	11919101	9.616175e-03	1
TTYH1	807048	535	-7	652533	206124	0	7	1	0	47	57	9790311	9.629988e-03	1
INSL4	372067	616	20	188561	58093	0	4	0	0	50	33	10270109	9.780548e-03	1
CASP8	571730	386	37	825847	186824	0	9	0	0	13	16	3781256	1.013621e-02	1
GOLGA5	360146	405	41	1029076	270200	0	8	0	0	15	10	5188998	1.015324e-02	1
NAP1L1	604083	438	17	587492	128152	0	8	0	0	50	60	11804266	1.056834e-02	1
OR4A47	99957	835	-45	416494	120818	0	6	0	0	50	54	12389056	1.058599e-02	1
HMG20A	341694	645	30	499291	126029	0	5	1	0	50	52	12958792	1.066351e-02	1
DAZAP1	2352825	221	38	613933	174086	0	6	0	0	50	46	9937184	1.091052e-02	1
EXOSC10	577167	408	34	1269554	327328	0	9	1	0	23	16	5441828	1.119536e-02	1
NKG7	368509	610	-9	225038	70252	0	4	1	0	41	21	6471097	1.127244e-02	1
RNF111	591201	230	31	1362001	382526	0	14	0	0	7	2	1450395	1.143292e-02	1
C11orf88	401074	326	18	284675	71410	0	3	0	0	50	34	10956417	1.143413e-02	1
