sample	chromosome	start	end	num.mark	seg.mean
TCGA.02.0001	1	150823073	150848509	5	-2.1537
TCGA.02.0001	1	150852858	167483267	1814	0.1907
TCGA.02.0001	1	167493768	167507882	2	-3.4343
TCGA.02.0001	1	167523140	246352858	6435	0.1858
TCGA.02.0001	1	246358192	246630400	39	0.3893
TCGA.02.0001	1	246636010	246755225	14	0.0961
TCGA.02.0001	1	246794522	246795223	2	0.9294
TCGA.02.0001	1	246805521	247190718	43	0.0498
TCGA.02.0001	1	554268	74674720	6892	0.2077
TCGA.02.0001	1	74693652	75110251	37	-0.2659
TCGA.02.0001	1	75148402	150819451	3962	0.2112
TCGA.02.0001	10	115544	51496173	3705	0.013
TCGA.02.0001	10	51581040	51672831	2	-0.9431
TCGA.02.0001	10	51676176	135356671	7328	0.003
TCGA.02.0001	11	182372	50198508	4162	-0.0616
TCGA.02.0001	11	50217647	55118214	53	0.332
TCGA.02.0001	11	55124730	55194990	11	0.6293
TCGA.02.0001	11	55200744	58613124	416	0.3184
TCGA.02.0001	11	58620949	134432265	6793	-0.0896
TCGA.02.0001	12	119431835	120805873	171	-0.2491
TCGA.02.0001	12	120816755	122928799	246	0.0744
TCGA.02.0001	12	122934791	123069749	16	-0.4316
TCGA.02.0001	12	123080985	132099114	733	-0.035
TCGA.02.0001	12	132099174	132174410	10	-0.3524
TCGA.02.0001	12	132188959	132289090	15	0.3188
TCGA.02.0001	12	33854	9452803	1015	0.2561
TCGA.02.0001	12	9528590	9613074	4	1.2105
TCGA.02.0001	12	9626736	119426254	8957	0.2779
TCGA.02.0001	13	18065953	45251558	2655	0.1303
TCGA.02.0001	13	45256467	86073740	2584	-0.5651
TCGA.02.0001	13	86116491	86239183	5	0.0985
TCGA.02.0001	13	86276073	90384296	184	-0.5718
TCGA.02.0001	13	90405083	114123862	2224	0.0858
TCGA.02.0001	14	105863067	105898674	4	-0.6853
TCGA.02.0001	14	105907191	106349756	49	-0.0758
TCGA.02.0001	14	18149473	19216369	10	0.196
TCGA.02.0001	14	19268776	19490630	30	-0.4143
TCGA.02.0001	14	19497023	21518235	323	0.2755
TCGA.02.0001	14	21523818	21523818	1	NA
TCGA.02.0001	14	21529816	22081092	67	0.522
TCGA.02.0001	14	22086379	32584306	888	0.2861
TCGA.02.0001	14	32589598	37627931	523	-0.2732
TCGA.02.0001	14	37653458	69078818	2708	0.0379
TCGA.02.0001	14	69088190	69092211	2	0.8816
TCGA.02.0001	14	69098569	105857193	3591	0.0013
TCGA.02.0001	15	18362555	18790589	12	0.044
TCGA.02.0001	15	18810004	32226628	1021	-0.3472
TCGA.02.0001	15	32232855	32278207	5	0.1754
TCGA.02.0001	15	32285822	32285822	1	NA
TCGA.02.0001	15	32295824	32443495	25	-0.3701
TCGA.02.0001	15	32447707	32590643	16	-0.0644
TCGA.02.0001	15	32594902	38803637	582	-0.3193
TCGA.02.0001	15	38811118	38885441	15	0.0055
TCGA.02.0001	15	38888366	38930042	9	-0.3884
TCGA.02.0001	15	38936864	39344473	58	0.1045
TCGA.02.0001	15	39350000	40343873	134	-0.2542
TCGA.02.0001	15	40357928	41576415	164	0.0449
TCGA.02.0001	15	41584581	43224676	207	-0.2295
TCGA.02.0001	15	43228962	100282819	5759	0.0105
TCGA.02.0001	16	28087	45172598	3069	0.2477
TCGA.02.0001	16	45174916	54336421	676	0.0278
TCGA.02.0001	16	54343465	54379834	6	-0.709
TCGA.02.0001	16	54390012	54422612	5	0.3562
TCGA.02.0001	16	54437553	68706240	1157	0.0416
TCGA.02.0001	16	68710277	68754234	6	-0.6014
TCGA.02.0001	16	68795079	88690571	1875	0.0059
TCGA.02.0001	17	22315936	22485675	8	0.2982
TCGA.02.0001	17	22508198	58419953	3576	-0.1077
TCGA.02.0001	17	29169	22142513	2140	-0.1146
TCGA.02.0001	17	58435255	58458306	4	0.4381
TCGA.02.0001	17	58464716	78653545	1929	-0.1221
TCGA.02.0001	18	4316	69200187	5162	0.012
TCGA.02.0001	18	69242895	69320467	3	-0.7879
TCGA.02.0001	18	69369756	76110964	609	-0.0716
TCGA.02.0001	19	16834051	63784327	4009	0.0544
TCGA.02.0001	19	64418	9906235	1141	-0.2291
TCGA.02.0001	19	9913756	16820984	827	0.3139
TCGA.02.0001	2	106469088	106474895	2	-0.1415
TCGA.02.0001	2	106499382	109814986	215	0.683
TCGA.02.0001	2	110182348	111721172	87	0.2213
TCGA.02.0001	2	111843508	111952139	5	0.8267
TCGA.02.0001	2	111967886	120722217	655	0.2783
TCGA.02.0001	2	120728652	120915648	16	0.6398
TCGA.02.0001	2	120926763	126319250	315	0.2635
TCGA.02.0001	2	126347191	127495182	43	0.6473
TCGA.02.0001	2	127512478	242717016	9246	0.2527
TCGA.02.0001	2	20341	56911102	4493	0.4763
TCGA.02.0001	2	56953206	74424107	1476	-0.3042
TCGA.02.0001	2	74434432	74469631	6	0.4679
TCGA.02.0001	2	74475521	74545418	16	-0.2814
TCGA.02.0001	2	74553217	90982930	1006	0.4769
TCGA.02.0001	2	90999012	95193995	60	0.2176
TCGA.02.0001	2	95198204	97833851	205	0.458
TCGA.02.0001	2	97842142	106349970	688	0.6682
TCGA.02.0001	20	1516966	1539155	3	-2.0192
TCGA.02.0001	20	1546858	25680495	2016	-0.2167
TCGA.02.0001	20	25821065	25821065	1	NA
TCGA.02.0001	20	25839919	30779534	207	0.0597
TCGA.02.0001	20	30793762	53262774	2039	-0.1725
TCGA.02.0001	20	53302475	62379059	874	0.0376
TCGA.02.0001	20	8747	1506379	191	-0.2279
TCGA.02.0001	21	9896630	46914686	3362	0.4123
TCGA.02.0001	22	14504218	15528564	15	0.3139
TCGA.02.0001	22	15533988	22644243	801	0.0186
TCGA.02.0001	22	22656831	22671374	3	0.608
TCGA.02.0001	22	22677959	22696162	4	-1.2093
TCGA.02.0001	22	22701205	22720195	5	-5.5573
TCGA.02.0001	22	22725305	26318318	375	0.0211
TCGA.02.0001	22	26350482	26460067	6	-0.4177
TCGA.02.0001	22	26466340	49565816	2870	0.0137
TCGA.02.0001	23	2710316	2710316	1	NA
TCGA.02.0001	23	2719027	154582414	10937	0.6231
TCGA.02.0001	24	10254943	10511255	10	-6.0969
TCGA.02.0001	24	10537808	12598397	23	-1.0898
TCGA.02.0001	24	12604268	14598838	209	-4.8015
TCGA.02.0001	24	14601165	14681738	5	-1.2081
TCGA.02.0001	24	14684159	15358372	76	-4.8803
TCGA.02.0001	24	15362520	15370027	3	-1.0285
TCGA.02.0001	24	15376350	15564959	25	-5.1142
TCGA.02.0001	24	15587741	15682936	6	-1.551
TCGA.02.0001	24	15707307	15969469	14	-5.3865
TCGA.02.0001	24	15980898	16172539	11	-2.9654
TCGA.02.0001	24	16203872	24685322	390	-4.8649
TCGA.02.0001	24	24754207	26998370	17	-0.8444
TCGA.02.0001	24	27019306	27039222	2	-4.26
TCGA.02.0001	24	27069098	27069098	1	NA
TCGA.02.0001	24	2710450	3219184	57	-4.9525
TCGA.02.0001	24	27130098	57440809	9	-0.2167
TCGA.02.0001	24	3223585	3448671	6	-1.6869
TCGA.02.0001	24	3492092	3492092	1	NA
TCGA.02.0001	24	3503369	3780841	14	-0.6686
TCGA.02.0001	24	3889692	4431486	18	-1.8627
TCGA.02.0001	24	4511076	4763381	6	-3.5442
TCGA.02.0001	24	4767488	6652868	51	-1.3385
TCGA.02.0001	24	6696721	7631265	119	-4.2538
TCGA.02.0001	24	7645171	7679075	9	-1.7432
TCGA.02.0001	24	7682695	7723783	9	-5.212
TCGA.02.0001	24	7726934	7726934	1	NA
TCGA.02.0001	24	7729619	7799614	13	-2.6521
TCGA.02.0001	24	7802397	9132086	168	-4.7161
TCGA.02.0001	24	9145335	10251061	20	-3.2777
TCGA.02.0001	3	104605673	126884362	1797	-0.3206
TCGA.02.0001	3	127015325	127155887	7	0.142
TCGA.02.0001	3	127165393	135354488	799	-0.3201
TCGA.02.0001	3	135364269	196822133	4833	0.289
TCGA.02.0001	3	196830270	196942158	8	-0.1873
TCGA.02.0001	3	196943380	199379566	267	0.291
TCGA.02.0001	3	39066	104577146	8175	0.2696
TCGA.02.0001	4	41413	68905670	4501	-0.0297
TCGA.02.0001	4	69057735	69165814	11	-0.8093
TCGA.02.0001	4	69643272	191173837	8841	-0.0205
TCGA.02.0001	5	1353551	1930595	61	-0.4058
TCGA.02.0001	5	142480872	144636259	135	-0.3531
TCGA.02.0001	5	144679710	180644810	3020	-0.0277
TCGA.02.0001	5	1932405	5120649	233	0.143
TCGA.02.0001	5	5140295	7444674	144	-0.3809
TCGA.02.0001	5	7453486	7543127	12	0.1523
TCGA.02.0001	5	745859	878290	13	0.7663
TCGA.02.0001	5	75149	739292	74	0.1494
TCGA.02.0001	5	7559131	8635369	76	-0.3783
TCGA.02.0001	5	78964017	79017172	8	0.4019
TCGA.02.0001	5	79026025	142467835	4708	-0.0024
TCGA.02.0001	5	8689905	78954806	4705	0.0023
TCGA.02.0001	5	894957	1345928	55	0.2753
TCGA.02.0001	6	32558677	32629848	7	-1.993
TCGA.02.0001	6	32634044	32728487	11	-0.3748
TCGA.02.0001	6	32732764	78983276	3528	0.001
