target	r	p	drug
MAN1B1	-0.0608875128998968	0.811395119638546	1,4-butanediol | kifunensine
TOP1	0.0629514963880289	0.805011739019859	10-hydroxycamptothecin | 9-aminocamptothecin | aclarubicin | beta-lapachone | camptothecin | exatecan-mesylate | genz-644282 | irinotecan | luteolin | nemorubicin | pyrazoloacridine | rubitecan | SN-38 | sodium-stibogluconate | TAS-103 | topotecan
NOS3	0.234262125902993	0.347960540100274	1400W | 3-bromo-7-nitroindazole | 7-nitroindazole | asymmetrical-dimethylarginine | C11-Acetate | cis-exo-camphanediol-2,3 | diphenyleneiodonium | EIT-hydrobromide | fenoxaprop-p-ethyl | hexylene-glycol | L-Arginine | L-Citrulline | L-NAME | L-NIL | miconazole | NG-nitro-arginine | sapropterin | S-Isopropylisothiourea | targinine
HPGD	-0.0670794633642931	0.792281643563193	16,16-dimethylprostaglandin-e2 | coenzyme-i
NR3C1	-0.217750257997936	0.383814956786127	17-hydroxyprogesterone-caproate | alclometasone-dipropionate | amcinonide | beclomethasone | beclomethasone-dipropionate | betamethasone | betamethasone-acetate | betamethasone-valerate | budesonide | ciclesonide | clobetasol-propionate | clobetasone-butyrate | clocortolone-pivalate | cortisone | cortisone-acetate | deflazacort | desonide | desoximetasone | desoxycortone | dexamethasone | dexamethasone-sodium-phosphate | diflorasone-diacetate | difluprednate | fludrocortisone-acetate | fludroxycortide | flumethasone | flumethasone-pivalate | flunisolide | fluocinolone-acetonide | fluocinonide | fluorometholone | fluorometholone-acetate | fluoxymesterone | fluticasone-propionate | GSK9027 | halcinonide | halobetasol-propionate | hydrocortisone-acetate | hydrocortisone-butyrate | hydrocortisone-phosphate | isoflupredone-acetate | loteprednol | LXR-623 | medrysone | megestrol-acetate | meprednisone | methylprednisolone | methylprednisolone-aceponate | mifepristone | mometasone | mometasone-furoate | prednicarbate | prednisolone | prednisolone-acetate | prednisolone-hemisuccinate | prednisolone-sodium-phosphate | prednisone | rimexolone | spironolactone | triamcinolone | triamcinolone-acetonide
CDK5	-0.333333333333333	0.176416157919719	1-azakenpaullone | alvocidib | aminopurvalanol-a | AT-7519 | CDK1-5-inhibitor | dinaciclib | indirubin | indirubin-3-monoxime | kenpaullone | olomoucine | PHA-793887 | purvalanol-a | purvalanol-b | RGB-286638 | SU9516
GSK3B	-0.188854489164087	0.451372451515003	1-azakenpaullone | 4,5,6,7-tetrabromobenzotriazole | 8-hydroxy-DPAT | A-1070722 | AR-A014418 | AT7867 | AZD1080 | AZD2858 | bisindolylmaleimide-ix | BX-795 | BX-912 | CDK1-5-inhibitor | CHIR-98014 | CHIR-99021 | ellagic-acid | enzastaurin | GSK-3-inhibitor-IX | indirubin-3-monoxime | JW-67 | kenpaullone | LY2090314 | LY294002 | PD-98059 | PF-573228 | RGB-286638 | SB-202190 | SB-203580 | SB-216763 | SB-415286 | TCS2002 | tideglusib | TWS-119 | U-0126
MAN2A1	0.512899896800826	0.0313682126528439	1-deoxymannojirimycin | kifunensine | swainsonine
DBI	-0.376676986584107	0.124104416678016	1-hexadecanal | coenzyme-a
SRC	0.0773993808049536	0.76068792804468	1-naphthyl-PP1 | AZM-475271 | bosutinib | citric-acid | dasatinib | dorsomorphin | ENMD-2076 | KB-SRC-4 | KX2-391 | MNS-(3,4-Methylenedioxy-nitrostyrene) | PD-166285 | PD-168393 | ponatinib | PP-121 | PP-2 | purvalanol-a | rebastinib | saracatinib | SB-203580 | TG-100572 | TG-100801 | tolimidone | vandetanib | WH-4-023 | XL228
