cancer,gene,direction,omics
Cancer10,Gene26,high,Mutation
Cancer 5,Gene23,low,Methylation
Cancer 3,Gene25,low,Mutation
Cancer 3,Gene27,low,Mutation
Cancer 5,Gene21,high,Mutation
Cancer 4,Gene16,low,Protein
Cancer 3,Gene22,high,Protein
Cancer 1,Gene 7,high,CNV
Cancer 5,Gene29,low,CNV
Cancer 3,Gene 1,high,Methylation
Cancer 6,Gene30,high,mRNA
Cancer 2,Gene12,low,Protein
Cancer 2,Gene 7,low,mRNA
Cancer 8,Gene28,high,Methylation
Cancer 5,Gene 6,high,mRNA
Cancer 6,Gene11,high,mRNA
Cancer 7,Gene28,high,CNV
Cancer 9,Gene22,low,Mutation
Cancer 6,Gene23,high,CNV
Cancer 8,Gene11,high,Protein
Cancer 5,Gene28,low,Protein
Cancer 1,Gene20,low,Protein
Cancer 9,Gene19,high,CNV
Cancer 6,Gene25,low,Mutation
Cancer 4,Gene10,low,CNV
Cancer 9,Gene26,low,Mutation
Cancer 2,Gene20,high,mRNA
Cancer 6,Gene20,high,mRNA
Cancer10,Gene 8,low,Methylation
Cancer 2,Gene 9,low,Protein
Cancer 3,Gene23,low,Protein
Cancer 6,Gene18,high,Protein
Cancer 2,Gene14,high,CNV
Cancer 5,Gene 3,low,Methylation
Cancer 9,Gene28,low,Mutation
Cancer 8,Gene 6,low,Mutation
Cancer 7,Gene21,low,Methylation
Cancer 9,Gene23,high,mRNA
Cancer 4,Gene23,low,Protein
Cancer 3,Gene28,low,CNV
Cancer10,Gene28,low,Protein
Cancer10,Gene20,high,mRNA
Cancer 6,Gene 4,low,CNV
Cancer 2,Gene19,high,mRNA
Cancer 1,Gene14,low,Methylation
Cancer 4,Gene 8,low,CNV
Cancer 5,Gene16,high,Methylation
Cancer10,Gene16,low,mRNA
Cancer 6,Gene10,high,Protein
Cancer 4,Gene24,high,Mutation
Cancer 7,Gene 3,high,mRNA
Cancer 4,Gene17,low,CNV
Cancer 9,Gene 1,low,Methylation
Cancer10,Gene 6,high,mRNA
Cancer 4,Gene14,low,Methylation
Cancer10,Gene25,low,Protein
Cancer 1,Gene27,low,CNV
Cancer 9,Gene20,high,CNV
Cancer 4,Gene 9,low,Methylation
Cancer 8,Gene 3,high,Protein
Cancer 3,Gene13,high,Methylation
Cancer 3,Gene21,high,CNV
Cancer 4,Gene21,low,mRNA
Cancer 3,Gene 7,high,mRNA
Cancer10,Gene 7,low,mRNA
Cancer 5,Gene 8,high,Methylation
Cancer 6,Gene28,low,Mutation
Cancer 1,Gene 6,low,Protein
Cancer10,Gene 1,low,mRNA
Cancer 9,Gene 5,high,Mutation
Cancer 3,Gene16,low,mRNA
Cancer 8,Gene17,high,Protein
Cancer 7,Gene19,low,Protein
Cancer 1,Gene15,high,CNV
Cancer 2,Gene29,low,mRNA
Cancer 5,Gene 5,low,Mutation
