drug,therapy,n_sensitive,n_resistant,signaling
Drug 1,Immunotherapy,2,1,Signaling 1
Drug 2,Immunotherapy,2,1,Signaling 2
Drug 3,Immunotherapy,3,3,Signaling 3
Drug 4,Immunotherapy,4,2,Signaling 3
Drug 5,Immunotherapy,NA,3,Signaling 4
Drug 6,Chemotherapy,3,3,Signaling 5
Drug 7,Chemotherapy,NA,3,Signaling 5
Drug 8,Chemotherapy,1,2,Signaling 6
Drug 9,Chemotherapy,2,1,Signaling 6
Drug10,Chemotherapy,4,4,Signaling 6
Drug11,Hormone therapy,4,2,Signaling 7
Drug12,Hormone therapy,3,3,Signaling 7
Drug13,Hormone therapy,2,3,Signaling 7
Drug14,Hormone therapy,1,2,Signaling 7
Drug15,Hormone therapy,NA,NA,Signaling 7
Drug16,Targeted therapy,1,3,Signaling 8
Drug17,Targeted therapy,NA,1,Signaling 9
Drug18,Targeted therapy,3,1,Signaling 9
Drug19,Targeted therapy,2,3,Signaling10
Drug20,Targeted therapy,4,2,Signaling10
