source,target,color,type,alpha,size
Gene5,Mir1,#E31A1C,3,0.5,3
Gene6,Mir6,#1F78B4,1,0.6,3
Gene1,Mir2,#E31A1C,5,1,1
Gene9,Mir5,#1F78B4,3,0.6,1
Gene5,Mir1,#33A02C,4,0.9,1
Gene1,Mir3,#A6CEE3,3,0.7,1
Gene8,Mir2,#6A3D9A,1,0.5,1
Gene5,Mir1,#FDBF6F,3,0.8,1
Gene1,Mir4,#E31A1C,3,0.9,2
Gene4,Mir2,#E31A1C,4,0.7,1
Gene7,Mir2,#B2DF8A,2,0.5,3
Gene6,Mir6,#A6CEE3,5,0.6,3
Gene2,Mir2,#6A3D9A,5,0.5,1
Gene2,Mir6,#B15928,3,0.5,3
Gene5,Mir5,#B15928,5,0.5,2
Gene8,Mir1,#FB9A99,4,0.8,1
Gene2,Mir1,#FF7F00,5,0.5,2
Gene5,Mir2,#33A02C,5,0.9,2
Gene8,Mir3,#FF7F00,1,0.5,3
Gene2,Mir3,#FB9A99,1,1,1
Gene1,Mir5,#FFFF99,5,0.8,1
Gene1,Mir3,#B15928,3,0.8,2
Gene4,Mir6,#1F78B4,1,0.8,3
Gene2,Mir4,#FF7F00,1,0.5,1
Gene4,Mir2,#FDBF6F,5,0.7,3
Gene8,Mir1,#1F78B4,4,0.5,1
Gene6,Mir4,#B2DF8A,2,0.8,1
Gene2,Mir4,#6A3D9A,1,0.6,3
Gene8,Drug1,#B15928,4,0.8,2
Gene1,Drug3,#A6CEE3,4,0.6,3
Gene6,Drug3,#B15928,2,0.6,2
Gene1,Drug4,#E31A1C,2,1,1
Gene7,Drug5,#FB9A99,1,0.8,2
Gene9,Drug7,#B2DF8A,5,0.9,1
Gene6,Drug2,#B2DF8A,1,1,1
Gene3,Drug3,#6A3D9A,4,0.9,3
Gene4,Drug8,#FB9A99,1,0.6,2
Gene9,Drug7,#A6CEE3,1,0.7,2
Gene7,Drug3,#1F78B4,2,0.6,1
Gene6,Drug3,#B15928,4,0.9,2
Gene9,Drug8,#B15928,2,0.9,1
Gene6,Drug1,#1F78B4,2,0.5,1
Gene1,Drug6,#B15928,2,0.8,1
Gene4,Drug1,#FDBF6F,5,1,2
Gene7,Drug4,#CAB2D6,2,0.6,1
Gene5,Drug1,#FF7F00,3,0.6,2
Gene9,Drug1,#CAB2D6,5,0.7,1
Gene1,Drug5,#33A02C,4,0.9,2
Gene2,Drug4,#33A02C,1,0.7,1
Gene3,Drug5,#FF7F00,4,0.6,1
Gene1,Drug4,#1F78B4,5,0.7,2
Gene1,Drug5,#B2DF8A,1,0.6,2
Gene6,Drug4,#33A02C,4,0.8,2
Gene5,Drug4,#6A3D9A,3,0.6,1
Gene1,Drug2,#CAB2D6,1,0.9,3
Gene1,Drug1,#CAB2D6,5,1,1
Gene7,Drug6,#A6CEE3,3,1,3
Gene9,Drug1,#FDBF6F,3,1,1
Gene8,Drug2,#FB9A99,3,0.7,3
Gene6,Drug3,#33A02C,4,0.5,1
Gene3,Drug2,#33A02C,1,0.6,2
Gene7,Drug7,#CAB2D6,1,0.7,2
Gene9,Drug3,#A6CEE3,5,0.8,1
Gene8,Drug4,#E31A1C,4,0.6,1
Gene4,Drug7,#FDBF6F,3,0.6,1
Gene2,Drug8,#B2DF8A,3,0.6,2
Gene6,Drug6,#B15928,4,1,3
Gene4,Drug6,#FDBF6F,4,0.7,3
Gene7,Drug3,#FF7F00,2,0.5,2
Gene2,Drug4,#FB9A99,4,0.6,3
Gene9,Drug5,#FFFF99,5,0.5,3
Gene4,Drug5,#FDBF6F,4,0.8,2
Gene5,Drug8,#E31A1C,5,0.5,1
Gene5,Drug3,#FF7F00,2,0.7,1
Gene3,Drug8,#E31A1C,5,0.8,2
Gene8,Drug7,#B15928,4,0.6,1
Gene3,Drug1,#FDBF6F,2,0.8,2
Gene3,Drug8,#B2DF8A,2,0.7,2
Gene9,Drug3,#CAB2D6,2,0.9,3
Gene3,Drug8,#A6CEE3,5,0.8,2
Gene1,Drug3,#FDBF6F,3,0.7,1
Gene9,Drug3,#33A02C,3,0.5,1
Gene5,Drug1,#1F78B4,2,0.7,1
Gene3,Drug7,#33A02C,4,0.6,2
Gene2,Drug6,#FDBF6F,5,0.5,2
Gene9,Drug2,#A6CEE3,2,0.7,2
Gene5,Drug7,#FB9A99,1,0.9,2
Gene8,Drug6,#33A02C,2,0.7,2
Gene9,Drug1,#1F78B4,1,0.9,3
Meth9,Drug8,#FB9A99,5,0.6,2
Meth9,Drug6,#6A3D9A,3,1,2
Meth5,Drug5,#B15928,1,0.6,2
