source,target,color
P15,RBP20,red
P10,RBP17,red
P17,RBP4,red
P2,RBP14,red
P14,RBP4,red
P5,RBP5,red
P1,RBP12,red
P16,RBP2,red
P7,RBP9,red
P19,RBP13,red
P17,RBP17,red
P9,RBP14,red
P12,RBP2,red
P12,RBP19,red
P4,RBP16,red
P26,RBP9,red
P14,RBP4,red
P25,RBP13,red
P23,RBP6,red
P28,RBP18,red
P29,RBP6,red
P9,RBP18,red
P28,RBP8,red
P25,RBP8,red
P29,RBP15,red
P8,RBP10,red
P22,RBP20,red
P13,RBP2,red
P30,RBP13,red
P1,RBP20,red
P24,RBP15,red
P14,RBP10,red
P1,RBP12,red
P15,RBP20,red
P19,RBP17,red
P14,RBP2,red
P27,RBP5,red
P19,RBP1,red
P12,RBP1,red
P23,RBP1,red
P19,RBP17,red
P7,RBP4,red
P16,RBP20,red
P13,RBP5,red
P8,RBP19,red
P27,RBP5,red
P4,RBP19,red
P27,RBP2,red
P9,RBP9,red
P21,RBP3,red
P23,RBP14,red
P12,RBP20,red
P4,RBP20,red
P18,RBP10,red
P12,RBP3,red
P10,RBP6,red
P4,RBP20,red
P16,RBP13,red
P13,RBP16,red
P16,RBP13,red
P14,RBP9,red
P16,RBP12,red
P19,RBP10,red
P11,RBP19,red
P23,RBP20,red
P4,RBP20,red
P23,RBP9,red
P4,RBP6,red
P20,RBP15,red
P10,RBP9,red
P28,RBP6,red
P1,RBP15,red
P15,RBP12,red
P13,RBP14,red
P11,RBP20,red
P23,RBP4,red
P15,RBP8,red
P28,RBP9,red
P7,RBP5,red
P24,RBP13,red
P2,RBP20,red
P27,RBP19,red
P15,RBP18,red
P22,RBP19,red
P24,RBP17,red
P15,RBP16,red
P27,RBP1,red
P11,RBP5,red
P7,RBP7,red
P13,RBP4,red
P30,RBP18,red
P24,RBP4,red
P1,RBP18,red
P13,RBP14,red
P20,RBP16,red
P29,RBP15,red
P27,RBP10,red
P4,RBP7,red
P26,RBP14,red
P11,RBP18,red
N22,RBP18,cornflowerblue
N29,RBP15,cornflowerblue
N16,RBP12,cornflowerblue
N21,RBP13,cornflowerblue
N8,RBP14,cornflowerblue
N7,RBP19,cornflowerblue
N25,RBP8,cornflowerblue
N30,RBP7,cornflowerblue
N10,RBP20,cornflowerblue
N23,RBP8,cornflowerblue
N3,RBP7,cornflowerblue
N11,RBP2,cornflowerblue
N15,RBP1,cornflowerblue
N9,RBP3,cornflowerblue
N23,RBP13,cornflowerblue
N16,RBP7,cornflowerblue
N14,RBP17,cornflowerblue
N7,RBP20,cornflowerblue
N6,RBP11,cornflowerblue
N14,RBP8,cornflowerblue
N16,RBP10,cornflowerblue
N15,RBP2,cornflowerblue
N7,RBP8,cornflowerblue
N3,RBP11,cornflowerblue
N8,RBP12,cornflowerblue
N25,RBP2,cornflowerblue
N2,RBP6,cornflowerblue
N29,RBP16,cornflowerblue
N25,RBP14,cornflowerblue
N8,RBP10,cornflowerblue
N29,RBP13,cornflowerblue
N28,RBP10,cornflowerblue
N29,RBP3,cornflowerblue
N22,RBP12,cornflowerblue
N29,RBP14,cornflowerblue
N24,RBP15,cornflowerblue
N13,RBP14,cornflowerblue
N6,RBP16,cornflowerblue
N17,RBP5,cornflowerblue
N6,RBP9,cornflowerblue
N28,RBP16,cornflowerblue
N22,RBP10,cornflowerblue
N11,RBP14,cornflowerblue
N4,RBP17,cornflowerblue
N4,RBP5,cornflowerblue
N14,RBP2,cornflowerblue
N24,RBP11,cornflowerblue
N27,RBP7,cornflowerblue
N26,RBP6,cornflowerblue
N24,RBP3,cornflowerblue
N11,RBP1,cornflowerblue
N20,RBP15,cornflowerblue
N4,RBP14,cornflowerblue
N19,RBP4,cornflowerblue
N28,RBP10,cornflowerblue
N26,RBP6,cornflowerblue
N16,RBP11,cornflowerblue
N17,RBP8,cornflowerblue
N15,RBP2,cornflowerblue
N20,RBP2,cornflowerblue
N19,RBP19,cornflowerblue
N14,RBP11,cornflowerblue
N20,RBP16,cornflowerblue
N8,RBP18,cornflowerblue
N13,RBP18,cornflowerblue
N14,RBP15,cornflowerblue
N30,RBP3,cornflowerblue
N8,RBP9,cornflowerblue
N20,RBP1,cornflowerblue
N6,RBP2,cornflowerblue
N11,RBP20,cornflowerblue
N28,RBP11,cornflowerblue
N5,RBP14,cornflowerblue
N21,RBP14,cornflowerblue
N24,RBP12,cornflowerblue
N7,RBP13,cornflowerblue
N23,RBP8,cornflowerblue
N24,RBP8,cornflowerblue
N20,RBP17,cornflowerblue
N11,RBP3,cornflowerblue
N7,RBP16,cornflowerblue
N26,RBP17,cornflowerblue
N8,RBP10,cornflowerblue
N23,RBP4,cornflowerblue
N6,RBP6,cornflowerblue
N14,RBP10,cornflowerblue
N15,RBP6,cornflowerblue
N9,RBP7,cornflowerblue
N20,RBP10,cornflowerblue
N14,RBP17,cornflowerblue
N27,RBP13,cornflowerblue
N1,RBP10,cornflowerblue
N8,RBP7,cornflowerblue
N3,RBP13,cornflowerblue
N21,RBP7,cornflowerblue
N11,RBP14,cornflowerblue
N23,RBP17,cornflowerblue
N28,RBP17,cornflowerblue
N28,RBP12,cornflowerblue
N5,RBP11,cornflowerblue
