,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0034330,GO:0034330,cell junction organization,13/97,248/23239,3.57943477641927e-11,5.22617230575903e-08,3.86611242728802e-08,12552/12561/12565/13052/13837/14260/15257/16542/16774/226519/17926/18750/23836,13
GO:0034329,GO:0034329,cell junction assembly,12/97,200/23239,4.4572898130141e-11,5.22617230575903e-08,3.86611242728802e-08,12552/12561/12565/13837/14260/15257/16542/16774/226519/17926/18750/23836,12
GO:0034332,GO:0034332,adherens junction organization,9/97,121/23239,2.02469146930768e-09,1.58263383184217e-06,1.17076896190142e-06,12552/12561/12565/13837/14260/15257/16542/17926/23836,9
GO:0098742,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,10/97,199/23239,1.11361590899099e-08,6.52857326645969e-06,4.82957636320304e-06,12552/12561/12565/13052/13602/13837/16401/23836/23964/23965,10
GO:0070372,GO:0070372,regulation of ERK1 and ERK2 cascade,11/97,330/23239,1.34504389181958e-07,6.30825585263382e-05,4.66659438677614e-05,13837/13869/14254/14255/13617/16001/16337/16542/17096/18750/19279,11
GO:0050808,GO:0050808,synapse organization,12/97,424/23239,2.05142988010254e-07,7.66703693127573e-05,5.67176607013463e-05,12565/12826/13602/13837/13869/14658/16001/16337/17999/18750/20430/22288,12
GO:0070371,GO:0070371,ERK1 and ERK2 cascade,11/97,348/23239,2.28866774067932e-07,7.66703693127573e-05,5.67176607013463e-05,13837/13869/14254/14255/13617/16001/16337/16542/17096/18750/19279,11
GO:0044331,GO:0044331,cell-cell adhesion mediated by cadherin,5/97,37/23239,4.47681016740663e-07,0.000131226498032107,9.70760941563964e-05,12552/12561/12565/19273/23836,5
GO:0046777,GO:0046777,protein autophosphorylation,9/97,235/23239,6.26243442641791e-07,0.000163171208110556,0.000120707508008617,13869/14254/14255/16001/16337/16542/16589/17096/18750,9
GO:0038083,GO:0038083,peptidyl-tyrosine autophosphorylation,5/97,41/23239,7.59568498486333e-07,0.000178118812895045,0.000131765145842682,13869/16001/16337/16542/17096,5
GO:0070374,GO:0070374,positive regulation of ERK1 and ERK2 cascade,9/97,249/23239,1.0138725281869e-06,0.00021613918896348,0.000159891093440384,13837/13869/14254/14255/13617/16001/16337/16542/18750,9
GO:0007044,GO:0007044,cell-substrate junction assembly,6/97,83/23239,1.31729573457294e-06,0.000228911560822233,0.000169339581297291,13837/14260/16542/16774/226519/17926,6
GO:0010827,GO:0010827,regulation of glucose transmembrane transport,6/97,83/23239,1.31729573457294e-06,0.000228911560822233,0.000169339581297291,13869/13617/16337/18024/18750/20913,6
GO:0007157,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,5/97,46/23239,1.36663618401333e-06,0.000228911560822233,0.000169339581297291,12561/13052/16401/23964/23965,5
GO:0014066,GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,6/97,90/23239,2.12251801007256e-06,0.000331820315574677,0.000245467346006988,13869/14254/16001/16542/17926/19249,6
GO:0048639,GO:0048639,positive regulation of developmental growth,8/97,209/23239,2.72517080950056e-06,0.000399407846767426,0.000295465887766903,12561/13869/14255/16337/19090/20403/20430/21814,8
GO:1904659,GO:1904659,glucose transmembrane transport,6/97,105/23239,5.21727125625912e-06,0.000718274089460546,0.000531350330796086,13869/13617/16337/18024/18750/20913,6
GO:0048638,GO:0048638,regulation of developmental growth,10/97,392/23239,5.6761783768075e-06,0.000718274089460546,0.000531350330796086,11990/12561/13052/13869/14255/16337/19090/20403/20430/21814,10
GO:0008645,GO:0008645,hexose transmembrane transport,6/97,107/23239,5.81970477601295e-06,0.000718274089460546,0.000531350330796086,13869/13617/16337/18024/18750/20913,6
GO:1903706,GO:1903706,regulation of hemopoiesis,10/97,396/23239,6.20464903629288e-06,0.000723313973526636,0.000535078634663627,14254/14255/16331/16542/17096/18024/18750/20375/21417/21873,10
GO:0015749,GO:0015749,monosaccharide transmembrane transport,6/97,109/23239,6.47743856889525e-06,0.000723313973526636,0.000535078634663627,13869/13617/16337/18024/18750/20913,6
GO:0034219,GO:0034219,carbohydrate transmembrane transport,6/97,110/23239,6.82821958347734e-06,0.000727826132875198,0.000538416548974672,13869/13617/16337/18024/18750/20913,6
GO:0014068,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,5/97,66/23239,8.34179664860245e-06,0.000850500571346641,0.00062916617285569,13869/14254/16001/16542/17926,5
GO:0032869,GO:0032869,cellular response to insulin stimulus,7/97,181/23239,1.10207218643764e-05,0.00105631087430305,0.000781416371159885,16001/16337/18750/19090/19267/20430/20913,7
GO:0014065,GO:0014065,phosphatidylinositol 3-kinase signaling,6/97,120/23239,1.12613099605869e-05,0.00105631087430305,0.000781416371159885,13869/14254/16001/16542/17926/19249,6
GO:0042060,GO:0042060,wound healing,9/97,345/23239,1.43201954751273e-05,0.00129157147650668,0.000955452718340478,13052/13869/17096/17101/18024/18750/19128/21788/26401,9
GO:0050678,GO:0050678,regulation of epithelial cell proliferation,9/97,349/23239,1.5689175411553e-05,0.00136263393852191,0.00100802187439529,13052/13869/14254/13617/16401/16542/18750/20913/21814,9
GO:0030193,GO:0030193,regulation of blood coagulation,5/97,76/23239,1.66860839107733e-05,0.00139745952752727,0.0010337844468028,17096/18024/18750/19128/21788,5
GO:1900046,GO:1900046,regulation of hemostasis,5/97,77/23239,1.7786208975063e-05,0.00143822965677665,0.00106394455139397,17096/18024/18750/19128/21788,5
GO:0016339,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,4/97,38/23239,1.88799787204579e-05,0.00146879156676495,0.00108655302526255,12552/12561/12565/23836,4
GO:0007160,GO:0007160,cell-matrix adhesion,7/97,198/23239,1.97044670674054e-05,0.00146879156676495,0.00108655302526255,13837/14260/16401/16542/17926/18073/22288,7
GO:0001101,GO:0001101,response to acid chemical,9/97,360/23239,2.00432111456198e-05,0.00146879156676495,0.00108655302526255,12334/12826/13837/14658/16001/16542/17096/21417/21814,9
GO:0050818,GO:0050818,regulation of coagulation,5/97,80/23239,2.14285108860873e-05,0.00150790001134426,0.00111548388225579,17096/18024/18750/19128/21788,5
GO:0016311,GO:0016311,dephosphorylation,9/97,364/23239,2.18629425951833e-05,0.00150790001134426,0.00111548388225579,13853/14050/16331/19249/545622/19267/19273/19279/19777,9
GO:0034333,GO:0034333,adherens junction assembly,5/97,81/23239,2.27632633471214e-05,0.00152513864425713,0.00112823633070845,13837/14260/15257/16542/17926,5
GO:0008643,GO:0008643,carbohydrate transport,6/97,142/23239,2.93022034208053e-05,0.00182746785022259,0.00135188733797187,13869/13617/16337/18024/18750/20913,6
GO:0045216,GO:0045216,cell-cell junction organization,6/97,142/23239,2.93022034208053e-05,0.00182746785022259,0.00135188733797187,12552/12561/12565/13052/18750/23836,6
GO:0032868,GO:0032868,response to insulin,7/97,212/23239,3.05353793743207e-05,0.00182746785022259,0.00135188733797187,16001/16337/18750/19090/19267/20430/20913,7
GO:0048015,GO:0048015,phosphatidylinositol-mediated signaling,6/97,144/23239,3.17024392399059e-05,0.00182746785022259,0.00135188733797187,13869/14254/16001/16542/17926/19249,6
GO:0043405,GO:0043405,regulation of MAP kinase activity,8/97,293/23239,3.17677846197949e-05,0.00182746785022259,0.00135188733797187,14254/16001/16337/17096/18750/20660/26399/26401,8
GO:0009611,GO:0009611,response to wounding,10/97,479/23239,3.19514634793715e-05,0.00182746785022259,0.00135188733797187,13052/13869/16001/17096/17101/18024/18750/19128/21788/26401,10
GO:0048017,GO:0048017,inositol lipid-mediated signaling,6/97,147/23239,3.55966930305485e-05,0.00198748202753896,0.001470259401362,13869/14254/16001/16542/17926/19249,6
GO:0003254,GO:0003254,regulation of membrane depolarization,4/97,45/23239,3.72661595912158e-05,0.00203230568003258,0.00150341813968969,12291/16542/17926/545622,4
