	TCGA-OL-A5RW-01	TCGA-A8-A07R-01	TCGA-C8-A134-01	TCGA-B6-A1KF-01	TCGA-BH-A18T-01	TCGA-D8-A142-01	TCGA-AR-A1AQ-01	TCGA-AR-A1AI-01	TCGA-AR-A251-01	TCGA-E2-A14Y-01	TCGA-AC-A8OQ-01	TCGA-B6-A0I6-01	TCGA-B6-A0RT-01	TCGA-B6-A0RU-01	TCGA-B6-A0IQ-01	TCGA-B6-A0IJ-01	TCGA-B6-A0RE-01	TCGA-PL-A8LV-01	TCGA-C8-A12K-01	TCGA-E9-A244-01	TCGA-PL-A8LZ-01	TCGA-AC-A62X-01	TCGA-E9-A243-01	TCGA-B6-A0WX-01	TCGA-E9-A3QA-01	TCGA-B6-A0I1-01	TCGA-B6-A0I2-01	TCGA-E2-A1AZ-01	TCGA-GM-A3XL-01	TCGA-AO-A129-01	TCGA-AO-A128-01	TCGA-E2-A574-01	TCGA-E2-A1B6-01	TCGA-OL-A66I-01	TCGA-A2-A0D2-01	TCGA-A2-A0YM-01	TCGA-A2-A3XU-01	TCGA-A7-A26F-01	TCGA-A7-A13D-01	TCGA-A7-A26I-01	TCGA-A7-A13E-01	TCGA-A7-A0CE-01	TCGA-AQ-A54N-01	TCGA-E2-A1LG-01	TCGA-A2-A04T-01	TCGA-GM-A2DF-01	TCGA-A2-A3XY-01	TCGA-A2-A3XT-01	TCGA-A2-A0D0-01	TCGA-BH-A0E6-01	TCGA-E2-A1LI-01	TCGA-OL-A6VO-01	TCGA-A2-A3XX-01	TCGA-A2-A04P-01	TCGA-A2-A3XS-01	TCGA-A2-A0ST-01	TCGA-S3-AA0Z-01	TCGA-E2-A573-01	TCGA-A7-A4SD-01	TCGA-OL-A5D7-01	TCGA-A2-A04Q-01	TCGA-E2-A1LK-01	TCGA-A7-A5ZV-01	TCGA-A1-A0SO-01	TCGA-AN-A0AR-01	TCGA-AN-A04D-01	TCGA-AN-A0AL-01	TCGA-A2-A0T2-01	TCGA-A2-A0T0-01	TCGA-A1-A0SP-01	TCGA-A2-A0CM-01	TCGA-AQ-A04J-01	TCGA-A1-A0SK-01	TCGA-AO-A0J6-01	TCGA-BH-A0B9-01	TCGA-AO-A124-01	TCGA-AO-A1KR-01	TCGA-AN-A0FX-01	TCGA-AN-A0G0-01	TCGA-A8-A08R-01	TCGA-C8-A131-01	TCGA-BH-A0E0-01	TCGA-BH-A0RX-01	TCGA-AN-A0FL-01	TCGA-AN-A0FJ-01	TCGA-A8-A07O-01	TCGA-AR-A5QQ-01	TCGA-D8-A143-01	TCGA-LL-A8F5-01	TCGA-E2-A158-01	TCGA-S3-AA10-01	TCGA-E2-A1LS-01	TCGA-D8-A27F-01	TCGA-D8-A1XQ-01	TCGA-D8-A1JL-01	TCGA-D8-A1JK-01	TCGA-A7-A4SE-01	TCGA-EW-A1OW-01	TCGA-A2-A4RX-01	TCGA-E2-A14X-01	TCGA-E2-A1II-01	TCGA-A8-A07C-01	TCGA-A7-A0DA-01	TCGA-A2-A3Y0-01	TCGA-E2-A14R-01	TCGA-BH-A0B3-01	TCGA-E2-A1LL-01	TCGA-AO-A12F-01	TCGA-A2-A0SX-01	TCGA-B6-A402-01	TCGA-AR-A0TS-01	TCGA-AR-A256-01	TCGA-BH-A18G-01	TCGA-BH-A0BG-01	TCGA-BH-A0BL-01	TCGA-BH-A0DL-01	TCGA-BH-A18V-01	TCGA-BH-A1FC-01	TCGA-C8-A1HJ-01	TCGA-AN-A0AT-01	TCGA-AN-A0XU-01	TCGA-E9-A5FL-01	TCGA-C8-A27B-01	TCGA-AC-A2QJ-01	TCGA-HN-A2NL-01	TCGA-EW-A1P8-01	TCGA-A7-A6VY-01	TCGA-A7-A6VW-01	TCGA-A7-A6VV-01	TCGA-A2-A25F-01	TCGA-E9-A1N8-01	TCGA-C8-A12V-01	TCGA-D8-A27H-01	TCGA-D8-A27M-01	TCGA-AC-A6IW-01	TCGA-S3-AA15-01	TCGA-D8-A1XK-01	TCGA-AR-A1AR-01	TCGA-EW-A3U0-01	TCGA-D8-A147-01	TCGA-EW-A1PH-01	TCGA-EW-A1PB-01	TCGA-AR-A2LR-01	TCGA-BH-A0WA-01	TCGA-A7-A26G-01	TCGA-E2-A150-01	TCGA-BH-A1F0-01	TCGA-A2-A4S1-01	TCGA-EW-A1P4-01	TCGA-AC-A2QH-01	TCGA-AR-A1AY-01	TCGA-AC-A2BK-01	TCGA-E2-A14N-01	TCGA-AO-A0J4-01	TCGA-AR-A1AJ-01	TCGA-AR-A1AH-01	TCGA-AR-A0U4-01	TCGA-BH-A1F6-01	TCGA-AR-A24Q-01	TCGA-E2-A1LH-01	TCGA-GI-A2C9-01	TCGA-AR-A0TP-01	TCGA-BH-A0BW-01	TCGA-BH-A0AV-01	TCGA-E2-A159-01	TCGA-BH-A5IZ-01	TCGA-A8-A07U-01	TCGA-A2-A04U-01	TCGA-AO-A0JL-01	TCGA-LL-A6FR-01	TCGA-LL-A5YP-01	TCGA-OL-A5S0-01	TCGA-A2-A1G1-01	TCGA-LL-A73Y-01	TCGA-E9-A1ND-01	TCGA-E9-A1N9-01	TCGA-E9-A22G-01	TCGA-BH-A18Q-01	TCGA-A7-A13E-11	TCGA-A7-A0CE-11	TCGA-E2-A158-11	TCGA-E2-A1LS-11	TCGA-BH-A0B3-11	TCGA-BH-A0DL-11	TCGA-BH-A1FC-11	TCGA-BH-A1F0-11	TCGA-BH-A1F6-11	TCGA-E2-A1LH-11	TCGA-GI-A2C9-11	TCGA-BH-A0BW-11	TCGA-E9-A1ND-11	TCGA-E9-A1N9-11	TCGA-BH-A18Q-11
hsa-let-7a-2-3p	0.629537	1.019784	18.706934	17.35007	33.264458	17.164192	6.687519	6.1631327	29.706465	2.872237	13.396267	6.9663715	5.81619	16.795929	7.83126	1.366228	6.539134	2.411841	11.095437	16.919487	2.27711	1.0184729	13.832546	7.6700053	54.39574	4.9402533	41.125427	26.202646	3.0923061	6.579566	12.146596	35.12581	15.701942	2.0107481	5.429481	3.856772	1.743961	4.8714952	21.428566	6.746818	3.439476	38.069687	38.45842	4.636801	8.566648	53.415207	4.6004415	2.496872	4.537627	11.837561	16.36699	2.005476	19.954325	6.605511	7.991727	9.511088	2.374718	1.947053	3.681594	0	3.493352	28.040514	0.563153	5.596835	81.81483	0	7.246893	3.181267	5.601694	6.9712124	0.770284	10.16293	0.78415	2.311206	21.379765	0	5.421494	2.3529391	45.9875	4.8331957	3.98405	15.993183	32.20711	0	68.300285	2.488794	14.448706	3.8350048	0.501133	13.7617235	4.526712	53.657402	1.557554	8.813505	3.4015222	7.2775927	9.411124	27.857883	3.361833	24.688622	3.7057528	1.022511	48.335205	1.533351	13.921843	1.568854	45.427444	3.550705	2.91503	14.0534	44.53706	2.052048	5.231694	9.971937	13.127371	5.855157	8.030929	3.695212	6.64737	8.486952	15.859658	3.1181412	1.216992	5.5510507	2.1437068	14.902862	1.220646	1.605252	4.2076073	22.088337	8.806809	8.502611	11.442753	8.015436	4.129734	7.3076124	9.512825	11.699214	6.459132	9.159173	16.92215	7.384564	4.229187	25.134842	14.333491	5.252187	17.392525	34.998943	42.879066	5.73337	18.748196	0	24.281534	16.352207	42.02997	9.863618	5.519424	8.902039	20.891928	14.328513	7.2252398	17.551302	51.18388	15.696493	6.4513803	5.598879	3.699698	10.24668	23.319832	2.961914	6.257041	2.8709378	156.37944	6.9168386	20.33413	12.398125	1.761175	10.587528	13.437475	1.7934629	17.91845	2.576259	8.295551	6.6704483	4.88926	8.400063	4.9839053	7.722134	5.653122	15.099426	23.497705	2.12718	20.194221
hsa-let-7a-3p	50.572777	149.90823	45.68809	38.170162	55.123962	29.32216	49.67871	38.73969	47.225662	37.33908	53.241573	60.95575	27.419182	67.1837	45.02974	62.846466	26.15654	21.706572	84.224464	48.47204	25.048214	42.164776	25.820755	36.645576	65.01483	82.008194	107.42969	21.461212	80.01343	60.156025	32.759	73.03939	48.176407	23.215002	177.36305	22.176437	71.79304	30.794806	49.714275	45.243378	42.993446	111.96967	46.360836	98.300186	258.90314	51.780056	17.356203	65.988785	89.61814	28.517757	68.32569	30.082142	22.804943	53.66977	31.522919	38.638794	32.96671	42.18614	39.158775	63.165207	47.74248	65.69492	52.936405	22.38734	44.38889	169.98503	93.00181	54.717785	75.62286	83.1183	30.81137	61.575394	35.286743	102.84867	80.38792	23.908201	123.61005	61.960735	80.93799	234.89337	53.78468	158.78944	40.949043	94.08491	40.593563	206.5699	38.900364	34.898544	73.66653	31.14495	17.04174	132.22716	40.941418	54.056156	32.59792	23.65218	45.312824	12.440643	26.52113	49.37724	27.175526	54.19306	159.10341	67.467415	96.02504	65.10743	53.94509	68.4779	61.215637	54.85359	43.909775	40.52793	74.11567	48.613194	27.601137	45.670227	50.594852	63.742397	103.50903	75.89293	31.719313	45.881214	67.340225	54.229496	91.107544	45.70211	17.699375	31.783985	27.89487	4.207303	32.024757	47.745438	99.6627	42.60837	53.686543	26.5997	36.069454	48.322838	21.247145	36.636696	6.768857	29.538258	32.694874	29.789442	31.533686	31.51312	61.59853	77.52102	60.16901	30.24847	35.413254	25.733232	85.191154	111.6216	39.117004	52.43292	54.274338	26.70612	66.33187	15.103028	60.898457	57.183266	43.95792	40.810883	55.48187	39.658722	28.364351	28.769524	44.696342	45.66284	45.659485	26.111864	41.300213	35.275856	37.10979	60.006935	78.95935	98.81693	26.874949	19.728092	10.674822	9.710512	23.780586	20.752504	22.350904	34.094376	13.844179	44.187763	15.546083	24.425547	23.49771	34.566692	23.042126
hsa-let-7a-5p	20800.936	23581.482	36746.89	18038	25587.023	23427.684	20224.01	18173.322	13935.76	30373.078	30012.797	21894.875	19392.006	26489.432	15602.804	13552.9795	13606.074	25540.357	56261.42	18272.814	22616.828	20229.314	27295.299	11368.652	32149.191	25369.191	23444.014	19676.818	29749.922	34667.73	50049.848	23510.314	40150.92	19493.12	17824.99	8366.302	31579.07	24857.49	16727.998	12993.974	28191.666	37318.367	28741.61	48993.375	30965.57	28213.592	31923.078	20806.443	23675.068	13156.911	11031.997	36876.69	21247.877	26947.19	16360.545	16791.23	56711.973	20996.371	17101.338	14948.542	14424.051	25107.467	18044.836	10262.995	16409.098	31382.521	24042.768	13744.347	18851.943	22569.027	17704.213	21022.916	14300.537	13424.64	16577.871	20219.164	20090.969	22634.492	19929.145	27519.258	26219.03	16952.773	16926.217	27070.08	14708.405	24021.84	19153.707	43373.15	45649.69	29492.826	24760.852	27959.975	82106	27013.793	50524.52	12150.4	18065.523	31918.342	25032.959	32642.047	10826.566	29476.94	20971.156	25218.496	47203.62	22048.678	18401.902	30577.156	16617.996	31562.121	24642.791	23692.428	39048.492	38540.312	28051.844	24715.209	35594.69	37305	29444.998	33565.57	15553.367	16529.26	50152.258	32027.643	59003.387	18879.941	30434.072	19484.547	43445.26	19568.164	23419.436	19561.89	84832.86	51031.75	26594.73	21575	12263.225	33950.61	20357.31	36067.418	12667.919	14816.047	81355.74	19238.4	24041.56	23455.611	34113.27	38602.52	26032.428	49508.84	31719.346	30883.916	33975.207	24948.486	23294.586	27344.547	12346.033	13375.61	41610.46	33285.426	43028.617	25558.098	20151.389	36884.414	11182.817	22564.89	15647.258	29138.416	24349.791	23342.104	22702.068	25982.268	44304.305	43224.543	17361.79	19788.4	24613.305	26376.18	40962.42	28363.355	28001.197	23335.154	26148.125	48668.312	32667.596	39414.8	33106.426	45651.53	59231.055	34974.27	42704.22	28231.945	43694.344
hsa-let-7b-3p	23.502703	22.435246	32.01764	31.23013	38.016525	35.043556	27.705437	39.62014	26.659647	25.850134	72.820724	42.669025	37.38979	34.71159	12.725796	30.740122	49.510593	11.370109	92.7982	53.959446	21.347906	15.684483	45.18632	23.010017	52.011864	83.9843	99.03674	23.956703	59.140358	39.477394	30.918604	27.877628	83.148926	18.827919	27.147404	18.319664	27.322056	30.968788	28.285707	31.352863	41.27371	104.1318	14.751173	93.663376	13.325896	39.243835	33.666855	78.11645	45.376274	12.913703	37.670055	17.547916	26.922504	22.293598	26.195099	36.85547	39.532112	16.22544	20.081423	6.648969	10.480056	57.683346	10.418337	11.993217	29.592598	24.126907	91.79398	29.903906	53.216103	54.160957	26.189667	16.141123	22.740345	54.313347	28.221289	14.344921	88.9125	23.529394	80.937996	39.632214	32.44155	22.847403	19.78437	14.255289	55.413437	36.087517	17.227304	22.933329	68.6552	31.144953	23.432394	144.57689	56.96198	36.42915	54.140896	20.92308	31.370417	19.538681	27.268202	53.799084	22.23452	19.4277	101.27378	25.04472	60.32799	58.83202	34.07058	15.217311	37.8954	47.60022	46.418903	44.11901	62.78033	49.859688	32.313526	45.670227	56.216503	64.6662	143.39328	20.564537	43.61406	10.245317	56.3873	41.632885	31.798319	70.540215	22.276798	19.584072	33.193348	136.73732	38.162834	32.70235	114.61208	137.52802	40.921906	18.415178	22.196592	75.79056	13.258216	53.54594	2.538322	36.054054	32.20689	53.062447	43.956047	36.76531	97.83296	24.531971	67.084984	9.88512	32.80934	18.748497	82.31029	127.973785	41.61383	10.901894	51.514626	11.869383	90.87988	19.072407	76.897194	91.71969	71.05527	41.595707	52.471222	19.129505	9.865861	24.828493	62.18622	17.524658	18.094685	8.612813	91.42183	25.592293	54.902153	25.292175	68.97936	53.819935	109.6873	26.389524	30.118246	16.646595	48.667236	37.799206	41.209476	55.83571	25.473291	33.891586	59.514805	45.742386	68.123604	73.91953	74.563286
hsa-let-7b-5p	17741.598	19823.574	21349.643	16859.062	17249.053	26597.344	18971.533	19607.57	7589.621	21536.03	22312.686	30658.566	32638.791	30582.035	14127.591	15902.892	32261.285	8594.082	53436.117	22217.568	11434.224	8107.858	14929.007	11651.163	20311.066	17960.785	36679.684	11515.939	39902.35	21944.729	54908.49	10703.337	24443.291	8620.811	11319.563	6656.787	21002.23	13824.775	29675.998	9298.703	25990.398	45445.137	13057.945	21090.957	17273.213	12102.906	20334.78	25458.832	56500.27	9235.987	6471.0654	12507.148	11778.436	17090.936	12656.38	18943.707	23535.863	10030.138	10458.74	7477.597	13423.788	30548.932	8318.055	7054.408	19687.783	20581.344	40626.08	18232.48	29583.113	33162.06	10921.092	16603.238	23064.984	10658.125	14841.832	10878.23	28430.307	18892.537	33958.086	22870.69	27485.105	28824.285	15564.776	14372.896	28128.77	13833.962	7746.4517	40461.3	41879.16	12088.588	11654.154	35985.82	55496.1	19198.557	19682.059	7469.0854	14340.812	19867.322	18852.414	22431.639	7393.801	11588.112	29492.535	11198.566	44226.484	55349.953	15566.47	24073.281	24789.99	30035.283	20140.79	17699.938	29848.56	35759.996	21144.824	15289.573	40232.55	6219.9653	21616.293	14136.324	22802.227	8022.9746	22610.496	22310.1	30791.496	12834.346	13224.483	8969.507	34618.953	45014.977	21476.602	17396.348	62370.555	30511.814	10153.889	11623.779	15755.22	22311.926	9672.377	26096.6	8114.1704	13764.396	25935.654	26128.137	22559.963	10994.796	18967.996	19152.92	21211.305	12481.347	26016.764	14378.992	25766.412	44736.79	16963.465	7926.7153	19979.395	6267.629	43859.477	18380.293	33299.06	73323.07	23865.54	23211.973	12456.753	17233.82	11170.622	16257.542	53226.535	12550.373	11446.832	6977.474	11843.54	20942.793	12766.785	12710.06	24208.236	16171.563	30188.38	37502.332	20595.918	17900.432	42168.508	34116.13	21904.934	23329.926	20673.797	45718.895	42646.676	36848.375	49081.188	25251.762	28704.021
hsa-let-7c-3p	7.134749	41.811134	26.261656	351.33893	35.165287	57.213966	47.767994	99.49058	90.64281	11.078627	28.510004	18.722124	39.882446	71.10276	72.43915	4.781797	16.814919	8.613719	6.052056	33.610332	10.246995	14.869704	42.41981	104.3973	7.151631	154.13588	48.679077	60.1413	14.301916	31.017952	72.1434	35.68336	50.67445	6.580633	58.819378	28.925785	379.89282	16.180323	12.857139	19.04984	73.08886	62.703014	44.25352	11.592003	23.796246	1.63516	15.683319	4.993745	13.612882	23.675121	57.544254	11.531488	21.221266	101.55974	26.491089	51.1221	17.321491	28.55677	42.170986	10.804576	30.275719	79.31459	44.489113	38.378292	53.092598	46.060463	18.117233	68.07911	5.041525	36.4648	10.78398	26.901873	14.1146965	210.31976	58.152958	11.9541	123.61006	25.882334	92.894745	11.599672	29.5958	28.559254	29.446505	20.67017	36.727516	22.399147	4.723616	7.6700096	17.038517	32.59355	6.3906517	204.1962	10.457863	15.864306	21.542974	29.565224	37.6445	15.722532	10.459036	49.745728	13.587761	29.652807	52.363148	18.91132	3.212733	26.670517	27.445747	15.724554	41.393433	7.706703	43.282494	18.468424	52.31694	26.799583	62.607456	21.664082	19.27423	25.866482	90.21431	15.668219	52.53512	32.963196	0.405664	42.273388	5.001982	82.4625	11.596144	22.794577	7.636027	55.746754	27.487919	34.66449	18.825174	13.077818	27.030985	37.999584	47.564117	42.2189	24.646687	16.204693	26.22933	149.86325	14.314173	18.618402	36.311516	74.18714	128.26988	39.251152	66.393394	13.443765	76.55512	3.308558	76.13702	17.063173	98.62479	20.246374	14.718464	25.519176	62.15349	14.328512	7.9993734	14.154274	35.527634	10.987546	28.38607	4.665732	35.76375	19.311052	52.46962	8.145263	9.808333	11.073618	17.241837	15.632049	52.36039	33.7229	25.830568	37.05635	82.49984	23.058807	40.41182	5.945213	37.053463	51.881264	36.320217	74.61231	33.226032	48.906845	21.199203	64.838715	152.63637	60.62466	124.78993
hsa-let-7c-5p	1221.9305	2516.8262	2000.5625	16227.522	628.2231	2950.0947	2470.5605	2438.8396	3321.0305	1473.4574	2155.7683	1738.5453	3087.5664	5692.7007	6467.641	563.56885	1988.8312	1116.3379	584.02344	1712.0691	1962.8689	2830.5393	2321.1016	10501.942	1121.7223	10216.444	4824.265	5027.664	1891.3319	2817.934	8117.605	2844.0754	4390.835	1257.449	3789.7778	1591.8822	59532.414	1917.4548	995.9996	1505.3344	3958.8364	4603.0728	5480.589	841.11584	2118.8179	818.67	2747.7183	889.6001	1204.7399	1951.0453	1213.2352	1070.9242	2360.9453	6489.088	3427.71	3709.9192	3594.6284	1655.211	3461.0334	666.5592	2718.9927	5705.0435	7151.2026	3020.6917	2560.6296	7348.8364	837.0161	6207.2866	743.9051	1773.3691	1078.398	3231.8115	750.0394	8357.322	2782.7903	1723.7814	3836.249	2975.6838	1851.4569	902.8411	2269.7705	1740.9722	2726.5625	6929.496	1896.2992	864.85596	676.0328	1033.457	1883.2571	2311.9697	431.6353	4666.0645	1416.0392	597.9473	4123.2134	1690.2211	2196.6267	1947.2279	1352.951	2625.4688	767.0908	1374.2542	2584.7825	1739.8414	244.52469	2088.1445	1296.575	1274.196	2755.8699	1359.5531	1806.5739	664.3502	3280.2732	1348.0815	4128.7256	873.5895	1016.7156	716.8711	2179.388	893.4148	2354.1677	2537.2751	240.96446	7926.901	1570.2655	2500.7	1958.8325	2390.8623	1450.2219	3543.5999	2355.4207	2157.0474	1783.962	1746.5216	688.9147	2292.8364	1541.4738	3371.916	2183.1868	1331.6031	5385.4746	9241.133	5955.834	1469.9229	3462.0164	3659.4612	4058.9805	3412.888	2947.5903	9545.467	4636.012	1681.8506	4693.333	855.2913	2145.61	1642.033	814.11505	1060.8262	3695.782	1235.8341	1604.7775	1760.2253	2868.1035	1106.6028	1704.8848	731.12036	2504.6956	893.82587	8279.512	1384.6948	1272.2084	1690.5725	925.44556	2078.6475	1876.3317	1611.7563	1443.5768	966.11206	6706.55	9443.094	4542.5176	4557.402	8707.5625	9147.409	6739.495	6890.769	7071.607	9336.918	13524.779	5933.6313	10344.716	6077.887	10368.955
hsa-let-7d-3p	806.8561	827.0447	728.1312	783.3557	517.97516	764.52155	842.6274	854.0341	807.40656	486.63895	318.76245	578.2089	312.41248	270.97437	380.79507	550.5897	413.83383	380.03726	963.79	496.38116	182.1688	638.7862	603.099	212.62961	447.5187	545.89795	806.56195	268.14038	512.5497	548.9239	122.570175	728.7212	184.85469	422.62286	806.2779	357.71555	865.2952	459.48627	517.7141	810.8088	718.85034	731.1619	276.5845	319.01193	2044.5734	317.76605	207.22893	314.60593	1243.3097	222.76137	522.1849	517.41284	386.41714	864.49615	278.97043	221.72723	473.68692	444.14435	232.27515	796.2141	598.52765	562.41254	1017.3363	576.474	746.77783	1550.7021	541.1014	500.73145	405.5627	448.8388	706.35065	349.12653	732.00385	1358.9894	133.40973	480.55487	563.8354	208.62729	1000.6879	1322.3627	638.0171	728.83215	318.39035	1055.6041	461.9935	1372.57	250.35164	358.64963	217.99277	1355.1675	315.53845	605.988	457.03082	1014.9241	565.21967	221.51175	340.8919	272.09146	264.8377	420.07504	526.2169	465.2423	712.94446	501.91672	480.83908	608.7153	195.90587	971.37164	503.71725	395.30856	550.12683	1472.3438	694.0714	856.0286	379.0108	731.30914	1207.0487	1768.1586	980.0123	1180.6654	311.24582	124.28015	1428.7485	304.0268	896.78406	1029.2911	294.7861	498.91226	248.40465	1601.9303	792.6127	419.89822	666.81726	446.3333	324.74722	211.92073	883.8999	494.41895	221.14027	1404.8765	247.90945	415.27322	534.6669	592.0652	447.68274	858.0759	428.291	347.04562	1019.4153	167.25626	444.7488	994.4056	366.28076	400.9846	683.29913	211.8082	478.35	494.3598	599.076	157.61362	370.55157	665.25085	870.126	392.4123	1162.5388	245.41754	173.8858	691.25684	599.51404	336.6709	550.9578	105.40444	348.04453	311.39594	462.60144	448.81207	840.3741	502.9076	353.74933	161.41165	216.9276	113.751724	248.86656	264.84152	204.65047	164.78943	197.14111	146.29152	312.80612	400.13483	749.75464	282.9151	237.92937
hsa-let-7d-5p	750.8273	1061.5948	411.19275	399.91907	241.40492	122.29484	353.4831	379.47293	622.69336	256.4497	186.17374	712.3116	420.42743	412.6201	418.97244	298.5207	232.60634	593.31287	482.6515	224.52615	329.04242	384.37167	476.7618	296.99973	250.95723	379.4114	466.6477	96.825	390.40363	450.2303	168.57997	296.61798	697.30914	328.30045	581.8593	312.3985	263.62872	164.7609	251.99994	162.71738	348.2469	409.80893	288.1747	229.52168	1148.8827	234.37292	183.18115	167.64714	605.7732	232.98471	466.7189	498.36078	235.33438	966.0559	261.21097	408.97684	329.94647	328.61923	142.2434	428.8585	303.92163	372.53824	326.6289	594.8636	653.6482	1062.6807	838.2241	319.39923	306.41272	537.3196	586.18634	494.3966	622.2231	636.7372	137.6857	455.4512	599.6172	300.3919	336.62845	707.57996	344.3358	479.7955	346.9166	728.44525	461.34918	668.24133	185.0546	139.7476	155.35115	874.956	255.35982	381.13785	205.81966	559.16797	604.33704	166.0201	251.66043	132.57301	185.64787	365.1705	409.6915	450.9272	604.19025	217.73576	452.99536	320.8306	150.47841	707.0978	332.8965	335.01495	477.98935	407.33136	524.9133	719.53784	218.78947	274.02133	509.16092	1594.484	676.1326	263.5851	239.8773	200.89731	824.7149	149.02434	432.31424	487.8204	245.34993	247.85089	308.2462	181.9658	390.4352	442.13593	308.76974	196.16727	255.66805	217.47453	269.9264	809.2806	310.03836	625.642	119.30115	275.83524	297.6697	444.0489	373.1486	466.78815	412.3479	215.88135	585.7833	160.33667	286.95154	469.81525	647.78204	450.75217	314.18442	155.74132	362.44214	214.53912	394.85745	126.245804	270.94653	413.8709	421.51434	244.86531	478.26227	289.742	239.24713	707.80927	429.47345	198.20143	307.77866	124.81745	409.39334	244.99432	270.9523	557.9156	570.3273	176.4588	202.49963	85.83	183.75941	103.44669	112.81951	130.69138	91.84824	145.27165	93.03288	131.27625	190.63583	142.5564	120.45043	76.04672	160.25925
hsa-let-7e-3p	17.417181	23.455029	3.597487	20.820086	12.355371	10.727619	18.151838	4.402238	16.37664	6.1547937	14.770243	17.851326	8.308843	25.753761	23.493776	17.76096	11.209946	6.201877	18.15617	21.26368	6.831331	11.610591	10.1438675	11.93112	11.052521	10.868556	17.625183	15.222486	14.688454	7.5195036	15.091225	13.938814	7.850971	12.247286	36.19654	3.856772	22.671494	18.964031	23.14285	31.352863	21.496723	13.43636	26.86821	16.692486	46.640636	11.446119	16.728874	12.484364	12.478476	11.29949	35.46181	12.032856	37.691505	14.862398	18.35137	8.322203	8.241676	14.062047	18.407972	8.311212	5.822254	11.216206	64.76263	24.785982	13.055555	24.12691	20.532866	16.542587	8.402542	18.2324	13.094832	17.336761	20.77997	68.18059	33.352436	7.17246	11.927288	25.882334	1.8395	17.399508	31.30325	19.420294	14.723251	29.223343	20.618954	18.665955	7.780073	8.59041	21.047577	21.004734	12.781305	45.35328	10.235355	44.655087	2.551142	9.0969925	18.12513	7.632298	10.459036	25.79408	4.529254	2.045022	35.9637	34.244827	15.706695	12.550832	22.713722	12.681093	13.40914	27.200127	51.43717	22.059507	17.438982	17.450893	16.156763	7.026189	13.65258	44.34254	7.5969934	16.810692	10.903516	20.490635	10.952929	24.339226	16.435085	78.48841	9.15485	15.410416	20.72636	49.435802	26.153553	11.772846	16.425884	8.4373	2.2525818	17.830572	43.99681	41.710243	6.969062	21.841106	12.691611	13.031586	54.491455	20.480242	20.06689	33.48269	28.987547	31.400923	21.439537	25.108204	12.498795	12.866614	13.992748	11.375448	18.310087	29.071714	22.997599	2.9673462	38.127773	5.2279687	19.095272	40.198135	13.849756	23.544739	40.858738	5.598879	6.166164	14.975918	9.716596	17.524658	39.74066	9.569794	9.222377	20.19716	20.842484	34.218826	12.034698	34.409466	31.874939	7.173852	11.437308	12.484945	14.378957	17.54081	12.223151	17.788368	17.166782	14.157247	29.678888	9.77022	19.54851	10.635905	28.47903
