lncRNA.A	partner	cv
A2M-AS1	FENDRR	0.805718094893041
AC004490.1	PAN3-AS1	0.684625536163653
AC004490.1	FENDRR	0.805718094893041
AC004490.1	LINC00702	0.930650678314964
AC005224.2	BANCR	0.790939906926282
AC005224.2	FENDRR	0.805718094893041
AC005224.2	TBX5-AS1	0.839331598112737
AC005838.2	LINC01268	0.79065953620752
AC005838.2	FENDRR	0.805718094893041
AC005838.2	TBX5-AS1	0.839331598112737
AC007292.3	FENDRR	0.805718094893041
AC007292.3	LINC00968	0.987944287610186
AC007557.2	FENDRR	0.805718094893041
AC007557.2	TBX5-AS1	0.839331598112737
AC007557.2	LINC00622	0.873106940471778
AC009120.6	LINC01268	0.79065953620752
AC009120.6	FENDRR	0.805718094893041
AC009120.6	TBX5-AS1	0.839331598112737
AC011997.1	TEX26-AS1	0.463819830063957
AC011997.1	HMMR-AS1	0.486196513203954
AC011997.1	LINC00355	0.542605491550076
AC012499.1	PAN3-AS1	0.684625536163653
AC012499.1	FENDRR	0.805718094893041
AC012499.1	LINC00472	0.889776111332617
AC067956.1	AC007292.3	0.523626859571562
AC067956.1	ASAP1-IT2	0.538531822705174
AC067956.1	XIST	0.558997998709521
AC078883.3	FENDRR	0.805718094893041
AC078883.3	LINC00702	0.930650678314964
AC078883.3	PCAT19	0.979771113594899
AC083843.1	FENDRR	0.805718094893041
AC083843.1	PCAT19	0.979771113594899
AC083843.1	LINC00968	0.987944287610186
AC091133.1	FENDRR	0.805718094893041
AC091133.1	LINC00702	0.930650678314964
AC091133.1	PCAT19	0.979771113594899
AC092660.1	EPB41L4A-AS2	0.6711729560918
AC092660.1	FENDRR	0.805718094893041
AC092660.1	TBX5-AS1	0.839331598112737
AC099850.1	FENDRR	0.805718094893041
AC141928.1	FENDRR	0.805718094893041
AC141928.1	LINC00702	0.930650678314964
AC141928.1	PCAT19	0.979771113594899
AC144652.1	FENDRR	0.805718094893041
AC144652.1	TBX5-AS1	0.839331598112737
AC144652.1	PCAT19	0.979771113594899
ACVR2B-AS1	FENDRR	0.805718094893041
ACVR2B-AS1	LINC00702	0.930650678314964
ACVR2B-AS1	PCAT19	0.979771113594899
ADAMTS9-AS2	FENDRR	0.805718094893041
ADAMTS9-AS2	LINC00702	0.930650678314964
ADAMTS9-AS2	PCAT19	0.979771113594899
ADARB2-AS1	FENDRR	0.805718094893041
ADARB2-AS1	PCAT19	0.979771113594899
ADARB2-AS1	LINC00968	0.987944287610186
ADORA2A-AS1	EPB41L4A-AS2	0.6711729560918
ADORA2A-AS1	FENDRR	0.805718094893041
ADORA2A-AS1	TBX5-AS1	0.839331598112737
AF067845.1	FENDRR	0.805718094893041
AF067845.1	TBX5-AS1	0.839331598112737
AF067845.1	PCAT19	0.979771113594899
AF131215.3	PAN3-AS1	0.684625536163653
AF131215.3	FENDRR	0.805718094893041
AF131215.3	TBX5-AS1	0.839331598112737
AF186192.1	FENDRR	0.805718094893041
AF186192.1	LINC00472	0.889776111332617
AF186192.1	PCAT19	0.979771113594899
AFAP1-AS1	LINC00598	0.253985612442124
AFAP1-AS1	LINC00382	0.279795647566645
AFAP1-AS1	ELFN2	0.290509018333953
AGAP2-AS1	FENDRR	0.805718094893041
AGAP2-AS1	TBX5-AS1	0.839331598112737
AGAP2-AS1	LINC00622	0.873106940471778
ALDH1L1-AS2	EPB41L4A-AS2	0.6711729560918
ALDH1L1-AS2	FENDRR	0.805718094893041
ALDH1L1-AS2	TBX5-AS1	0.839331598112737
ALMS1-IT1	FENDRR	0.805718094893041
ALMS1-IT1	PCAT19	0.979771113594899
ALMS1-IT1	LINC00968	0.987944287610186
ANKRD44-IT1	LINC00839	0.509104916149343
ANKRD44-IT1	ADAMTS9-AS2	0.521100755506359
ANKRD44-IT1	SH3RF3-AS1	0.563925981516853
AP000253.1	LINC01210	0.341922585828324
