ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042110	GO:0042110	T cell activation	106/461	463/17653	1.9238275798034e-70	8.8207494533986e-67	6.35268117667713e-67	PDCD1/SIRPG/CCR7/SLAMF6/ICOS/CD2/LCK/SLA2/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/SIT1/CCL5/CD6/LY9/IL12RB1/CD8A/EBI3/HLA-DQA1/CD7/CD8B/CTLA4/HLA-DPB1/CD74/JAML/IL7R/WAS/ZNF683/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/HLA-DOA/FOXP3/EOMES/CCR2/HSH2D/LCP1/CD4/RHOH/HLA-DRA/HLA-DRB1/FCER1G/RAC2/LGALS9/MAFB/TIGIT/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/PTGER4/CD1D/TNFSF8/IRF4/HLA-DQB1/HLA-DMB/CLEC7A/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/IL27/IL15/HAVCR2/SLC11A1/ITGAL/BATF/GPR18/VNN1/MAP3K8/DOCK2/HLA-DQB2/THEMIS/LILRB1/IGF1/PYCARD/CORO1A/IL18R1/GPNMB/NOD2/SYK/SPN/IL18/LAX1/IL2RA/CEBPB/CR1/CD55/CARD11/TGFB1/IL4R/NLRP3/LAG3/ZAP70/CLEC4D/CD300A	106
GO:0051249	GO:0051249	regulation of lymphocyte activation	93/461	457/17653	1.37180802410681e-56	3.14486989526486e-53	2.26492724822266e-53	PDCD1/SIRPG/CCR7/ICOS/CD2/LCK/SLA2/CD3E/IKZF3/CD3G/GRAP2/CD3D/CD247/CD27/CD5/SIT1/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/TBC1D10C/IL7R/ZNF683/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/HLA-DOA/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/RAC2/LGALS9/TIGIT/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/MZB1/CD1D/IGLL5/IRF4/HLA-DQB1/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/IL27/BTK/NFAM1/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/TNFSF13/SAMSN1/LILRB1/MNDA/IGF1/PYCARD/CORO1A/GPNMB/NOD2/SYK/SPN/IL18/LAX1/IL2RA/CD40/CEBPB/CR1/CD55/CARD11/TGFB1/IL4R/NLRP3/FCRL3/LAG3/ZAP70/CD300A	93
GO:0050863	GO:0050863	regulation of T cell activation	80/461	321/17653	9.3251786880314e-56	1.4251981428208e-52	1.02642405418788e-52	PDCD1/SIRPG/CCR7/ICOS/CD2/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/SIT1/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/ZNF683/HLA-DPA1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/HLA-DOA/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/RAC2/LGALS9/TIGIT/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/IRF4/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL27/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/GPNMB/NOD2/SYK/SPN/IL18/LAX1/IL2RA/CEBPB/CR1/CD55/CARD11/TGFB1/IL4R/NLRP3/LAG3/ZAP70/CD300A	80
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	77/461	335/17653	8.61734871385146e-51	9.87763596325223e-48	7.11384813561896e-48	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/FERMT3/HLA-DPA1/LILRB2/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/ITGB2/RAC2/LGALS9/TIGIT/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL15/HAVCR2/ITGAL/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/GPNMB/NOD2/SYK/SPN/IL18/LAX1/IL2RA/CEBPB/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/SELPLG/LAG3/ZAP70/CD300A	77
GO:0050867	GO:0050867	positive regulation of cell activation	78/461	363/17653	4.11659377727176e-49	3.7749164937582e-46	2.71868519564242e-46	PDCD1/SIRPG/CCR7/ICOS/CD2/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/FGR/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/FCER1G/ITGB2/LGALS9/PLEK/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/IGLL5/HLA-DQB1/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/BTK/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/TNFSF13/LILRB1/IGF1/PYCARD/CORO1A/NOD2/SYK/IL18/IL2RA/VAMP8/CD40/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/FCRL3/RPS6KA1/ZAP70/ITGAM	78
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	72/461	302/17653	1.21825575628409e-48	9.30950440427093e-46	6.7046812411635e-46	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/PTPN22/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/LGALS9/TIGIT/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/GPNMB/NOD2/SYK/SPN/IL18/LAX1/IL2RA/CEBPB/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/LAG3/ZAP70/CD300A	72
GO:0002696	GO:0002696	positive regulation of leukocyte activation	76/461	351/17653	4.33084220337779e-48	2.83670164321245e-45	2.04298526195431e-45	PDCD1/SIRPG/CCR7/ICOS/CD2/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/FGR/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/FCER1G/ITGB2/LGALS9/IL10/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/IGLL5/HLA-DQB1/HLA-DMB/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/BTK/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/TNFSF13/LILRB1/IGF1/PYCARD/CORO1A/NOD2/SYK/IL18/IL2RA/VAMP8/CD40/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/FCRL3/ZAP70/ITGAM	76
GO:0050870	GO:0050870	positive regulation of T cell activation	62/461	213/17653	1.29006251953524e-47	7.39367081508637e-45	5.32490279445008e-45	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/LGALS9/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/NOD2/SYK/IL18/IL2RA/CD55/CARD11/TGFB1/IL4R/NLRP3/ZAP70	62
GO:1903039	GO:1903039	positive regulation of leukocyte cell-cell adhesion	63/461	224/17653	2.35292155418532e-47	1.1986828139933e-44	8.63288294208111e-45	PDCD1/SIRPG/CCR7/ICOS/LCK/CD3E/CD3G/GRAP2/CD3D/CD247/CD27/CD5/CCL5/CD6/IL12RB1/EBI3/HLA-DQA1/CTLA4/HLA-DPB1/CD74/IL7R/HLA-DPA1/LILRB2/CD80/PTPN6/FOXP3/CCR2/CD4/HLA-DRA/HLA-DRB1/LGALS9/VAV1/CD28/CD40LG/RASAL3/CD86/CD1D/HLA-DQB1/HLA-DMB/SASH3/PTPRC/NCKAP1L/LILRB4/IL15/HAVCR2/VNN1/MAP3K8/HLA-DQB2/LILRB1/IGF1/PYCARD/CORO1A/NOD2/SYK/IL18/IL2RA/CD55/CARD11/TGFB1/PTAFR/IL4R/NLRP3/ZAP70	63
GO:0002521	GO:0002521	leukocyte differentiation	85/461	483/17653	2.93586456737208e-46	1.3460939041401e-43	9.69453383983813e-44	CCR7/SLAMF6/CD2/LCK/CD3E/IKZF3/CD3D/CD27/LY9/IL12RB1/CD8A/C1QC/CTLA4/CD74/HCLS1/CMTM7/IL7R/ZNF683/SPI1/LILRB2/RIPK3/CD80/PTPN6/PTPN22/LILRB3/HLA-DOA/FOXP3/EVI2B/EOMES/CD4/RHOH/FCER1G/TYROBP/TRPM2/IKZF1/LGALS9/MAFB/IL10/VAV1/CD28/CD40LG/CD86/PTGER4/CD1D/TNFSF8/IRF4/TLR2/GPR183/SASH3/PTPRC/NCKAP1L/LILRB4/IL27/BTK/NFAM1/IL15/BATF/GPR18/VNN1/DOCK2/CD79A/PPARG/THEMIS/CSF1R/LILRB1/IL18R1/SYK/FLT3/SPN/IL18/IL2RA/CEBPB/CR1/CARD11/TGFB1/IL4R/CEBPE/NLRP3/FCRL3/GPR55/CCL3/PLCG2/LYL1/ZAP70/CLEC4D	85
