,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
HALLMARK_ADIPOGENESIS,0.0740332622543314,0.157978764540355,-0.00289375020216406,-0.0776637033689146,-0.115755819735638,-0.221604376416106
HALLMARK_ALLOGRAFT_REJECTION,-0.014467811189237,-0.184424578806775,0.039496293948999,0.0972809692388189,0.192192461816376,-0.0300259821163942
HALLMARK_ANDROGEN_RESPONSE,0.351918573832919,-0.0855661782328722,0.0868125856405536,-0.312433060339355,-0.0400330732530232,-0.0160732599403669
HALLMARK_ANGIOGENESIS,-0.504757483322847,0.300549372525652,0.347366686646673,-0.296509345876958,0.467444047695847,-0.286524106979557
HALLMARK_APICAL_JUNCTION,-0.332315638923218,0.0301951522103996,0.0973794893713454,0.144631258713952,0.21524068794649,0.0395534262318672
HALLMARK_APICAL_SURFACE,-0.353461499732546,-0.476957053453958,-0.290673275050494,0.554256924668862,0.165248704551783,0.143308526038051
HALLMARK_APOPTOSIS,-0.122759021535439,0.142151891368514,-0.0475163059609814,-0.00305143320707804,0.140517981096118,-0.120231862417969
HALLMARK_BILE_ACID_METABOLISM,0.0949293603057642,-0.134703684636858,0.00259302345853143,0.177380294492616,-0.196080214377483,0.00606134685254592
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.325192104333823,0.395988195915052,0.175361284178013,-0.413519735038878,-0.122165111186508,0.108239437841818
HALLMARK_COAGULATION,-0.106637765794695,-0.047373584276886,0.0165413887017853,0.014699876852458,0.239232721835204,0.0385057509505208
HALLMARK_COMPLEMENT,-0.19902716210961,0.0304713103748903,0.0571901109066225,0.0297701812483324,0.204035860043623,-0.0452815375489254
HALLMARK_DNA_REPAIR,0.32332665815151,0.0506779436024258,0.0545950050363328,-0.0796857820581757,-0.357924242681867,-0.271052675308562
HALLMARK_E2F_TARGETS,0.385037793147281,0.313259083757961,0.114827272578809,-0.126362491709773,-0.417320823073545,-0.570377368392226
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.161423831395522,0.464823778073628,-0.305481284711812,-0.308795051579292,-0.213297992273002,-0.168530339806462
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.192419502046475,-0.211205143940777,0.186221950849759,0.0781770196641663,0.141275393358358,0.206162598010844
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.286284445719837,-0.209428775853633,0.105061595540788,0.0694638865368209,0.303731399612494,0.109474273239964
HALLMARK_FATTY_ACID_METABOLISM,0.111457184713913,0.371777569381367,-0.385971042500991,-0.1014630362752,-0.11378054237582,0.122974679592109
HALLMARK_G2M_CHECKPOINT,0.104892312703489,0.0985586639107114,0.0639536058945137,-0.0328015634766937,-0.195531704824374,-0.249011587220621
HALLMARK_GLYCOLYSIS,0.240381830265539,-0.1856139300278,0.0164944336444269,0.0329588387395566,-0.131414468517388,-0.0222154578961744
HALLMARK_HEDGEHOG_SIGNALING,-0.320522126362113,0.214861706428573,-0.127834631719515,0.406815539277747,-0.00784258972845983,0.0794864967394969
HALLMARK_HEME_METABOLISM,-0.149318287511389,0.0767842370016839,0.172215686794565,-0.0501981084914901,0.0479798552882769,0.000187497059340971
HALLMARK_HYPOXIA,-0.387560691389945,-0.19328351736441,-0.0641188533862144,0.308121003105877,0.33567909338175,0.0504206814101183
HALLMARK_IL2_STAT5_SIGNALING,-0.123388524918874,0.0179062017326825,-0.0189603296221615,-0.00812609013113949,0.151955216701057,0.122955847899195
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.415590166154492,0.450816993621981,-0.241470610235447,-0.462072744667738,-0.375186596139802,-0.0761019182484044
HALLMARK_INFLAMMATORY_RESPONSE,-0.244600899475676,0.100948250752165,-0.160558953544656,0.106945286846337,0.0986290218575021,0.0723649183228446
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.322721151341226,-0.520417569746838,0.362028757409824,0.54701681513436,-0.00202783579956811,0.00880067037009144
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.380761895369831,-0.358381911941598,0.333356429037025,0.216430724135541,0.364502764717036,0.138859007420542
HALLMARK_KRAS_SIGNALING_DN,-0.210310119034901,-0.096710955640281,0.0849928411942711,0.065516208888835,0.0440001886590655,0.0651177249905121
HALLMARK_KRAS_SIGNALING_UP,0.103276141057886,0.0585291418539952,-0.187958600879726,-0.235643510689901,0.261040185281752,0.0289640581562589
HALLMARK_MITOTIC_SPINDLE,-0.223451592609266,0.169556439224002,-0.0723867529999384,-0.0348201659610727,-0.00313667474169466,0.196987327319201
HALLMARK_MTORC1_SIGNALING,0.0886342066089528,-0.402574954530972,0.349445237874749,0.251029359925117,0.0194755227484673,-0.148190295652847
HALLMARK_MYC_TARGETS_V1,0.528018344030132,-0.206002655561614,-0.158964163037968,-0.097729087773453,-0.230457211915396,-0.342700348752866
HALLMARK_MYC_TARGETS_V2,0.703056337082697,0.153648035367866,-0.351561266503474,-0.541786608324862,-0.606707749556849,0.0696284215886446
HALLMARK_MYOGENESIS,-0.105412411891426,-0.0131575131462531,-0.0198858575682376,-0.0436227159487909,0.225121903608851,-0.00223164498965867
