SYMBOL	TCGA-DD-A1EE-11	TCGA-EP-A26S-11	TCGA-DD-A114-11	TCGA-BD-A3EP-11	TCGA-ES-A2HT-11	TCGA-DD-A1EA-01	TCGA-EP-A2KB-01	TCGA-DD-AAW3-01	TCGA-BC-4073-01	TCGA-RC-A6M6-01
TSPAN6	54.24802137	57.06339745	66.40537669	50.87678003	59.5494107	115.2452069	94.31542299	67.42849993	16.59971788	49.51634852
TNMD	0	0.030207569	0.247793489	0	0	0.058217228	0.030389484	0	0.037050389	0
DPM1	43.07482725	46.09569974	66.24729166	43.92617629	58.53554229	84.72174233	89.62531159	76.48875749	82.53304047	119.9237016
SCYL3	5.823433231	3.603579139	5.829249131	3.146706748	5.810246153	14.6661233	8.288386352	11.23750742	6.933154224	3.880948487
C1orf112	1.995747539	1.189976748	1.136602614	1.222523595	0.99601882	15.75514097	3.935812545	2.566101877	4.108699957	2.73454615
FGR	6.103385893	6.229767726	10.31902248	7.879762409	7.114919682	3.399524137	1.859059643	1.620433504	22.32195261	6.193092302
CFH	743.9243213	368.8017853	687.7375193	486.0521242	566.8454964	591.8149676	398.4687834	899.6650396	1118.431142	580.4941207
FUCA2	59.51903596	70.45253111	78.35703891	31.44947937	92.85231652	106.4485233	84.68079302	43.61615213	179.188308	108.5974441
GCLC	31.80365135	33.0089529	47.6587428	69.11704325	29.82316881	46.25019277	27.42066543	117.8559152	22.61851143	96.53436729
NFYA	9.882508155	7.171979251	10.06453797	10.22191733	13.67110738	15.12563322	29.57962964	64.37382356	32.90125062	18.52466604
STPG1	0.637035985	0.554284586	1.205340201	0.821757944	1.67070272	2.103440225	1.006020115	1.799075303	1.27558511	2.466037672
NIPAL3	2.728285295	2.016943089	3.260523857	2.423101248	2.652000035	8.950372582	3.387018542	4.764984316	5.626387543	3.687122859
LAS1L	12.99222947	11.24268549	13.57255696	13.50955851	14.74821962	60.84299259	13.29758792	23.93168925	24.17423503	34.44528848
ENPP4	7.910315143	4.956483444	13.96935129	6.548626738	10.83180299	20.09214098	5.943623818	29.55699978	31.6660136	11.98192743
SEMA3F	3.87192129	3.375974419	5.503213049	4.519102934	4.15489152	16.70277119	9.448824897	13.20444456	15.74710611	11.00210616
CFTR	6.570489415	0.793724545	3.486332489	6.957947115	2.928191656	0	0	0	1.022550704	9.710425143
ANKIB1	7.902963636	4.39276525	10.83097348	5.52692168	8.584833362	23.08406985	6.51217239	16.99079756	19.89486351	22.10067826
CYP51A1	3.754849989	6.506046085	6.211259479	24.32965434	3.381196892	19.85487554	3.074455042	11.13717504	15.9596777	11.692494
KRIT1	5.586859714	4.828926339	6.944927773	6.097302604	6.132796969	13.64248105	4.27441518	15.95174174	12.1148321	21.03006133
RAD52	2.819047129	1.125898833	2.339549029	1.453826394	2.187306916	4.966110167	3.561517006	4.594868758	3.26016892	4.051308332
BAD	30.09977045	48.89045583	40.17504276	34.12364298	46.04846862	36.05412012	52.50779786	64.73134714	57.10163375	62.90540063
LAP3	176.3700815	101.2773209	287.1307874	82.65497523	405.3929649	125.6003238	31.57961196	88.25568424	131.5319141	44.11795244
HS3ST1	0.35568734	0.178670781	0.293128227	1.003826544	0.789020739	0.734595048	0.113839618	0.5377077	0.60629971	0.298113719
AOC1	5.139663464	5.990246322	4.962997735	0.058999037	1.975426292	0.22059823	0.614147318	0.235539163	0.795556331	3.630397554
WNT16	0.118758778	0.014913887	0.017477002	0.02306167	0.034065832	0.028742636	0	0	0.054876841	0.363171133
HECW1	0.069329104	0.027860615	0.069378628	0.064622218	0.059660944	0.020135282	0.091092289	0.330547548	0.115329781	1.083618748
MAD1L1	5.557331815	10.75602552	10.00324837	8.206921119	6.622298817	9.269261674	4.967146495	15.68130483	5.338074453	10.85654809
LASP1	74.18012869	46.85026737	70.1086074	97.38937061	77.43640784	174.9285474	228.8922098	109.6697829	185.5850345	247.4212509
SNX11	10.44432573	11.07284173	11.90109662	10.3859248	15.31089108	23.47142331	13.48682953	18.26506271	17.30312741	21.71255108
TMEM176A	804.5168957	583.4285087	545.9255954	495.5386397	559.2751378	750.242019	620.0054023	1971.369228	301.6848393	506.2905013
M6PR	25.24909257	23.01013811	35.29400672	27.23834183	32.26483462	44.81755491	22.2937482	24.68166059	67.78465219	43.13137166
KLHL13	1.150780725	0.849687925	0.693736605	1.389278202	0.620429395	9.892426767	3.230041405	0.596555296	0.213558376	1.017586479
CYP26B1	0.637088156	0.145466162	1.943313645	0.614829182	0.332269228	0.467246944	0.126829892	0.044900387	6.339790623	9.327994419
ICA1	7.185640591	4.424905557	12.36332962	10.39418845	8.880734677	28.30480913	0.780272222	9.092649632	15.23292904	26.95812412
DBNDD1	5.597706543	1.400859479	8.112896413	1.789452743	22.37540697	12.79466666	6.52565175	174.2747924	9.87337563	55.96172029
ALS2	8.699083372	9.89169899	8.951730702	8.813886468	7.215842996	15.6968425	11.84069011	6.971677954	9.17400305	10.58135795
CASP10	5.632218684	2.694787128	6.413344255	4.62231081	6.0456921	7.475680518	7.122050419	4.682511119	8.698795371	3.316569473
CFLAR	11.25511955	6.081162232	11.38635775	9.146400223	10.34753393	23.56868746	6.699809579	10.49965819	14.58644641	11.94750384
TFPI	58.3520355	42.90055072	59.15757539	45.87745791	53.47221392	58.34704129	53.10387264	119.1811274	140.6644224	161.3465006
NDUFAF7	6.788669425	5.754579199	6.603075476	6.179466398	6.100597109	9.93519808	10.68060108	13.04426335	10.39115747	12.16414404
RBM5	8.731184213	4.10913846	10.6311246	6.796513058	9.300248164	13.98533015	15.56341395	17.43980306	17.13934253	17.1339853
MTMR7	0.510285106	0.418670968	0.590751519	0.369942897	0.536707424	1.350287848	10.29772127	0.494499824	15.15381723	10.79621685
SLC7A2	226.986684	185.0929167	169.7302333	175.0576541	53.02885875	89.92363376	78.58040188	23.84210538	62.91854342	42.68943816
