SYMBOL,log2fc
pco072676(750),1.7600181279704
crr1,0.103144401684403
sqs1,1.38188241794705
umc2347,-1.59342694655061
LOC541617,-0.962505134753883
mpk2,-1.94932176824659
fdx2,-0.467637410387397
GR1a,0.580133006908
LOC541622,0.647387012839317
crr2,-0.19213895034045
hp2,0.9284413671121
L-FNRII,0.077177950181067
etr2,1.29171624593437
pco084558,0.142254359088838
abph1,-1.47812893986702
gpm84,-1.54904397483915
gpm91,-1.47193245496601
RR7,-1.38223262596875
HK1,1.94002655427903
pco139871a,-0.0218260297551751
RR8,-0.6122244047001
RR9,1.80467185564339
RR10,-0.428543428890407
leg1,-0.948501698672771
hk2,0.156798944808543
hk3,0.0313801877200603
pDCT1,1.32402199134231
pDCT2,0.0134479375556111
chs1,-1.56433698628098
sodB,1.70322740450501
piip2,1.19439826812595
lkrsdh1,-1.64701348450035
eIF-4A,1.65018210653216
cgs1,1.85708897747099
rrb1,-0.463895572349429
LOC541652,1.56203619763255
mir2,-0.410141218453646
gss1,-0.219845110550523
du1,0.486519996076822
ltk1,-0.973153788596392
ltk2,-1.6462627472356
rcalm,-0.251417969353497
PRO4,-1.15720134600997
phot1,1.20933022163808
tif1,0.349827072583139
UBC,-1.22542227711529
pco131913,-0.823699863627553
rpl17,0.959267481230199
rpl30,-1.01683249603957
ss1,1.18617694824934
lg2,0.92518949881196
LOC541674,-0.72465614695102
tip1,-0.708884947001934
pdlk1,1.26152172032744
incw3,-0.356702391989529
gpm837,-0.744292753748596
gpm436,0.405887644737959
HDA108,-0.996733395382762
SMT,0.296264939941466
TE1,-1.16227850690484
ids1,0.71289789211005
psah1,-1.9104217318818
fdad1,0.9238714678213
por2,-0.822083804756403
LOC541689,1.78308571036905
LOC541691,-0.558738142251968
LOC541692,1.46030698809773
id1,-1.6143344072625
myc7,1.58197243511677
LOC541695,0.712188408710063
pdh1,1.50279548484832
pgd2,-1.44196782913059
xyl1,1.60289786849171
umc1721,1.89077714737505
pdh2,0.186998374760151
DRTS,-0.745013159699738
eif7,1.66887551359832
rad51a,-1.15898713096976
rad51b,0.704080577008426
zpu1,0.604324412532151
rca1,1.84185159578919
pco099019,-1.18267225008458
TIDP2999,-1.61426027491689
sig2A,0.378393840976059
sig2B,1.97548724990338
LOC541726,-0.348968224599957
LOC541728,1.18921239115298
LOC541729,1.86073315143585
LOC541730,-1.41909534111619
LOC541731,-0.204558084718883
MYB41,0.97992957290262
LOC541733,-0.909271697513759
LOC541734,0.710947400890291
LOC541743,0.151734793558717
LOC541744,-0.206720440648496
LOC541747,-1.94325240887702
LOC541748,-0.102026025764644
LOC541753,-0.165206135250628
LOC541754,1.74630584660918
LOC541755,-0.444982084445655
LOC541757,-0.440719957463443
LOC541758,0.480535748414695
LOC541761,0.342599254101515
myo1,1.21917943749577
zmm2,-1.58196831587702
mads3,0.0188751174136996
maf1,1.80476655438542
wee1,1.36678040120751
LOC541769,-1.65303653478622
LOC541771,0.832513082772493
csu318,0.110395803116262
rop1,-1.7333303373307
rop3,1.11594421975315
rpot1,-1.98420121893287
rpo2,-1.17802233807743
CenpcA,-0.677162894979119
LOC541778,1.33736928086728
pip1b,1.27114411909133
hsp101,1.90907614398748
LOC541781,-1.08646685723215
gpm399a,-0.691253519617021
elfa6,-0.105111842043698
pk4,-0.622899644076824
