Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-2H-A9GF	1	3218610	15024591	6235	0
TCGA-2H-A9GF	1	15027535	15500102	367	-0.49011
TCGA-2H-A9GF	1	15500332	21225170	3278	0
TCGA-2H-A9GF	1	21231672	21417441	90	-0.438857
TCGA-2H-A9GF	1	21421005	56486334	18189	0
TCGA-2H-A9GF	1	56490778	56742067	162	-0.387297
TCGA-2H-A9GF	1	56746087	91792887	22400	0
TCGA-2H-A9GF	1	91796224	91798814	6	-0.648839
TCGA-2H-A9GF	1	91798836	104999073	7546	0
TCGA-2H-A9GF	1	105003125	105063546	23	1.423018
TCGA-2H-A9GF	1	105068898	107088181	1010	0
TCGA-2H-A9GF	1	107091807	107219390	67	-0.418712
TCGA-2H-A9GF	1	107225974	171569759	21629	0
TCGA-2H-A9GF	1	171573265	171584550	12	-0.558271
TCGA-2H-A9GF	1	171586364	189190480	10843	0
TCGA-2H-A9GF	1	189197433	189256792	33	-0.336525
TCGA-2H-A9GF	1	189546988	220857071	19893	0
TCGA-2H-A9GF	1	220863302	238220471	11079	0.331336
TCGA-2H-A9GF	1	238222396	238684052	379	0
TCGA-2H-A9GF	1	238684186	244855051	4073	0.336768
TCGA-2H-A9GF	1	244855073	245234737	198	0
TCGA-2H-A9GF	1	245264032	247812431	1084	0.402936
TCGA-2H-A9GF	2	484222	3047126	1032	0
TCGA-2H-A9GF	2	3063932	3114932	39	-0.601467
TCGA-2H-A9GF	2	3121086	20131079	11608	0
TCGA-2H-A9GF	2	20137331	20174902	11	-0.471729
TCGA-2H-A9GF	2	20177815	50635828	17207	0
TCGA-2H-A9GF	2	50636811	52383568	808	-0.428655
TCGA-2H-A9GF	2	52383698	72647802	11547	0
TCGA-2H-A9GF	2	72652399	72814674	62	-0.419698
TCGA-2H-A9GF	2	72820025	83341080	5433	0
TCGA-2H-A9GF	2	83350204	89129064	2392	0.823343
TCGA-2H-A9GF	2	89130009	141952487	23112	0
TCGA-2H-A9GF	2	141960276	141991535	21	-0.449966
TCGA-2H-A9GF	2	141994465	143086097	788	0
TCGA-2H-A9GF	2	143086238	143127384	24	-0.370759
TCGA-2H-A9GF	2	143131349	186918007	25095	0
TCGA-2H-A9GF	2	186918940	187142006	123	-0.356354
TCGA-2H-A9GF	2	187144633	195199419	3882	0
TCGA-2H-A9GF	2	195201505	195249854	25	-0.259261
TCGA-2H-A9GF	2	195252309	205513147	5276	0
TCGA-2H-A9GF	2	205515322	205606655	55	-0.364309
TCGA-2H-A9GF	2	205609515	206380280	563	0
TCGA-2H-A9GF	2	206384496	206450219	52	-0.419589
TCGA-2H-A9GF	2	206452585	212218815	3343	0
TCGA-2H-A9GF	2	212221931	212350205	114	-0.383044
