Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	3218610	3229258	0.000000	0.134372	0.419716	0.206522
Amp	 1	3235468	3279324	0.000000	0.141093	0.422953	0.211957
Amp	 1	3280814	3522124	0.000000	0.128763	0.419967	0.201087
Amp	 1	3535644	3565825	0.000000	0.136513	0.433913	0.201087
Amp	 1	3575833	3614480	0.000000	0.128763	0.417425	0.201087
Amp	 1	3614576	3654595	0.000000	0.136279	0.432290	0.201087
Amp	 1	3654687	3763796	0.000000	0.128763	0.417059	0.201087
Amp	 1	3766240	4057402	0.000000	0.156677	0.459838	0.206522
Amp	 1	4069687	4083031	0.000000	0.168647	0.470506	0.211957
Amp	 1	4085901	4442487	0.000000	0.156677	0.459838	0.206522
Amp	 1	4443108	4451675	0.000000	0.163722	0.490305	0.195652
Amp	 1	4453172	4472026	0.000000	0.154707	0.471980	0.195652
Amp	 1	4476384	4487734	0.000000	0.126793	0.427104	0.190217
Amp	 1	4490338	4605403	0.000000	0.117055	0.417255	0.184783
Amp	 1	4605422	5871451	0.000000	0.113851	0.422358	0.179348
Amp	 1	5872575	6011905	0.000000	0.119422	0.431945	0.184783
Amp	 1	6057725	6088671	0.000000	0.157625	0.514168	0.184783
Amp	 1	6100855	6102928	0.000000	0.163863	0.528868	0.184783
Amp	 1	6103415	6276167	0.000000	0.173484	0.537203	0.190217
Amp	 1	6277482	6308909	0.000000	0.186348	0.565044	0.190217
Amp	 1	6314822	6343602	0.118530	0.202576	0.598973	0.190217
Amp	 1	6343825	6360147	0.155842	0.207214	0.593666	0.195652
Amp	 1	6364371	6422759	0.106506	0.200977	0.580443	0.195652
Amp	 1	6424626	6467843	0.150982	0.206593	0.575862	0.201087
Amp	 1	6468628	6581283	0.071548	0.196971	0.556833	0.201087
Amp	 1	6581743	6592800	0.032820	0.191355	0.560886	0.195652
Amp	 1	6593314	6615365	0.000000	0.186717	0.565255	0.190217
Amp	 1	6623043	6691119	0.000000	0.181146	0.553609	0.190217
Amp	 1	6691567	6756434	0.000000	0.166629	0.523258	0.190217
Amp	 1	6758946	7158669	0.000000	0.153766	0.496364	0.190217
Amp	 1	7160954	7452022	0.000000	0.107886	0.412220	0.184783
Amp	 1	7460433	7495771	0.000000	0.113544	0.406673	0.190217
Amp	 1	7505841	8009763	0.000000	0.107886	0.406459	0.184783
Amp	 1	8015436	8684286	0.000000	0.098692	0.387692	0.184783
Amp	 1	8685037	8685037	0.000000	0.104646	0.389163	0.190217
Amp	 1	8686133	8777528	0.000000	0.111335	0.405900	0.190217
Amp	 1	8786754	8829047	0.000000	0.105380	0.404921	0.184783
Amp	 1	8831283	8918313	0.000000	0.117216	0.430396	0.184783
Amp	 1	8918455	8944354	0.000000	0.121909	0.427910	0.190217
Amp	 1	8985036	9068386	0.000000	0.110073	0.400410	0.190217
Amp	 1	9070372	9127232	0.000000	0.116256	0.413897	0.190217
Amp	 1	9127458	9153980	0.000000	0.110406	0.412010	0.184783
Amp	 1	9157160	9173693	0.000000	0.105713	0.414089	0.179348
Amp	 1	9176892	9234363	0.000000	0.115388	0.435542	0.179348
Amp	 1	9240258	9303684	0.000000	0.097257	0.404970	0.173913
Amp	 1	9304205	9483388	0.000000	0.091074	0.389751	0.173913
Amp	 1	9489099	9580919	0.000000	0.106619	0.425299	0.173913
Amp	 1	9584442	9946026	0.000000	0.094583	0.397774	0.173913
Amp	 1	9949563	10570549	0.000000	0.144556	0.495657	0.179348
Amp	 1	10580516	10580540	0.000000	0.153025	0.500533	0.184783
Amp	 1	10580891	10687726	0.000000	0.179227	0.541013	0.190217
Amp	 1	10694040	10931062	0.078886	0.198041	0.580348	0.190217
Amp	 1	10934299	10954615	0.000000	0.178070	0.540533	0.190217
Amp	 1	10958935	11009543	0.000000	0.180864	0.531197	0.195652
Amp	 1	11009679	11018065	0.000000	0.184474	0.523980	0.201087
Amp	 1	11022186	11032340	0.000000	0.165660	0.485644	0.201087
Amp	 1	11034817	11143311	0.000000	0.162867	0.493455	0.195652
Amp	 1	11149314	11162370	0.000000	0.152568	0.496890	0.184783
Amp	 1	11165401	11456387	0.000000	0.144100	0.493168	0.179348
Amp	 1	11456536	11533011	0.000000	0.169179	0.552136	0.179348
Amp	 1	11534053	11560526	0.000000	0.162948	0.555140	0.173913
Amp	 1	11567190	11600061	0.000000	0.165935	0.545882	0.179348
Amp	 1	11600358	11879267	0.000000	0.170495	0.555993	0.179348
Amp	 1	11881916	11951639	0.000000	0.161717	0.534473	0.179348
Amp	 1	11952212	11952212	0.000000	0.170862	0.538435	0.184783
Amp	 1	11955702	11955702	0.000000	0.145782	0.484459	0.184783
Amp	 1	11956569	12044164	0.000000	0.155955	0.491984	0.190217
Amp	 1	12046007	12046089	0.000000	0.170365	0.523715	0.190217
Amp	 1	12049295	12109295	0.000000	0.160192	0.517123	0.184783
Amp	 1	12125536	12147722	0.000000	0.157588	0.526002	0.179348
Amp	 1	12153188	12307147	0.000000	0.143178	0.494049	0.179348
Amp	 1	12312516	12354307	0.000000	0.178452	0.572266	0.179348
Amp	 1	12357088	12463594	0.000000	0.184419	0.568337	0.184783
Amp	 1	12469667	12473986	0.000000	0.175274	0.565281	0.179348
Amp	 1	12474738	12565259	0.000000	0.125300	0.468670	0.173913
Amp	 1	12569021	12639168	0.000000	0.134338	0.489338	0.173913
Amp	 1	12648416	12834287	0.000000	0.125300	0.467971	0.173913
Amp	 1	13724101	14096635	0.000000	0.131874	0.482939	0.173913
Amp	 1	14096821	14224999	0.000000	0.119334	0.468916	0.168478
Amp	 1	14225373	14306622	0.000000	0.125575	0.469298	0.173913
