Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	3218610	4487734	-0.000000	0.224736	0.955708	0.100000
Amp	 1	4490338	4605403	-0.000000	0.179423	0.872438	0.088889
Amp	 1	4605422	6011905	-0.000000	0.169564	0.946660	0.077778
Amp	 1	6057725	7158669	-0.000000	0.245134	1.333066	0.077778
Amp	 1	7160954	8009763	-0.000000	0.142965	0.945768	0.066667
Amp	 1	8015436	8684286	-0.000000	0.100507	0.692487	0.066667
Amp	 1	8685037	8777528	-0.000000	0.120210	0.694305	0.077778
Amp	 1	8786754	9234363	-0.000000	0.100507	0.692487	0.066667
Amp	 1	9240258	11955702	-0.000000	0.070106	0.613362	0.055556
Amp	 1	11956569	12046089	-0.000000	0.107839	0.736227	0.066667
Amp	 1	12049295	15142300	-0.000000	0.070106	0.613362	0.055556
Amp	 1	15144776	15983301	-0.000000	0.099005	0.683529	0.066667
Amp	 1	15985306	16413265	-0.000000	0.125533	0.721521	0.077778
Amp	 1	16416985	16725161	-0.000000	0.099005	0.683529	0.066667
Amp	 1	16726250	16771646	-0.000000	0.070106	0.613362	0.055556
Amp	 1	16772585	17646526	-0.000000	0.040826	0.504699	0.044444
Amp	 1	17650698	18476231	-0.000000	0.066086	0.584582	0.055556
Amp	 1	18477450	20462778	-0.000000	0.058512	0.662954	0.044444
Amp	 1	20463634	20583817	-0.000000	0.096049	0.799071	0.055556
Amp	 1	20592340	21022115	-0.000000	0.058512	0.662954	0.044444
Amp	 1	21028534	24415047	-0.000000	0.033252	0.582568	0.033333
Amp	 1	24417868	25698469	-0.000000	0.054614	0.628077	0.044444
Amp	 1	25699995	27106855	-0.000000	0.033252	0.582568	0.033333
Amp	 1	27119975	27671925	-0.000000	0.068221	0.749834	0.044444
Amp	 1	27679692	28208017	-0.000000	0.099640	0.824781	0.055556
Amp	 1	28212806	28338984	-0.000000	0.089754	0.754010	0.055556
Amp	 1	28339288	29108979	-0.000000	0.068221	0.749834	0.044444
Amp	 1	29110232	30445631	-0.000000	0.107206	1.098673	0.044444
Amp	 1	30448217	30904197	-0.000000	0.133317	1.065853	0.055556
Amp	 1	30917176	31265857	-0.000000	0.151038	0.993922	0.066667
Amp	 1	31267173	31487979	-0.000000	0.179252	1.162233	0.066667
Amp	 1	31489214	31686085	-0.000000	0.082575	0.585517	0.066667
Amp	 1	31687659	32256086	-0.000000	0.108156	0.632670	0.077778
Amp	 1	32265973	32641004	-0.000000	0.082045	0.582353	0.066667
Amp	 1	32647850	32815033	-0.000000	0.056212	0.513897	0.055556
Amp	 1	32815760	35887691	-0.000000	0.076541	0.549521	0.066667
Amp	 1	35888147	36000875	-0.000000	0.083887	0.508580	0.077778
Amp	 1	36001395	36001395	-0.000000	0.063558	0.472070	0.066667
Amp	 1	36009394	36792805	-0.000000	0.056212	0.513897	0.055556
Amp	 1	36793106	37182486	-0.000000	0.030631	0.413474	0.044444
Amp	 1	37184882	37242743	-0.000000	0.132800	1.062150	0.055556
Amp	 1	37245473	37302347	-0.000000	0.197400	1.270492	0.066667
Amp	 1	37303956	38428320	-0.000000	0.233954	1.275900	0.077778
Amp	 1	38431425	38711632	-0.000000	0.228462	1.455790	0.066667
Amp	 1	38713479	38906637	0.148115	0.329959	1.770228	0.077778
Amp	 1	38907008	39197064	0.274733	0.361221	1.688818	0.088889
Amp	 1	39199114	39412102	0.555849	0.426836	1.982381	0.088889
Amp	 1	39421462	39497450	0.697022	0.451452	1.860014	0.100000
Amp	 1	39503843	39568930	0.384616	0.386852	1.803490	0.088889
Amp	 1	39576917	39711848	0.921589	0.489020	2.009419	0.100000
Amp	 1	39715792	39931485	1.218969	0.532950	2.184125	0.100000
Amp	 1	39931963	40264332	1.629863	0.585809	2.154907	0.111111
Amp	 1	40266102	41332550	2.032999	0.635118	2.331398	0.111111
Amp	 1	41332946	41546976	1.484629	0.567230	2.088409	0.111111
Amp	 1	41551292	41659051	1.020348	0.503862	1.861601	0.111111
Amp	 1	41666571	42551513	0.450883	0.401694	1.662128	0.100000
Amp	 1	42556266	42867404	0.038144	0.299525	1.415940	0.088889
Amp	 1	42874440	43476957	-0.000000	0.218631	1.054015	0.088889
Amp	 1	43486624	44014949	-0.000000	0.213453	1.178112	0.077778
Amp	 1	44021820	44066730	-0.000000	0.254222	1.213251	0.088889
Amp	 1	44068533	44140075	0.259226	0.356391	1.484762	0.100000
Amp	 1	44140108	44287414	-0.000000	0.281830	1.188240	0.100000
Amp	 1	44295351	44940904	-0.000000	0.184317	0.800438	0.100000
Amp	 1	44944000	45155226	-0.000000	0.143548	0.718090	0.088889
Amp	 1	45157209	45157738	-0.000000	0.151540	0.670083	0.100000
Amp	 1	45158040	45165883	-0.000000	0.120278	0.613976	0.088889
Amp	 1	45166383	45369086	-0.000000	0.159595	0.789885	0.088889
Amp	 1	45369174	45666881	-0.000000	0.138321	0.793947	0.077778
Amp	 1	45668734	46001330	-0.000000	0.104041	0.717574	0.066667
Amp	 1	46009435	46356414	-0.000000	0.064723	0.483027	0.066667
Amp	 1	46356577	48049674	-0.000000	0.056732	0.522426	0.055556
Amp	 1	48056629	48518813	-0.000000	0.131292	1.056167	0.055556
Amp	 1	48530258	48605803	-0.000000	0.162822	1.281873	0.055556
Amp	 1	48606878	48615409	-0.000000	0.214080	1.373998	0.066667
Amp	 1	48622237	48711815	-0.000000	0.139519	0.925208	0.066667
Amp	 1	48725296	48916271	-0.000000	0.163494	1.281873	0.055556
Amp	 1	48920666	48948077	-0.000000	0.127308	1.278548	0.044444
Amp	 1	48963103	51160745	-0.000000	0.052076	0.605364	0.044444
Amp	 1	51163760	56954887	-0.000000	0.044657	0.718639	0.033333
Amp	 1	56955386	57028269	-0.000000	0.070525	0.770449	0.044444
Amp	 1	57029302	58035152	-0.000000	0.044657	0.718639	0.033333
Amp	 1	58036812	58481921	-0.000000	0.056670	0.861957	0.033333
Amp	 1	58484464	58719560	-0.000000	0.119889	1.616218	0.033333
Amp	 1	58743563	58887296	-0.000000	0.044657	0.718639	0.033333
Amp	 1	58891310	60347689	-0.000000	0.119889	1.616218	0.033333
Amp	 1	60351460	60876146	-0.000000	0.126228	1.268882	0.044444
