Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	3218610	3763796	-0.000000	0.249276	0.718893	0.137931
Amp	 1	3766240	4472026	0.362866	0.407813	1.045333	0.155172
Amp	 1	4476384	5871451	-0.000000	0.249276	0.718893	0.137931
Amp	 1	5872575	6102928	0.044496	0.277586	0.711572	0.155172
Amp	 1	6103415	6276167	0.148867	0.332132	0.766233	0.172414
Amp	 1	6277482	6308909	0.442931	0.432283	0.997243	0.172414
Amp	 1	6314822	6467843	0.987574	0.564967	1.303294	0.172414
Amp	 1	6468628	6615365	0.731522	0.510420	1.308307	0.155172
Amp	 1	6623043	6691119	0.616263	0.482110	1.390219	0.137931
Amp	 1	6691567	6756434	0.215790	0.358844	1.034808	0.137931
Amp	 1	6758946	8685037	0.010663	0.258693	0.746046	0.137931
Amp	 1	8686133	8829047	0.067550	0.292387	0.752900	0.155172
Amp	 1	8831283	8944354	0.315753	0.392539	1.009580	0.155172
Amp	 1	8985036	9483388	0.067550	0.292387	0.752900	0.155172
Amp	 1	9489099	9580919	0.411474	0.424359	1.091132	0.155172
Amp	 1	9584442	9946026	0.098801	0.314450	0.809445	0.155172
Amp	 1	9949563	10580540	0.594725	0.472988	1.094186	0.172414
Amp	 1	10580891	10931062	1.335764	0.631525	1.327156	0.189655
Amp	 1	10934299	11143311	0.710411	0.505218	1.062299	0.189655
Amp	 1	11149314	11456387	0.586225	0.471524	1.087756	0.172414
Amp	 1	11456536	11533011	1.019898	0.571675	1.318766	0.172414
Amp	 1	11534053	11600061	0.863429	0.539444	1.382692	0.155172
Amp	 1	11600358	11879267	1.053994	0.578559	1.337699	0.172414
Amp	 1	11881916	11952212	0.820814	0.529931	1.361702	0.155172
Amp	 1	11955702	12044164	0.433829	0.429780	1.105024	0.155172
Amp	 1	12046007	12109295	0.792992	0.523159	1.209911	0.172414
Amp	 1	12125536	12147722	0.731522	0.510915	1.312967	0.155172
Amp	 1	12153188	12307147	0.389447	0.417536	1.207851	0.137931
Amp	 1	12312516	12473986	0.679878	0.497534	1.438505	0.137931
