Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-IG-A3I8	1	3218610	32064552	15039	0
TCGA-IG-A3I8	1	32067225	32114793	30	-0.8646
TCGA-IG-A3I8	1	32116220	224535420	98899	0
TCGA-IG-A3I8	1	224536757	224577527	28	0.478193
TCGA-IG-A3I8	1	224578155	247812431	14600	0
TCGA-IG-A3I8	2	484222	141717646	73082	0
TCGA-IG-A3I8	2	141718009	141960715	171	-0.553044
TCGA-IG-A3I8	2	141961680	142182046	136	-0.924959
TCGA-IG-A3I8	2	142182111	142211068	19	-0.553044
TCGA-IG-A3I8	2	142212117	224027202	46529	0
TCGA-IG-A3I8	2	224030230	224077917	42	-0.771265
TCGA-IG-A3I8	2	224079263	242476062	10824	0
TCGA-IG-A3I8	3	2212571	197538677	105954	0
TCGA-IG-A3I8	4	1053934	188762240	102132	0
TCGA-IG-A3I8	5	914233	180360469	100036	0
TCGA-IG-A3I8	6	1014281	170903919	95993	0
TCGA-IG-A3I8	7	708774	158385118	80979	0
TCGA-IG-A3I8	8	617667	3740192	1587	0
TCGA-IG-A3I8	8	3795574	3856021	51	-0.245816
TCGA-IG-A3I8	8	3867760	95556459	49917	0
TCGA-IG-A3I8	8	95556550	95567823	12	-0.140777
TCGA-IG-A3I8	8	95567955	145232496	29544	0
TCGA-IG-A3I8	9	789932	21914588	13379	0
TCGA-IG-A3I8	9	21918580	22176961	205	-0.665592
TCGA-IG-A3I8	9	22179084	23659507	928	0
TCGA-IG-A3I8	9	23664696	23721545	54	-0.692147
TCGA-IG-A3I8	9	23724091	140938752	53099	0
TCGA-IG-A3I8	10	415240	135225087	80492	0
TCGA-IG-A3I8	11	456120	69295650	36180	0
TCGA-IG-A3I8	11	69304513	70242104	483	3.570332
TCGA-IG-A3I8	11	70248734	101833986	19036	0
TCGA-IG-A3I8	11	101842391	101984747	75	3.481124
TCGA-IG-A3I8	11	102263273	102513805	181	0
TCGA-IG-A3I8	11	102519389	102524300	5	3.481124
TCGA-IG-A3I8	11	102525342	102924946	299	0
TCGA-IG-A3I8	11	102931514	102955091	20	3.503329
TCGA-IG-A3I8	11	102964139	125791830	14874	0
TCGA-IG-A3I8	11	125792128	126343555	387	3.577984
TCGA-IG-A3I8	11	126349031	134132624	5273	0
TCGA-IG-A3I8	12	889902	81850241	44082	0
TCGA-IG-A3I8	12	81851573	81899317	29	-0.712094
TCGA-IG-A3I8	12	81908832	133155338	29355	0
TCGA-IG-A3I8	13	19450806	114987458	56281	0
TCGA-IG-A3I8	14	20501368	46941946	13239	0
TCGA-IG-A3I8	14	46945929	47053170	64	0.718102
TCGA-IG-A3I8	14	47054165	105986740	35858	0
TCGA-IG-A3I8	15	23687685	101884307	44218	0
TCGA-IG-A3I8	16	653503	89379936	40492	0
TCGA-IG-A3I8	17	987221	80917016	36706	0
TCGA-IG-A3I8	18	329586	66703556	37326	0
TCGA-IG-A3I8	18	66707215	67050664	212	-0.338689
TCGA-IG-A3I8	18	67053672	67982568	562	0.242021
TCGA-IG-A3I8	18	67991597	75585103	3500	-0.405229
TCGA-IG-A3I8	18	75600038	75666477	51	0.245754
TCGA-IG-A3I8	18	75671393	77109240	752	-0.416738
TCGA-IG-A3I8	19	284018	58878226	23690	0
TCGA-IG-A3I8	20	456452	62219648	37016	0
TCGA-IG-A3I8	21	15372509	47678295	20398	0
TCGA-IG-A3I8	22	17423930	18537154	677	0
TCGA-IG-A3I8	22	18539370	18571008	30	0.401282
TCGA-IG-A3I8	22	18571758	27290892	2134	0
TCGA-IG-A3I8	22	27291065	28411218	1056	-0.396194
TCGA-IG-A3I8	22	28411748	29389529	512	0
TCGA-IG-A3I8	22	29389992	29920955	326	-0.37527
TCGA-IG-A3I8	22	29920977	31758086	955	0
TCGA-IG-A3I8	22	31763825	32423430	343	-0.357948
TCGA-IG-A3I8	22	32429870	36999668	3372	0
TCGA-IG-A3I8	22	37002064	37795283	513	-0.329129
TCGA-IG-A3I8	22	37797641	38753956	420	0
TCGA-IG-A3I8	22	38760284	39071658	167	0.430877
TCGA-IG-A3I8	22	39076587	40382523	524	0
TCGA-IG-A3I8	22	40384861	41259224	392	-0.303337
TCGA-IG-A3I8	22	41259908	41699443	351	0
TCGA-IG-A3I8	22	41709332	41915465	98	0.36977
TCGA-IG-A3I8	22	41916051	42124416	83	0
TCGA-IG-A3I8	22	42125689	43145716	412	0.37062
TCGA-IG-A3I8	22	43148259	46847263	2495	0
TCGA-IG-A3I8	22	46847579	48240300	949	-0.35471
TCGA-IG-A3I8	22	48240580	49331012	933	0
TCGA-IG-A3I8	X	3157107	44729855	18281	0
TCGA-IG-A3I8	X	44734175	44748095	5	-0.956501
TCGA-IG-A3I8	X	44750920	154905589	44211	0
TCGA-IG-A3QL	1	3218610	48214623	23565	0
TCGA-IG-A3QL	1	48214882	48233732	23	-0.289668
TCGA-IG-A3QL	1	48233751	189958100	68592	0
TCGA-IG-A3QL	1	189958783	189960180	10	-0.24946
TCGA-IG-A3QL	1	189960685	247812431	36406	0
TCGA-IG-A3QL	2	484222	89130009	50140	0
TCGA-IG-A3QL	2	89130753	100842638	2030	0.453019
TCGA-IG-A3QL	2	100844110	100851505	11	-0.474518
TCGA-IG-A3QL	2	100853267	117171586	8680	0.501165
TCGA-IG-A3QL	2	117179890	120215444	1646	1.473524
TCGA-IG-A3QL	2	120217456	123679385	2031	0.929186
TCGA-IG-A3QL	2	123679826	123707811	16	-0.68484
TCGA-IG-A3QL	2	123714404	124022826	221	-0.398487
TCGA-IG-A3QL	2	124028855	153895168	15472	1.009196
TCGA-IG-A3QL	2	153897536	159445757	3003	0
TCGA-IG-A3QL	2	159445838	159592951	120	0.514709
TCGA-IG-A3QL	2	159593348	164061075	2525	0
TCGA-IG-A3QL	2	164068665	164850955	457	0.994016
TCGA-IG-A3QL	2	164851665	242284324	44341	0
TCGA-IG-A3QL	2	242285570	242476062	110	-0.491758
TCGA-IG-A3QL	3	2212571	90122826	50599	0
TCGA-IG-A3QL	3	90129439	90365233	64	0.447146
TCGA-IG-A3QL	3	90370298	90485962	10	-0.26691
TCGA-IG-A3QL	3	93734671	197538677	55281	0
TCGA-IG-A3QL	4	1053934	188762240	102132	0
TCGA-IG-A3QL	5	914233	114428288	60550	0
TCGA-IG-A3QL	5	114430791	114462630	27	-0.807042
TCGA-IG-A3QL	5	114464616	118154368	2198	0
TCGA-IG-A3QL	5	118155538	118176288	17	-0.44925
TCGA-IG-A3QL	5	118178146	180360469	37244	0
TCGA-IG-A3QL	6	1014281	99669020	54144	0
TCGA-IG-A3QL	6	99673152	99677368	8	0.733406
TCGA-IG-A3QL	6	99680361	170903919	41841	0
TCGA-IG-A3QL	7	708774	11613392	4476	0
TCGA-IG-A3QL	7	11613645	11619123	7	-0.503699
TCGA-IG-A3QL	7	11619450	158385118	76496	0
TCGA-IG-A3QL	8	617667	9874922	4087	0
TCGA-IG-A3QL	8	9877986	9891813	15	-0.589213
TCGA-IG-A3QL	8	9892529	145232496	77009	0
TCGA-IG-A3QL	9	789932	15980320	8705	0
TCGA-IG-A3QL	9	15994240	16082467	123	1.44574
TCGA-IG-A3QL	9	16085209	140938752	58837	0
TCGA-IG-A3QL	10	415240	7443244	4701	0
TCGA-IG-A3QL	10	7458383	9048325	1289	-0.540905
TCGA-IG-A3QL	10	9050093	34627372	17679	0
TCGA-IG-A3QL	10	34631239	34636171	8	-1.276327
TCGA-IG-A3QL	10	34643873	135225087	56815	0
TCGA-IG-A3QL	11	456120	131682576	75445	0
TCGA-IG-A3QL	11	131686591	131848924	154	-1.065017
TCGA-IG-A3QL	11	131855169	133273798	756	0
TCGA-IG-A3QL	11	133273814	133445440	134	0.487871
TCGA-IG-A3QL	11	133445918	134132624	324	0
TCGA-IG-A3QL	12	889902	33521107	19446	0
TCGA-IG-A3QL	12	39223566	92100658	30352	-0.396416
TCGA-IG-A3QL	12	92100758	133155338	23668	0
TCGA-IG-A3QL	13	19450806	114987458	56281	0
TCGA-IG-A3QL	14	20501368	105986740	49161	0
TCGA-IG-A3QL	15	23687685	61477236	20752	0
TCGA-IG-A3QL	15	61477482	61488843	6	-0.507433
TCGA-IG-A3QL	15	61491040	101884307	23460	0
TCGA-IG-A3QL	16	653503	89379936	40492	0
TCGA-IG-A3QL	17	987221	80917016	36706	0
TCGA-IG-A3QL	18	329586	64620468	36258	0
TCGA-IG-A3QL	18	64621935	64665861	21	1.323174
TCGA-IG-A3QL	18	64667003	77109240	6124	0
TCGA-IG-A3QL	19	284018	4346402	962	0
TCGA-IG-A3QL	19	4349816	4403017	10	-0.56684
TCGA-IG-A3QL	19	4673514	58878226	22718	0
TCGA-IG-A3QL	20	456452	62219648	37016	0
TCGA-IG-A3QL	21	15372509	32999516	11137	0
TCGA-IG-A3QL	21	32999554	33007949	5	0.949025
TCGA-IG-A3QL	21	33009397	47678295	9256	0
TCGA-IG-A3QL	22	17423930	49331012	16742	0
TCGA-IG-A3QL	X	3157107	154905589	62497	0
TCGA-IG-A3Y9	1	3218610	247812431	128596	0
TCGA-IG-A3Y9	2	484222	141827362	73178	0
TCGA-IG-A3Y9	2	141832339	141952305	71	-0.28797
TCGA-IG-A3Y9	2	141952467	142013666	31	-0.617358
TCGA-IG-A3Y9	2	142015558	142071687	41	-0.28797
TCGA-IG-A3Y9	2	142074734	154377753	7210	0
TCGA-IG-A3Y9	2	154377851	154458319	53	0.214376
TCGA-IG-A3Y9	2	154458446	239473435	48636	0
TCGA-IG-A3Y9	2	239480998	242476062	1583	-0.120592
TCGA-IG-A3Y9	3	2212571	83684083	47552	0
TCGA-IG-A3Y9	3	83684226	85023651	619	-0.143519
TCGA-IG-A3Y9	3	85025990	197538677	57783	0
TCGA-IG-A3Y9	4	1053934	85675585	46499	0
TCGA-IG-A3Y9	4	85676045	85801719	61	-0.303532
TCGA-IG-A3Y9	4	85803384	188762240	55572	0
TCGA-IG-A3Y9	5	914233	45378456	25807	0
TCGA-IG-A3Y9	5	50124856	91291709	22711	-0.421341
TCGA-IG-A3Y9	5	91293606	180360469	51518	0
TCGA-IG-A3Y9	6	1014281	62922423	34011	0
TCGA-IG-A3Y9	6	62922474	66113911	1524	0.558445
TCGA-IG-A3Y9	6	66120912	170903919	60458	0
TCGA-IG-A3Y9	7	708774	6341903	2065	0.828819
TCGA-IG-A3Y9	7	6352277	6362651	5	0
TCGA-IG-A3Y9	7	6365574	28705453	13369	0.96288
TCGA-IG-A3Y9	7	28708073	28709463	5	-0.273504
TCGA-IG-A3Y9	7	28710567	63114887	17750	0.942821
TCGA-IG-A3Y9	7	63115016	131096920	33319	0
TCGA-IG-A3Y9	7	131100319	132105288	623	-0.598908
TCGA-IG-A3Y9	7	132107670	158385118	13843	0
TCGA-IG-A3Y9	8	617667	41951908	24061	0
TCGA-IG-A3Y9	8	41958554	42932478	543	-0.31879
TCGA-IG-A3Y9	8	42933372	93400241	25647	0
TCGA-IG-A3Y9	8	93401672	145232496	30860	0.378028
TCGA-IG-A3Y9	9	789932	21589041	13224	0
TCGA-IG-A3Y9	9	21592386	22011392	229	-0.544954
TCGA-IG-A3Y9	9	22011477	131839707	49761	0
TCGA-IG-A3Y9	9	131844997	140938752	4451	-0.11871
TCGA-IG-A3Y9	10	415240	135225087	80492	0
TCGA-IG-A3Y9	11	456120	66272976	35044	0
TCGA-IG-A3Y9	11	66276576	66421207	44	1.985694
TCGA-IG-A3Y9	11	66422758	68654774	709	0
TCGA-IG-A3Y9	11	68660797	69040129	254	2.189592
TCGA-IG-A3Y9	11	69041847	69530753	253	3.64496
TCGA-IG-A3Y9	11	69531425	69610448	51	3.420168
TCGA-IG-A3Y9	11	69610794	70383054	376	3.64496
TCGA-IG-A3Y9	11	70388251	70795074	270	2.893265
TCGA-IG-A3Y9	11	70795265	71589290	409	1.427131
TCGA-IG-A3Y9	11	71590165	72232434	279	3.170432
TCGA-IG-A3Y9	11	72234930	72699604	214	2.069324
TCGA-IG-A3Y9	11	72712054	72767433	30	3.520101
TCGA-IG-A3Y9	11	72768172	74474865	892	2.320306
TCGA-IG-A3Y9	11	74478986	74714569	127	1.427131
TCGA-IG-A3Y9	11	74723127	134132624	37861	0
TCGA-IG-A3Y9	12	889902	133155338	73466	0
TCGA-IG-A3Y9	13	19450806	114987458	56281	0
TCGA-IG-A3Y9	14	20501368	105986740	49161	0
TCGA-IG-A3Y9	15	23687685	101884307	44218	0
TCGA-IG-A3Y9	16	653503	89379936	40492	0
TCGA-IG-A3Y9	17	987221	80917016	36706	0
TCGA-IG-A3Y9	18	329586	77109240	42403	0
TCGA-IG-A3Y9	19	284018	45707917	18435	0
TCGA-IG-A3Y9	19	45707965	45762753	10	-0.517056
TCGA-IG-A3Y9	19	45765419	58878226	5245	0
TCGA-IG-A3Y9	20	456452	62219648	37016	0
TCGA-IG-A3Y9	21	15372509	47678295	20398	0
TCGA-IG-A3Y9	22	17423930	49331012	16742	0
TCGA-IG-A3Y9	X	3157107	5835203	302	-0.981038
TCGA-IG-A3Y9	X	5838441	8245718	537	1.07077
TCGA-IG-A3Y9	X	8401929	24691968	8157	0.515481
TCGA-IG-A3Y9	X	24692397	28667209	2061	-0.398748
TCGA-IG-A3Y9	X	28667841	30270425	910	0.505982
TCGA-IG-A3Y9	X	30271241	51731608	9359	-0.406168
TCGA-IG-A3Y9	X	51963116	54453956	593	0
TCGA-IG-A3Y9	X	54454406	56261604	790	-0.413772
TCGA-IG-A3Y9	X	56520103	58086344	658	0
TCGA-IG-A3Y9	X	58094437	58315017	19	-0.534493
TCGA-IG-A3Y9	X	58316060	84977715	8423	0
TCGA-IG-A3Y9	X	85018377	86284198	834	-0.38403
TCGA-IG-A3Y9	X	86312325	154905589	29854	0
TCGA-IG-A3YA	1	3218610	45165883	22178	0.179854
TCGA-IG-A3YA	1	45166383	46001330	376	0.876887
TCGA-IG-A3YA	1	46009435	51160745	2629	0.179854
TCGA-IG-A3YA	1	51163760	51233372	14	-0.482602
TCGA-IG-A3YA	1	51383696	247812431	103399	0
TCGA-IG-A3YA	2	484222	3142951	1092	0
TCGA-IG-A3YA	2	3143193	3493585	105	-0.448999
TCGA-IG-A3YA	2	3495078	242476062	129606	0
TCGA-IG-A3YA	3	2212571	59246599	32802	0
TCGA-IG-A3YA	3	59251805	59705135	421	0.209163
TCGA-IG-A3YA	3	61026351	90485962	17450	0
TCGA-IG-A3YA	3	93734671	117230623	13161	0.422841
TCGA-IG-A3YA	3	117231751	140906776	13470	0
TCGA-IG-A3YA	3	140907232	161782354	10835	0.433445
TCGA-IG-A3YA	3	161783308	197538677	17815	1.093414
TCGA-IG-A3YA	4	1053934	188762240	102132	0
TCGA-IG-A3YA	5	914233	180360469	100036	0
TCGA-IG-A3YA	6	1014281	170903919	95993	0
TCGA-IG-A3YA	7	708774	158385118	80979	0
TCGA-IG-A3YA	8	617667	4542594	2043	0
TCGA-IG-A3YA	8	4546567	4640320	46	-0.269007
TCGA-IG-A3YA	8	4797806	29007075	14648	0
TCGA-IG-A3YA	8	29013817	29032672	12	0.388763
TCGA-IG-A3YA	8	29033162	29060971	11	1.571404
TCGA-IG-A3YA	8	29063534	29363220	189	0.539429
TCGA-IG-A3YA	8	29363265	30631433	790	0.149503
TCGA-IG-A3YA	8	30631938	30718597	32	0.732386
TCGA-IG-A3YA	8	30719034	30779113	42	1.545016
TCGA-IG-A3YA	8	30785485	32304489	1095	0.149503
TCGA-IG-A3YA	8	32304951	32778483	361	1.146824
TCGA-IG-A3YA	8	32780782	33672566	436	0.51011
TCGA-IG-A3YA	8	33672723	33764921	37	1.495181
TCGA-IG-A3YA	8	33779934	38741175	2428	0
TCGA-IG-A3YA	8	38747174	41578748	1668	0.713979
TCGA-IG-A3YA	8	41579237	42117048	315	2.254353
TCGA-IG-A3YA	8	42133102	42155830	45	1.107877
TCGA-IG-A3YA	8	42155987	42539218	250	2.193806
TCGA-IG-A3YA	8	42543338	42755229	97	1.107877
TCGA-IG-A3YA	8	42772406	145232496	56566	0
TCGA-IG-A3YA	9	789932	21487998	13125	0
TCGA-IG-A3YA	9	21491983	23771347	1477	-0.415893
