Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	3218610	60347689	0.000000	0.000000	0.000000	0.000000
Amp	 1	60351460	105833213	0.010528	0.057047	0.226871	0.100000
Amp	 1	105838295	192379022	0.000000	0.000000	0.000000	0.000000
Amp	 1	192384797	209620207	0.023303	0.299511	1.350513	0.200000
Amp	 1	209621581	211248543	0.023303	0.779661	2.282884	0.200000
Amp	 1	211250700	213056797	0.023303	0.299511	1.328122	0.200000
Amp	 1	213058297	225310885	0.000000	0.000000	1.434917	0.100000
Amp	 1	225311160	227258771	0.016914	0.159111	1.033845	0.200000
Amp	 1	227259730	244134351	0.000000	0.000000	1.434917	0.100000
Amp	 1	244134388	247812431	0.023303	0.376112	1.495774	0.100000
Amp	 2	484222	43895010	0.000000	0.000000	0.000000	0.000000
Amp	 2	43901613	44041760	0.023303	0.340421	1.353833	0.100000
Amp	 2	44048346	137639846	0.000000	0.000000	0.000000	0.000000
Amp	 2	137641442	138379023	0.023303	0.274228	1.090587	0.100000
Amp	 2	139069835	142542414	0.000000	0.000000	0.000000	0.000000
Amp	 2	142542682	142636482	0.023303	0.357362	1.421204	0.100000
Amp	 2	142636824	144214278	0.000000	0.000000	0.000000	0.000000
Amp	 2	144217879	166904877	0.023303	0.312413	1.242447	0.100000
Amp	 2	166909104	174516892	0.023303	0.919516	3.656854	0.100000
Amp	 2	174525929	174991543	0.475565	1.352826	2.690049	0.200000
Amp	 2	174996387	176505213	0.023303	0.919516	3.656854	0.100000
Amp	 2	176506549	202111466	0.023303	0.312413	1.242447	0.100000
Amp	 2	202113552	202489720	0.000000	0.000000	0.000000	0.000000
Amp	 2	202500195	212136711	0.023303	0.281602	1.119913	0.100000
Amp	 2	212136883	212572957	0.000000	0.000000	0.000000	0.000000
Amp	 2	212575685	233325924	0.023303	0.268534	1.170181	0.100000
Amp	 2	233335141	233802538	0.000000	0.000000	0.000000	0.000000
Amp	 2	233805445	234804506	0.023303	0.301704	1.199856	0.100000
Amp	 2	234807803	238502987	0.000000	0.000000	0.000000	0.000000
Amp	 2	238503559	240723171	0.023303	0.300298	1.194265	0.100000
Amp	 2	240725541	242476062	0.000000	0.000000	0.000000	0.000000
Amp	 3	2212571	94260633	0.000000	0.000000	0.000000	0.000000
Amp	 3	94266991	94722951	0.023303	0.340146	1.352739	0.100000
Amp	 3	94724295	124594955	0.000000	0.000000	0.000000	0.000000
Amp	 3	124598499	124948472	0.023303	0.333391	1.325873	0.100000
Amp	 3	124951748	134004200	0.000000	0.000000	0.000000	0.000000
Amp	 3	134004218	134068812	0.023303	0.616572	2.452065	0.100000
Amp	 3	134072649	166909276	0.000000	0.000000	0.000000	0.000000
Amp	 3	166910911	191063876	0.016914	0.156481	0.622315	0.100000
Amp	 3	191064009	197538677	0.023303	0.242093	0.481394	0.200000
Amp	 4	1053934	34765183	0.000000	0.000000	0.000000	0.000000
Amp	 4	34841386	35014338	0.023303	0.376252	1.496329	0.100000
Amp	 4	35015121	91580510	0.000000	0.000000	0.000000	0.000000
Amp	 4	91589442	91721940	0.023303	0.342787	1.363243	0.100000
Amp	 4	91724184	153245475	0.000000	0.000000	0.000000	0.000000
Amp	 4	153247470	153346252	0.023303	0.283213	1.126321	0.100000
Amp	 4	153348761	160239551	0.000000	0.000000	0.000000	0.000000
Amp	 4	160254910	160591060	0.023303	0.383301	1.524362	0.100000
Amp	 4	160591397	171121333	0.000000	0.000000	0.000000	0.000000
Amp	 4	171121829	171629286	0.023303	0.343418	1.365750	0.100000
Amp	 4	171629506	188762240	0.000000	0.000000	0.000000	0.000000
Amp	 5	914233	13957465	0.000000	0.000000	0.000000	0.000000
Amp	 5	13957746	14411050	0.023303	0.251035	0.998348	0.100000
Amp	 5	14411621	22023476	0.000000	0.000000	0.000000	0.000000
Amp	 5	22035063	22984279	0.023303	0.341176	1.356834	0.100000
Amp	 5	22984334	25410368	0.000000	0.000000	0.000000	0.000000
Amp	 5	25410448	45378456	0.016914	0.130791	0.520145	0.100000
Amp	 5	50124856	107733615	0.000000	0.000000	0.000000	0.000000
Amp	 5	107737653	107927705	0.023303	0.375147	1.491936	0.100000
Amp	 5	107934028	180360469	0.000000	0.000000	0.000000	0.000000
Amp	 6	1014281	89566067	0.000000	0.000000	0.000000	0.000000
Amp	 6	89569483	89968567	0.023303	0.313259	1.245811	0.100000
Amp	 6	89968681	147416176	0.000000	0.000000	0.000000	0.000000
Amp	 6	147416455	147889345	0.023303	0.409181	1.627287	0.100000
Amp	 6	147898277	170903919	0.000000	0.000000	0.000000	0.000000
Amp	 7	708774	54397486	0.000000	0.000000	0.000000	0.000000
Amp	 7	54400852	56487240	0.023303	0.919516	3.656854	0.100000
Amp	 7	56489650	75842091	0.000000	0.000000	0.000000	0.000000
Amp	 7	75859030	75981782	0.023303	0.220928	0.878617	0.100000
Amp	 7	75982988	77414116	0.000000	0.000000	0.000000	0.000000
Amp	 7	77415835	79819148	0.016914	0.150602	0.598934	0.100000
Amp	 7	79823380	80619620	0.023303	0.919516	3.656854	0.100000
Amp	 7	80626164	84314358	0.000000	0.000000	0.000000	0.000000
Amp	 7	84318996	95884029	0.023303	0.919516	3.656854	0.100000
Amp	 7	95889820	96058771	0.000000	0.000000	0.000000	0.000000
Amp	 7	96068471	97816638	0.023303	0.919516	3.656854	0.100000
Amp	 7	97817116	132418845	0.000000	0.000000	0.000000	0.000000
Amp	 7	132422609	133001170	0.023303	0.329808	1.311624	0.100000
Amp	 7	133006299	158385118	0.000000	0.000000	0.000000	0.000000
Amp	 8	617667	3368642	0.000000	0.000000	0.000000	0.000000
Amp	 8	3369812	3442734	0.000000	0.037345	0.148520	0.100000
Amp	 8	3443108	15736357	0.000000	0.000000	0.000000	0.000000
Amp	 8	15738015	15808311	0.023303	0.301382	1.198577	0.100000
Amp	 8	15808823	24140376	0.000000	0.000000	0.000000	0.000000
Amp	 8	24144598	25981394	0.023303	0.316869	1.260167	0.100000
Amp	 8	25983076	100907359	0.000000	0.000000	0.000000	0.000000
Amp	 8	100908934	115932499	0.023303	0.919516	3.656854	0.100000
Amp	 8	115932756	140320084	0.475565	0.958930	1.906801	0.200000
Amp	 8	140323589	140453852	0.475565	1.491130	1.976709	0.300000
Amp	 8	140456545	145232496	0.475565	0.958930	1.906801	0.200000
Amp	 9	789932	140938752	0.000000	0.000000	0.000000	0.000000
Amp	10	415240	135225087	0.000000	0.000000	0.000000	0.000000
Amp	11	456120	32705863	0.000000	0.000000	0.000000	0.000000
Amp	11	32707915	35193007	0.023303	0.277913	1.105240	0.100000
Amp	11	35196411	63937949	0.000000	0.000000	0.000000	0.000000
Amp	11	63944370	64432022	0.018154	0.191745	0.762558	0.100000
Amp	11	64433078	66955997	0.000000	0.000000	0.000000	0.000000
Amp	11	66957955	67164495	0.023303	0.919516	3.656854	0.100000
Amp	11	67167730	67294308	0.475565	1.255801	2.497118	0.200000
Amp	11	67770619	68226019	0.023303	0.919516	3.656854	0.100000
Amp	11	68230025	68715544	0.475565	1.750104	3.480023	0.200000
Amp	11	68715646	70133539	0.475565	1.839032	3.656854	0.200000
Amp	11	70134766	70364509	0.475565	1.613192	3.207780	0.200000
Amp	11	70366383	71434505	0.475565	1.162474	2.311541	0.200000
Amp	11	71440571	71671879	0.023303	0.919516	3.656854	0.100000
Amp	11	71677032	134132624	0.000000	0.000000	0.000000	0.000000
Amp	12	889902	10440005	0.023303	0.919516	3.656854	0.100000
Amp	12	10440753	32825571	0.000000	0.000000	0.000000	0.000000
Amp	12	32825828	33521107	0.023303	0.230389	0.916243	0.100000
Amp	12	39223566	42423135	0.000000	0.000000	0.000000	0.000000
Amp	12	42429402	42524901	0.023303	0.919516	3.656854	0.100000
Amp	12	42526800	46214767	0.000000	0.000000	0.000000	0.000000
Amp	12	46221051	48643514	0.010528	0.059091	0.328821	0.100000
Amp	12	48645332	49019121	0.000000	0.000000	0.000000	0.000000
Amp	12	49022976	50168205	0.010528	0.077844	0.309582	0.100000
Amp	12	50173773	50950229	0.000000	0.000000	0.000000	0.000000
Amp	12	50954607	52410533	0.023303	0.919516	3.656854	0.100000
Amp	12	52415111	63247414	0.000000	0.000000	0.000000	0.000000
Amp	12	63249773	63551063	0.023303	0.919516	3.656854	0.100000
Amp	12	63565177	63731975	0.023303	0.410114	1.630998	0.100000
Amp	12	63736398	63918671	0.023303	0.746517	2.968850	0.100000
Amp	12	63919488	70359846	0.023303	0.919516	3.656854	0.100000
Amp	12	70360539	106754911	0.000000	0.000000	0.000000	0.000000
Amp	12	106757613	133155338	0.023303	0.305903	1.216556	0.100000
Amp	13	19450806	79181581	0.000000	0.000000	0.000000	0.000000
Amp	13	79188419	79420253	0.023303	0.320576	1.274909	0.100000
Amp	13	79436620	114987458	0.000000	0.000000	0.000000	0.000000
Amp	14	20501368	78932927	0.000000	0.000000	0.000000	0.000000
Amp	14	78933685	79474261	0.000000	0.025415	0.614035	0.200000
Amp	14	79478364	105986740	0.000000	0.000000	1.126995	0.100000
Amp	15	23687685	27467286	0.023303	0.260235	0.517469	0.200000
Amp	15	27467567	34637696	0.018154	0.191930	0.763292	0.100000
Amp	15	34637903	35246812	0.023303	0.606794	2.413181	0.100000
Amp	15	35258895	36274995	0.000000	0.000000	0.000000	0.000000
Amp	15	36275589	37122723	0.023303	0.332440	1.322092	0.100000
Amp	15	37122815	90360759	0.000000	0.000000	0.000000	0.000000
Amp	15	90361164	101884307	0.023303	0.208028	0.827314	0.100000
Amp	16	653503	89379936	0.000000	0.000000	0.000000	0.000000
Amp	17	987221	8256850	0.000000	0.000000	0.000000	0.000000
Amp	17	8259982	15586150	0.023303	0.290784	1.156428	0.100000
Amp	17	15682578	70559396	0.000000	0.000000	0.000000	0.000000
Amp	17	70564420	76408369	0.023303	0.302574	1.203318	0.100000
Amp	17	76456078	76804214	0.000000	0.000000	0.000000	0.000000
Amp	17	76812175	79943475	0.023303	0.319753	1.271638	0.100000
Amp	17	79976478	80917016	0.000000	0.000000	0.000000	0.000000
Amp	18	329586	33214421	0.000000	0.000000	0.000000	0.000000
Amp	18	33330948	34049585	0.023303	0.325884	1.296020	0.100000
Amp	18	34052444	77109240	0.000000	0.000000	0.000000	0.000000
Amp	19	284018	5439572	0.000000	0.000000	0.000000	0.000000
Amp	19	5441333	5873751	0.018154	0.195778	0.778596	0.100000
Amp	19	5874103	58878226	0.000000	0.000000	0.000000	0.000000
Amp	20	456452	4438098	0.000000	0.000000	0.000000	0.000000
Amp	20	4439087	12796624	0.016914	0.127466	0.506924	0.100000
Amp	20	12893188	26195759	0.000000	0.000000	0.000000	0.000000
Amp	20	26195868	31403675	0.023303	0.255483	1.016038	0.100000
Amp	20	31413090	48568959	0.000000	0.000000	0.000000	0.000000
Amp	20	48570021	49279680	0.023303	0.414778	1.649543	0.100000
Amp	20	49287121	56546496	0.000000	0.000000	0.000000	0.000000
Amp	20	56548391	56628316	0.023303	0.322483	1.282495	0.100000
Amp	20	56638324	62219648	0.000000	0.000000	0.000000	0.000000
Amp	21	15372509	36214944	0.000000	0.000000	0.000000	0.000000
Amp	21	36215171	36292228	0.023303	0.323005	1.284571	0.100000
Amp	21	36292500	47678295	0.000000	0.000000	0.000000	0.000000
Amp	22	17423930	49331012	0.000000	0.000000	0.000000	0.000000
Del	 1	3218610	3588040	-0.000000	0.010826	0.000000	0.000000
Del	 1	3598024	3657932	-0.000000	0.021653	0.000000	0.000000
Del	 1	3667917	3757778	-0.000000	0.010826	0.000000	0.000000
Del	 1	3767762	3807701	-0.000000	0.021653	0.000000	0.000000
Del	 1	3817685	6084187	-0.000000	0.010826	0.000000	0.000000
Del	 1	6094172	6164064	-0.000000	0.021653	0.000000	0.000000
Del	 1	6174048	6313833	-0.000000	0.010826	0.000000	0.000000
Del	 1	6323817	6423663	-0.000000	0.021653	0.000000	0.000000
