Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	3218610	3279324	0.068148	0.252545	0.812296	0.130435
Amp	 1	3280814	3763796	0.010847	0.239457	0.836297	0.118012
Amp	 1	3766240	4472026	0.306242	0.296570	0.982053	0.124224
Amp	 1	4476384	4487734	0.010847	0.239457	0.841274	0.118012
Amp	 1	4490338	4605403	-0.000000	0.214127	0.792965	0.111801
Amp	 1	4605422	5871451	-0.000000	0.208615	0.818852	0.105590
Amp	 1	5872575	6011905	-0.000000	0.218814	0.809638	0.111801
Amp	 1	6057725	6088671	0.109888	0.261058	0.959907	0.111801
Amp	 1	6100855	6102928	0.171448	0.272683	0.948558	0.118012
Amp	 1	6103415	6276167	0.278746	0.292333	0.964039	0.124224
Amp	 1	6277482	6308909	0.531451	0.328412	1.079544	0.124224
Amp	 1	6314822	6343602	0.924294	0.376211	1.232570	0.124224
Amp	 1	6343825	6360147	1.000998	0.384496	1.199138	0.130435
Amp	 1	6364371	6422759	0.897566	0.372872	1.221881	0.124224
Amp	 1	6424626	6467843	0.986121	0.383166	1.195082	0.130435
Amp	 1	6468628	6581283	0.815772	0.363516	1.191927	0.124224
Amp	 1	6581743	6592800	0.725570	0.353222	1.219970	0.118012
Amp	 1	6593314	6615365	0.655232	0.344937	1.258274	0.111801
Amp	 1	6623043	6691119	0.576702	0.334738	1.293878	0.105590
Amp	 1	6691567	6756434	0.263356	0.290332	1.126626	0.105590
Amp	 1	6758946	7158669	0.076716	0.254252	0.990738	0.105590
Amp	 1	7160954	8009763	-0.000000	0.197140	0.824106	0.099379
Amp	 1	8015436	8684286	-0.000000	0.173405	0.729125	0.099379
Amp	 1	8685037	8685037	-0.000000	0.184419	0.727719	0.105590
Amp	 1	8686133	8777528	-0.000000	0.196585	0.732164	0.111801
Amp	 1	8786754	8829047	-0.000000	0.185571	0.733749	0.105590
Amp	 1	8831283	8944354	-0.000000	0.221650	0.869639	0.105590
Amp	 1	8985036	9068386	-0.000000	0.185571	0.733749	0.105590
Amp	 1	9070372	9127232	-0.000000	0.197077	0.733915	0.111801
Amp	 1	9127458	9234363	-0.000000	0.186288	0.736450	0.105590
Amp	 1	9240258	9303684	-0.000000	0.169307	0.714526	0.099379
Amp	 1	9304205	9483388	-0.000000	0.157801	0.713045	0.093168
Amp	 1	9489099	9580919	-0.000000	0.205343	0.915984	0.093168
Amp	 1	9584442	9946026	-0.000000	0.165749	0.746972	0.093168
Amp	 1	9949563	10580540	-0.000000	0.222862	0.928840	0.099379
Amp	 1	10580891	10931062	0.208805	0.279975	1.089311	0.105590
Amp	 1	10934299	11009543	-0.000000	0.234473	0.917934	0.105590
Amp	 1	11009679	11143311	0.015242	0.240750	0.889267	0.111801
Amp	 1	11149314	11456387	-0.000000	0.222307	0.924821	0.099379
Amp	 1	11456536	11533011	0.095106	0.258386	1.069202	0.099379
Amp	 1	11534053	11600061	0.039664	0.246775	1.090920	0.093168
Amp	 1	11600358	11879267	0.109888	0.260894	1.081035	0.099379
Amp	 1	11881916	11952212	0.022946	0.243375	1.078326	0.093168
Amp	 1	11955702	11955702	-0.000000	0.207296	0.924320	0.093168
Amp	 1	11956569	12044164	-0.000000	0.228389	0.950959	0.099379
Amp	 1	12046007	12046089	0.114870	0.262029	1.021720	0.105590
Amp	 1	12049295	12109295	0.015242	0.240936	1.001168	0.099379
Amp	 1	12125536	12147722	-0.000000	0.236525	1.049085	0.093168
Amp	 1	12153188	12307147	-0.000000	0.202885	0.970170	0.086957
Amp	 1	12312516	12473986	-0.000000	0.231704	1.101973	0.086957
Amp	 1	12474738	12565259	-0.000000	0.174592	0.905443	0.080745
Amp	 1	12569021	12639168	-0.000000	0.200367	1.032395	0.080745
Amp	 1	12648416	14224999	-0.000000	0.174592	0.905014	0.080745
Amp	 1	14225373	14306622	-0.000000	0.186225	0.893574	0.086957
Amp	 1	14306660	14773656	-0.000000	0.174592	0.905014	0.080745
Amp	 1	14775550	15142300	-0.000000	0.160473	0.902702	0.074534
Amp	 1	15144776	15266213	-0.000000	0.176628	0.912830	0.080745
Amp	 1	15268363	15360721	-0.000000	0.197854	0.944703	0.086957
Amp	 1	15362356	15657154	0.017493	0.241735	1.145393	0.086957
