Filename,Function,Package
FigureYa222PCAgene.Rmd,dim,
FigureYa222PCAgene.Rmd,414,
FigureYa222PCAgene.Rmd,filter,
FigureYa222PCAgene.Rmd,column_to_rownames,
FigureYa222PCAgene.Rmd,theme,
FigureYa222PCAgene.Rmd,FindNeighbors,
FigureYa222PCAgene.Rmd,match,
FigureYa222PCAgene.Rmd,scale_color_manual,
FigureYa222PCAgene.Rmd,ElbowPlot,
FigureYa222PCAgene.Rmd,pull,
FigureYa222PCAgene.Rmd,setenv,
FigureYa222PCAgene.Rmd,source,
FigureYa222PCAgene.Rmd,sessionInfo,
FigureYa222PCAgene.Rmd,log2,
FigureYa222PCAgene.Rmd,pal,
FigureYa222PCAgene.Rmd,element_rect,
FigureYa222PCAgene.Rmd,FindClusters,
FigureYa222PCAgene.Rmd,save,
FigureYa222PCAgene.Rmd,length,
FigureYa222PCAgene.Rmd,melt,reshape2
FigureYa222PCAgene.Rmd,table,
FigureYa222PCAgene.Rmd,read_excel,readxl
FigureYa222PCAgene.Rmd,set,
FigureYa222PCAgene.Rmd,apply,
FigureYa222PCAgene.Rmd,load,
FigureYa222PCAgene.Rmd,round,
FigureYa222PCAgene.Rmd,PC2,
FigureYa222PCAgene.Rmd,CreateSeuratObject,
FigureYa222PCAgene.Rmd,c,
FigureYa222PCAgene.Rmd,colnames,
FigureYa222PCAgene.Rmd,FindVariableFeatures,
FigureYa222PCAgene.Rmd,xlab,
FigureYa222PCAgene.Rmd,geom_smooth,
FigureYa222PCAgene.Rmd,mapvalues,plyr
FigureYa222PCAgene.Rmd,levels,
FigureYa222PCAgene.Rmd,element_blank,
FigureYa222PCAgene.Rmd,aes,
FigureYa222PCAgene.Rmd,PCAPlot,
FigureYa222PCAgene.Rmd,file,
FigureYa222PCAgene.Rmd,csv,
FigureYa222PCAgene.Rmd,factor,
FigureYa222PCAgene.Rmd,opts_chunk,knitr
FigureYa222PCAgene.Rmd,library,
FigureYa222PCAgene.Rmd,GetAssayData,
FigureYa222PCAgene.Rmd,setNames,
FigureYa222PCAgene.Rmd,VariableFeatures,
FigureYa222PCAgene.Rmd,attachments,
FigureYa222PCAgene.Rmd,ggplot,
FigureYa222PCAgene.Rmd,rownames,
FigureYa222PCAgene.Rmd,geom_point,
FigureYa222PCAgene.Rmd,prcomp,
FigureYa222PCAgene.Rmd,options,
FigureYa222PCAgene.Rmd,sum,
FigureYa222PCAgene.Rmd,facet_wrap,
FigureYa222PCAgene.Rmd,mnnCorrect,batchelor
FigureYa222PCAgene.Rmd,SingleCellExperiment,
FigureYa222PCAgene.Rmd,theme_classic,
FigureYa222PCAgene.Rmd,PC1,
FigureYa222PCAgene.Rmd,function,
FigureYa222PCAgene.Rmd,ggsave,
FigureYa222PCAgene.Rmd,gzfile,
FigureYa222PCAgene.Rmd,paste0,
FigureYa222PCAgene.Rmd,cbind,
FigureYa222PCAgene.Rmd,assay,SummarizedExperiment
FigureYa222PCAgene.Rmd,ylab,
FigureYa8radarChart.Rmd,rsvg_pdf,
FigureYa8radarChart.Rmd,opts_chunk,knitr
FigureYa8radarChart.Rmd,nrow,
FigureYa8radarChart.Rmd,library,
FigureYa8radarChart.Rmd,sessionInfo,
FigureYa8radarChart.Rmd,setenv,
FigureYa8radarChart.Rmd,source,
FigureYa8radarChart.Rmd,head,
FigureYa8radarChart.Rmd,names,
FigureYa8radarChart.Rmd,options,
FigureYa8radarChart.Rmd,paste,
FigureYa8radarChart.Rmd,7cm,
FigureYa8radarChart.Rmd,rotate,
FigureYa8radarChart.Rmd,table,
FigureYa8radarChart.Rmd,set,
FigureYa8radarChart.Rmd,for,
FigureYa8radarChart.Rmd,frame,
FigureYa8radarChart.Rmd,nchar,
FigureYa8radarChart.Rmd,c,
FigureYa8radarChart.Rmd,narrow,
FigureYa139TMB_titv.Rmd,segments,
FigureYa139TMB_titv.Rmd,which,
FigureYa139TMB_titv.Rmd,source,
