Enrichscore,TGFBcluster
0.126134659507734,Pink-TGFB
0.352289288978922,Pink-TGFB
0.115810041900695,Pink-TGFB
0.167875892466175,Pink-TGFB
0.207923532119369,Pink-TGFB
0.261121357158284,Pink-TGFB
0.290484979585247,Pink-TGFB
0.152706005638264,Pink-TGFB
0.204013894203357,Red-TGFB
0.38670112832925,Red-TGFB
0.444298857544829,Red-TGFB
0.338825787508729,Red-TGFB
0.312233302299186,Red-TGFB
0.0724061027305946,Red-TGFB
0.414777706155562,Red-TGFB
0.175815839245065,Pink-TGFB
0.112530516056928,Pink-TGFB
0.214352118690464,Pink-TGFB
0.132700393492673,Pink-TGFB
0.120046646999251,Pink-TGFB
0.0748091249581152,Pink-TGFB
0.0992142660757922,Pink-TGFB
0.0803706901631865,Pink-TGFB
0.189356164344062,Pink-TGFB
0.18704950902679,Pink-TGFB
0.146146295285725,Red-TGFB
0.116678519582912,Pink-TGFB
0.186354926016998,Red-TGFB
0.192725789627724,Red-TGFB
0.165153032430249,Red-TGFB
0.332806976332075,Red-TGFB
0.204223669404061,Red-TGFB
0.138843689456934,Red-TGFB
0.0666495146983484,Red-TGFB
0.0693911882248225,Red-TGFB
0.123939456171383,Red-TGFB
0.176396908485157,Red-TGFB
0.465519437034708,Red-TGFB
0.0927575725612499,Red-TGFB
0.347869386280512,Red-TGFB
0.153892784752347,Red-TGFB
0.111413371538678,Red-TGFB
0.116417450802754,Red-TGFB
0.351704298414861,Red-TGFB
0.256964686044993,Red-TGFB
0.212083466159055,Red-TGFB
0.222530177352995,Red-TGFB
0.0838752079752721,Pink-TGFB
0.101534112506249,Pink-TGFB
0.082151181061926,Pink-TGFB
0.144943134624925,Pink-TGFB
0.265958559269533,Pink-TGFB
0.0574618413187236,Pink-TGFB
0.0284587962695327,Pink-TGFB
0.172370190423942,Pink-TGFB
0.181051051133046,Pink-TGFB
0.19914174611416,Pink-TGFB
0.0555854299860003,Pink-TGFB
0.101100323730802,Pink-TGFB
0.0500409930021271,Pink-TGFB
0.0273007067353386,Pink-TGFB
0.0383210799840085,Pink-TGFB
0.188811902315478,Pink-TGFB
0.170049593086249,Pink-TGFB
0.153343189179401,Pink-TGFB
0.209714906760842,Pink-TGFB
0.170589819584198,Pink-TGFB
0.0431964047816806,Pink-TGFB
0.15881622818471,Pink-TGFB
0.242178394680061,Pink-TGFB
0.29916195680926,Pink-TGFB
0.13963833987441,Pink-TGFB
0.34970674006661,Pink-TGFB
0.134846601935083,Pink-TGFB
0.152648553273251,Pink-TGFB
0.0613306596510193,Pink-TGFB
0.162247159553715,Pink-TGFB
0.204308871777647,Pink-TGFB
0.247706556997396,Grey-TGFB
0.0720947173066078,Pink-TGFB
0.0907824966706067,Pink-TGFB
-0.00746406622855049,Pink-TGFB
0.183152401679662,Pink-TGFB
0.117340252376339,Pink-TGFB
0.150906476232081,Pink-TGFB
0.0760545491650287,Pink-TGFB
0.124396555375368,Pink-TGFB
0.278091484920367,Pink-TGFB
0.128896708193962,Pink-TGFB
0.230160570171532,Pink-TGFB
0.208930746681876,Pink-TGFB
0.313895547123021,Grey-TGFB
0.0497956984644166,Pink-TGFB
0.181090148694316,Pink-TGFB
0.173415510008935,Pink-TGFB
0.215761464428048,Pink-TGFB
0.067327557026,Pink-TGFB
0.125988481318398,Pink-TGFB
0.298879025339421,Pink-TGFB
0.0947411487099215,Pink-TGFB
0.140039238512281,Pink-TGFB
0.142019277597067,Pink-TGFB
0.0707877572447959,Pink-TGFB
0.125148030128159,Pink-TGFB
0.143058554160553,Pink-TGFB
0.121579188970486,Pink-TGFB
0.124248086723087,Pink-TGFB
0.112265708948581,Pink-TGFB
0.117786506813097,Pink-TGFB
0.199156182127395,Pink-TGFB
0.0636375678235672,Pink-TGFB
0.0827411427916376,Pink-TGFB
0.0706167797065455,Pink-TGFB
0.0981487493312452,Pink-TGFB
0.151285360362781,Pink-TGFB
0.129176135372701,Pink-TGFB
0.110883137693206,Pink-TGFB
0.195465252003701,Grey-TGFB
0.267740459998378,Grey-TGFB
0.223465160992237,Grey-TGFB
