,TCGA-K4-A54R-11,TCGA-BL-A13J-11,TCGA-GD-A3OP-11,TCGA-CU-A0YN-11,TCGA-BT-A20R-11,TCGA-BT-A20Q-11,TCGA-K4-A3WV-11,TCGA-GD-A3OQ-11,TCGA-BT-A2LA-11,TCGA-BT-A2LB-11,TCGA-CU-A0YR-11,TCGA-BT-A20W-11,TCGA-GD-A2C5-11,TCGA-BT-A20U-11,TCGA-GC-A3WC-11,TCGA-BT-A20N-11,TCGA-GC-A3BM-11
ENSG00000000003,4383,269,10055,325,883,197,9289,10540,14704,3301,1416,3722,13783,3321,2213,230,4142
ENSG00000000005,11,5,3,5,46,9,6,4,3,7,42,3,5,2,12,11,7
ENSG00000000419,1583,853,2481,689,1821,699,1567,1845,2024,1968,1019,1591,2778,1087,1220,726,1567
ENSG00000000457,377,499,775,431,1079,401,892,1472,484,297,630,525,702,394,612,368,433
ENSG00000000460,147,100,194,198,231,58,308,300,207,177,136,391,398,125,147,93,190
ENSG00000000938,559,298,1009,102,946,76,328,696,466,953,462,523,1076,154,446,268,474
ENSG00000000971,9049,4436,12564,5544,4074,2566,6778,15056,7562,5529,9437,13372,9001,1855,7427,2264,10917
ENSG00000001036,2577,834,3297,1348,2067,692,2859,4195,5025,1920,1567,3154,3833,1100,1787,748,2336
ENSG00000001084,15012,2058,8417,1826,5763,1803,5716,13441,7671,3689,2557,5619,9693,3602,3115,1395,6845
ENSG00000001167,2930,564,2374,599,1649,441,1829,3185,2661,943,871,1242,2214,688,1025,554,2903
ENSG00000001460,1167,134,1908,59,226,117,885,1159,2680,724,211,515,961,231,426,94,722
ENSG00000001461,850,588,3622,242,813,853,2652,4008,2534,3562,604,1268,3532,1106,1117,445,1969
ENSG00000001497,1585,1218,2660,839,2420,1036,2545,2500,2939,1989,1737,2062,2294,1402,1674,967,1731
ENSG00000001561,516,1383,2056,968,1653,960,804,1692,487,313,1566,685,2166,137,1244,888,540
ENSG00000001617,3727,238,17100,372,1066,262,8498,11211,9124,11609,1838,4805,10644,6882,2035,227,5118
ENSG00000001626,11,11,33,24,15,4,13,35,9,10,24,30,79,27,138,6,8
ENSG00000001629,1636,1533,3257,1844,3668,1442,1978,4521,1377,1639,1736,2641,3796,1193,1816,1499,1912
ENSG00000001630,277,51,186,124,189,66,155,258,73,308,100,183,353,156,58,82,210
ENSG00000001631,878,884,1879,845,1870,721,1306,2375,939,1090,1101,1079,1624,773,1170,832,1400
ENSG00000002016,156,286,440,223,363,273,411,835,198,136,278,248,413,174,462,201,228
ENSG00000002079,12,2,4,2,1,1,12,9,9,6,1,2,8,2,6,0,3
ENSG00000002330,955,767,2554,1144,1711,969,1560,1863,3158,1199,982,1240,1666,1161,1330,808,1169
ENSG00000002549,2346,1992,9499,2632,5697,1685,3049,3956,3209,3661,3324,3681,4081,1624,3513,2158,2634
ENSG00000002586,6569,11651,6663,12883,16399,7976,5667,12640,12166,9060,14342,12587,6337,3599,9996,8702,9039
ENSG00000002587,15821,149,8372,61,217,104,1596,4864,22663,11738,906,1059,10515,826,3325,43,6590
ENSG00000002726,43,10,147,12,4,0,164,18,34,253,20,83,135,40,166,3,10
ENSG00000002745,1,1,27,1,2,1,5,4,0,34,0,36,63,10,8,2,0
ENSG00000002746,42,21,20,18,55,12,17,139,85,16,31,131,58,46,44,7,97
ENSG00000002822,899,685,2111,670,1042,529,1353,1469,2145,1363,938,1079,1748,798,991,485,1036
ENSG00000002834,8961,2711,12559,3684,4378,2410,11251,14609,16467,7106,6187,9947,26343,3220,6360,2344,10117
ENSG00000002919,665,751,1433,719,1009,716,1019,1341,847,1199,912,879,1773,729,1016,605,810
ENSG00000002933,1286,582,1102,1178,1007,159,722,2354,2080,1389,1187,3626,2045,415,1381,600,1309
ENSG00000003056,3309,1695,5406,1844,3045,1362,3660,6331,2173,2805,2332,2936,4933,1052,2175,1414,3129
ENSG00000003096,441,999,960,1540,2174,886,602,1263,304,247,1296,862,273,394,1039,995,604
ENSG00000003137,49,156,314,105,369,177,33,296,60,687,484,117,152,235,78,129,150
ENSG00000003147,2913,88,3374,73,314,65,3059,3396,6279,1136,570,935,3333,842,973,75,2667
ENSG00000003249,166,16,423,36,57,26,481,260,1291,981,92,418,1334,811,324,54,123
ENSG00000003393,737,782,1280,638,1693,678,729,1696,563,902,891,1071,1175,466,982,690,926
ENSG00000003400,555,250,3082,210,386,122,767,1049,853,1225,616,776,1506,1039,991,182,891
ENSG00000003402,6745,3726,8129,2292,8039,2213,4546,9713,4472,6893,4065,3619,5527,2500,4622,2658,4912
ENSG00000003436,2842,2326,2368,1782,4363,1057,826,2405,1147,2842,4433,4932,3103,536,2063,1282,1896
ENSG00000003509,474,328,758,297,1324,233,558,751,677,392,417,487,767,304,508,269,379
ENSG00000003756,5042,2323,6764,1884,3989,1892,5864,7797,3223,3673,2853,2410,3915,1769,4653,2286,4586
ENSG00000003987,54,81,63,70,197,86,39,108,73,48,106,37,46,39,81,48,49
ENSG00000003989,1774,753,787,377,3159,313,1049,4276,961,1418,1806,2111,1176,248,994,634,943
ENSG00000004059,4525,1893,9616,2479,3721,1898,6122,5758,10889,8823,3282,4282,6646,6176,3782,1731,4316
ENSG00000004139,161,332,368,382,702,347,712,923,327,162,445,290,634,160,418,293,384
ENSG00000004142,2639,2718,7024,3151,4824,2562,4870,5772,5896,5346,3417,3569,6794,4641,3402,2224,3140
ENSG00000004399,1601,3189,4593,3148,4337,1942,2021,5330,2851,2938,6291,6458,3280,730,4100,1809,3649
ENSG00000004455,2779,1753,7782,1892,3717,1704,4802,5960,6246,6421,3042,3465,5392,3328,2635,1584,3329
ENSG00000004468,39,23,197,50,101,20,28,94,43,315,319,178,302,306,185,41,62
ENSG00000004478,5042,3346,13047,2504,4184,2600,10027,9197,12805,8766,4111,7996,9366,5431,4597,2866,3795
ENSG00000004487,7441,1883,6009,2434,3119,1497,5981,6133,8575,3530,2845,4808,6074,2024,2976,1395,4180
ENSG00000004534,4599,2030,6991,1698,3610,2284,4732,6889,4310,3230,2635,1939,3891,1775,3804,1805,4146
ENSG00000004660,586,968,809,712,1200,1894,690,1927,1071,783,1047,444,396,620,1464,476,761
ENSG00000004700,554,900,832,1098,1777,780,532,1434,315,696,1038,1334,1556,296,765,758,594
ENSG00000004766,369,828,1370,710,1375,638,1114,1668,650,881,894,1014,1220,534,921,622,778
ENSG00000004776,2618,36097,3789,37175,71270,37891,4262,14055,4791,4109,28458,11664,3338,8174,20006,35683,4592
ENSG00000004777,181,196,319,332,596,192,162,435,323,273,365,228,302,252,452,265,281
ENSG00000004779,1211,1182,2946,1321,3070,1110,1952,1940,4551,2465,1496,1722,2775,1470,1340,994,1151
ENSG00000004799,25637,32285,4332,4502,37246,7198,8756,11909,16123,15258,10677,15489,14543,1528,22904,7013,4133
ENSG00000004809,0,7,1,2,2,0,1,1,0,1,0,14,4,1,2,2,2
ENSG00000004838,3,2,19,479,16,8,10,18,12,15,15,17,56,8,10,11,6
ENSG00000004846,34,128,70,81,226,40,1,31,13,6,137,250,10,0,162,58,22
ENSG00000004848,0,0,2,0,1,0,0,0,1,0,1,1,5,0,1,0,0
ENSG00000004864,1112,309,1833,389,749,232,1114,1785,1355,1426,560,1415,1645,778,659,325,1046
ENSG00000004866,867,735,1442,767,1649,591,916,1637,1337,984,1110,1058,1885,640,1116,631,932
ENSG00000004897,1613,1664,2952,2287,4996,1820,1717,3787,1755,2315,2297,2947,3725,1488,2118,1672,2052
ENSG00000004939,3,9,0,3,0,0,1,33,0,8,4,1,1,1,0,3,6
ENSG00000004948,0,4,1,3,2,0,1,9,5,3,2,8,0,1,1,0,3
ENSG00000004961,1386,716,2783,620,1048,566,1158,1405,2012,1437,676,1003,1501,796,885,483,1048
ENSG00000004975,1061,1259,2215,1433,2067,1222,1563,2429,1597,1221,1765,1454,1501,903,1616,953,1487
ENSG00000005001,4544,0,4634,1,4,6,987,1530,1730,6928,86,411,3972,1131,1018,0,1143
ENSG00000005007,6705,3967,10226,4094,7005,3330,6666,8042,7498,6615,5221,4719,7762,3609,4616,3153,4655
ENSG00000005020,3148,2347,3277,1751,4148,2136,6666,6646,5114,2384,2815,2450,4933,888,2116,1809,3122
ENSG00000005022,9739,6456,26752,9583,16603,5570,9161,14658,16035,20797,7860,11838,11860,15386,9434,5120,6521
ENSG00000005059,267,313,983,350,787,189,154,559,524,764,623,608,1008,384,555,224,322
ENSG00000005073,94,520,452,515,188,606,200,2115,343,98,761,522,258,186,441,253,315
ENSG00000005075,794,574,1949,681,956,569,1790,1608,2949,1291,732,1175,2307,1022,973,503,1096
ENSG00000005100,970,623,1422,602,1374,497,780,1383,748,1201,788,1179,729,630,722,419,555
ENSG00000005102,60,168,1036,242,942,229,189,216,211,766,1556,583,403,106,605,291,304
ENSG00000005108,259,363,309,383,1172,196,513,510,227,449,714,870,676,98,546,311,467
ENSG00000005156,1366,1070,2302,1419,1794,798,1660,2216,1488,1449,901,1251,2009,917,811,1033,1134
ENSG00000005175,1150,939,1980,960,2147,743,1124,2043,1448,1207,1036,1159,1784,851,963,776,925
ENSG00000005187,498,78,506,54,378,15,1292,1436,1643,182,239,222,403,88,206,39,542
ENSG00000005189,162,72,235,400,237,57,337,366,562,299,174,253,144,107,168,39,216
ENSG00000005194,1360,672,3023,837,1190,614,2025,1970,2350,2345,968,1978,2529,1548,1137,647,1188
ENSG00000005206,1408,514,2412,897,1217,620,1650,2120,1383,1416,824,1069,1910,1290,1250,563,1289
ENSG00000005238,2181,690,2387,686,845,732,1107,1883,2099,2115,745,743,1328,848,1036,508,1150
ENSG00000005243,283,1455,1118,1533,2151,1080,309,1117,598,705,1512,1023,384,363,1536,1014,539
ENSG00000005249,1838,1073,838,1233,3427,1351,1039,2630,1148,938,1812,3176,2057,975,1723,1183,2040
ENSG00000005302,912,791,1509,702,1114,723,1229,1660,1178,1351,789,1106,1456,789,1095,570,764
ENSG00000005339,4302,4676,5640,4427,8214,3296,4025,8818,3080,4751,5453,4340,5903,2136,4818,3558,4401
ENSG00000005379,1157,551,735,543,1935,644,1159,1688,521,356,1074,337,739,296,1327,586,1262
ENSG00000005381,14,4,14,14,9,1,6,58,25,7,11,35,16,1,22,1,36
ENSG00000005421,0,1,2,1,3,1,4,22,4,0,1,2,7,0,2,1,10
ENSG00000005436,566,429,1200,422,1477,351,871,1433,941,829,712,750,643,358,689,494,926
ENSG00000005448,338,165,483,156,202,114,803,677,1382,294,356,706,733,151,424,77,516
ENSG00000005469,4330,658,11504,661,1105,465,6603,9205,7140,3625,1654,2097,4334,1459,2072,442,4903
ENSG00000005471,102,93,113,248,251,143,69,204,137,48,174,126,187,32,162,79,101
ENSG00000005483,4372,3497,5081,3034,7703,3118,3619,7646,2268,3670,4821,4040,3806,2009,4402,3262,4476
ENSG00000005486,3238,1046,6305,1013,2358,1154,4223,4593,7253,2813,2360,2717,4330,2633,2228,939,3594
ENSG00000005513,46,41,74,41,133,27,43,136,42,166,102,48,75,36,94,53,31
ENSG00000005700,3514,1867,3763,2264,5166,1768,2485,4418,2365,3714,2640,2231,2628,1651,1973,2076,2285
ENSG00000005801,1002,257,1460,175,350,189,1501,1974,1432,627,302,588,894,365,586,137,660
ENSG00000005810,2654,3683,6828,3447,7516,2932,3265,7525,3059,5278,4333,3605,5624,3430,3479,3124,3020
ENSG00000005812,1696,2659,2736,2164,3228,1664,2636,3864,2039,2627,2967,2454,4448,1271,2384,1517,1977
ENSG00000005844,603,70,1034,102,58,26,572,1436,918,1129,841,1651,1830,493,1542,163,685
ENSG00000005882,573,2142,1418,1595,2499,1663,1393,1947,1163,617,2825,995,2749,473,2285,1098,928
ENSG00000005884,30303,1665,13687,1763,3562,3091,13994,20733,23291,7081,6278,13431,17622,1988,8054,2002,14681
ENSG00000005889,764,1793,1927,1702,5602,1409,1534,2444,877,1422,1930,1176,1699,759,2402,1621,1081
ENSG00000005893,3981,3574,9083,4183,10086,2079,4098,7508,5126,8353,5013,7663,10957,6117,3542,2825,4906
ENSG00000005961,10,18,22,8,37,5,25,48,29,20,15,25,18,11,22,2,51
ENSG00000005981,5,1,2,1,8,2,8,15,14,9,7,32,27,17,2,2,36
ENSG00000006007,3689,4541,6461,5854,6717,3823,4650,5997,8789,2898,3470,4214,6083,2220,4674,2974,2608
ENSG00000006015,602,299,1385,421,1089,385,1036,907,1592,833,419,623,2314,539,717,380,886
ENSG00000006016,175,525,236,789,210,601,23,309,47,210,462,176,234,54,357,348,74
ENSG00000006025,556,230,2422,313,181,283,1509,1631,499,250,461,556,934,225,691,142,661
ENSG00000006042,1649,737,2137,990,1860,816,3023,4608,4950,1543,2037,2871,6974,469,2217,605,3345
ENSG00000006047,2,80,35,514,249,137,16,45,5,28,214,25,6,34,50,86,4
ENSG00000006059,7,0,13,0,1,0,24,10,6,60,1,7,8,123,1,0,8
ENSG00000006062,1208,575,2096,817,6734,593,1061,1647,1069,1302,1160,857,1226,633,1373,891,1784
ENSG00000006071,16,35,18,22,14,16,229,34,12,34,91,100,13,16,76,24,22
ENSG00000006116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006118,157,71,1721,277,332,91,502,399,1128,1938,170,1926,1117,2740,346,103,226
ENSG00000006125,9278,5510,8260,7482,9707,4556,10140,15574,12187,4394,9107,10735,18686,1683,7022,4476,8191
ENSG00000006128,518,10,19,1,87,7,533,218,645,11,9,22,10,14,54,21,241
ENSG00000006194,1739,812,2114,561,1820,670,2212,1963,2401,1747,1360,1063,1631,530,1340,750,1555
ENSG00000006210,2090,4614,13178,3177,7812,3956,4077,4113,3380,2554,9086,4119,1243,1581,10285,5844,6023
ENSG00000006282,3206,1553,4421,2040,3576,1700,6074,7209,5030,989,2448,2317,3703,819,2367,1580,2815
ENSG00000006283,36,19,24,21,43,7,86,82,36,19,17,55,30,6,15,12,28
ENSG00000006327,11014,125,2303,250,9695,634,1028,502,5371,5665,410,1857,716,408,1099,3185,6616
ENSG00000006377,10,0,27,1,2,0,1,161,79,3,11,56,110,7,11,1,35
ENSG00000006432,391,4,811,7,20,17,560,658,453,2242,40,196,513,631,104,4,400
ENSG00000006451,1299,1395,2714,1607,2352,1085,1643,2393,2145,5369,1724,2382,4743,2931,1765,1298,1483
ENSG00000006453,12051,93,4160,41,158,85,3165,3683,5503,4459,435,1047,2058,1645,996,58,3327
ENSG00000006459,1284,1379,2105,584,2292,727,1076,2098,1256,3762,1095,1330,1400,1049,1336,1066,1638
ENSG00000006468,358,354,225,626,517,267,78,1156,329,152,381,1203,409,43,228,176,807
ENSG00000006530,687,639,1716,743,1505,567,1087,1869,1053,1160,1006,1027,1226,917,906,595,983
ENSG00000006534,843,624,2897,576,766,474,2554,1916,983,1724,776,1048,3311,2611,775,485,519
ENSG00000006555,556,1,5459,5,4,1,952,981,658,15540,88,330,2850,9459,408,4,348
ENSG00000006576,1438,677,1857,1703,1639,668,976,2549,1967,754,895,1409,1506,446,1102,630,2071
ENSG00000006606,1,23,20,14,34,28,8,11,1,41,32,20,3,37,32,14,8
ENSG00000006607,2789,784,3403,961,2495,571,2409,3548,1872,1806,1261,1277,1610,951,1246,906,2491
ENSG00000006611,2,58,26,72,27,56,310,62,8,10,222,30,29,6,16,184,4
ENSG00000006625,603,538,2308,636,1683,454,1663,1722,2166,3522,640,2506,2214,3730,817,459,670
ENSG00000006634,240,81,323,264,224,78,281,439,348,489,159,446,539,257,157,100,221
ENSG00000006638,30,158,128,176,324,164,50,177,61,100,264,182,104,65,246,90,74
ENSG00000006652,2246,1545,2004,532,2886,1256,1143,1924,1397,2299,1248,1153,1383,944,1828,2205,2136
ENSG00000006659,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000006695,554,677,1010,832,1001,569,756,1263,716,894,665,623,657,648,699,667,443
ENSG00000006704,1100,1460,2542,915,2043,1240,1519,2109,2189,3556,1095,992,2426,1926,1670,796,1285
ENSG00000006712,4010,2679,5829,2765,4822,2327,3965,4445,9590,5988,3559,3409,5634,2325,4666,2318,4391
ENSG00000006715,1693,2324,3624,2179,3945,1925,2660,5004,2080,2200,2496,2528,6050,1149,2566,1712,2554
ENSG00000006740,325,244,312,212,621,169,314,681,499,215,394,432,196,51,392,198,551
ENSG00000006744,2029,2549,4701,2253,3853,2421,3442,4790,3789,2904,2629,3006,2893,2601,3626,2013,2269
ENSG00000006747,1181,24,1660,45,167,14,1935,2641,2439,1269,193,981,1549,805,346,41,1162
ENSG00000006756,3338,862,5422,789,1837,702,8830,7142,7475,2261,1772,1796,3859,1045,1891,668,3890
ENSG00000006757,361,350,1425,265,619,248,1287,921,842,1208,479,464,935,598,502,259,431
ENSG00000006788,38,6,2,1,9,2,1,20,1,31,4,28,12,2,5,2,12
ENSG00000006831,2317,2206,3889,2711,5230,1577,2609,3700,2664,8435,2546,2806,3738,3907,2520,1761,2128
ENSG00000006837,25,23,39,20,54,25,46,68,52,25,21,28,33,13,41,22,27
ENSG00000007001,3,3,2,0,2,0,2,3,7,2,1,2,8,0,0,0,6
ENSG00000007038,8,0,68,2,2,0,10,6,183,86,13,21,401,144,19,2,37
ENSG00000007047,2412,2112,2920,1774,2840,1616,1857,2521,2887,2538,1943,1763,2915,1259,2334,1434,1773
ENSG00000007062,630,7,200,46,664,30,696,1584,615,108,89,713,646,31,547,106,1235
ENSG00000007080,1277,1941,3324,1529,2955,1503,2350,2361,4100,2894,1554,1810,4575,1918,1803,1146,1477
ENSG00000007129,11,3,56,6,4,7,11,53,25,55,48,64,29,34,71,7,21
ENSG00000007168,6377,6345,9459,6812,12781,5789,5394,10267,7982,10626,6596,6060,5678,3780,6573,5585,6102
ENSG00000007171,9,23,136,37,35,10,39,38,133,7,81,17,2288,27,109,8,25
ENSG00000007174,20,16,14,24,40,19,37,49,13,26,24,40,17,22,40,14,26
ENSG00000007202,4728,4893,10592,5893,9321,4853,7974,14959,6671,5555,5236,4391,9868,2831,5240,4525,5678
ENSG00000007216,2,0,26,0,0,2,13,18,14,1,2,3,0,0,1,0,2
ENSG00000007237,1246,4493,1672,6744,10004,3959,500,5092,707,2232,4852,3611,2181,534,2807,4518,1681
ENSG00000007255,870,280,1812,223,562,248,2126,1323,2589,957,636,909,2023,402,666,250,1006
ENSG00000007264,112,9,204,17,61,14,111,181,231,216,86,258,242,118,81,31,129
ENSG00000007306,2,0,32800,0,2,0,56,17,0,11049,4,7,487,1733,14151,0,45
ENSG00000007312,61,58,181,143,151,42,180,202,176,972,1003,479,1370,348,1272,200,213
ENSG00000007314,7,33,9,18,54,20,23,74,18,49,31,67,15,6,102,14,30
ENSG00000007341,307,296,600,278,503,245,432,719,649,405,330,285,542,382,426,261,348
ENSG00000007350,0,1,3,1,9,0,2,2,39,8,8,9,10,0,2,3,1
ENSG00000007372,79,113,112,87,242,104,111,185,143,91,159,136,273,51,93,60,78
ENSG00000007376,435,336,1568,497,472,493,1021,838,860,830,458,659,1243,687,532,306,513
ENSG00000007384,2537,606,2683,697,1021,647,1020,2634,1071,1932,964,1400,1609,1256,1229,595,2008
ENSG00000007392,2456,686,2642,584,1027,631,2037,2510,1280,1711,816,788,1821,934,1714,629,1532
ENSG00000007402,99,72,97,66,189,47,123,345,88,70,126,154,123,33,96,51,155
ENSG00000007516,2114,13,576,20,31,9,830,1250,751,409,119,145,1452,129,256,22,1431
ENSG00000007520,1230,1350,2762,1383,2087,1336,2161,2436,3789,2103,1596,1364,2893,1256,1667,1081,1558
ENSG00000007541,1379,882,2935,979,1832,847,2384,2631,2241,1267,1258,1416,2302,867,1303,831,1477
ENSG00000007545,540,700,1126,461,858,380,1173,1772,585,660,628,468,1156,355,860,457,971
ENSG00000007866,4844,5508,6464,6398,15696,5650,4124,7097,4726,4225,5368,3119,3954,3079,6250,5110,4438
ENSG00000007908,1691,1212,764,108,14677,39,227,270,245,3415,5345,7180,1075,80,212,4325,13069
ENSG00000007923,1091,892,2432,926,1425,759,1479,2295,1042,1526,996,1519,1313,1020,1054,742,1084
ENSG00000007933,9,32,24,18,88,24,15,11,23,58,75,36,458,39,65,15,9
ENSG00000007944,1795,2965,1780,1314,2500,1742,2229,3912,1565,1056,2049,1560,2623,1045,2547,2759,1579
ENSG00000007952,19,20,202,5,21,9,47,111,83,80,35,55,89,53,437,8,56
ENSG00000007968,6,3,175,314,7,2,7,73,116,343,89,247,370,363,68,8,34
ENSG00000008018,4162,3546,9465,3608,7399,3336,5872,5922,10605,7057,5211,5440,5948,4767,4745,2859,4203
ENSG00000008056,46,21,36,35,79,27,27,99,154,65,61,59,76,8,37,17,61
ENSG00000008083,1820,557,2149,495,1142,439,1047,1980,782,3171,759,2774,2257,1223,994,607,851
ENSG00000008086,1516,526,1209,494,966,470,1243,2884,893,1277,779,1146,1098,528,602,397,1104
ENSG00000008118,240,3,19,8,6,6,12,41,86,44,11,6,9,0,29,0,113
ENSG00000008128,519,195,596,200,309,164,330,503,330,294,179,220,234,156,372,177,339
ENSG00000008130,2552,1416,5497,1545,2191,1126,3070,4514,3169,2270,1931,2215,4179,1213,2200,1081,2050
ENSG00000008196,10,2,1,1,9,4,38,1,15,5,12,17,30,1,6,3,11
ENSG00000008197,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000008226,128,12,149,1,19,9,204,321,47,34,21,20,69,16,47,9,94
ENSG00000008256,930,1288,1243,2173,2061,1262,728,2015,655,945,1852,1601,1933,517,1434,917,1254
ENSG00000008277,360,165,244,344,298,75,556,1803,569,161,368,678,482,72,230,110,536
ENSG00000008282,9105,4779,16857,5020,7922,3361,10833,16440,16544,10134,6610,9231,17544,9783,6341,3540,9117
ENSG00000008283,1940,617,5698,688,847,614,4487,4437,4253,3415,1277,2924,7448,2653,1359,479,2072
ENSG00000008294,8778,5934,5229,6776,13116,4578,4114,8323,3809,5386,5868,4431,5969,1917,5363,5128,5170
ENSG00000008300,74,42,91,83,89,57,93,78,352,42,82,276,1033,141,109,43,267
ENSG00000008311,730,278,986,165,705,136,448,1271,325,612,480,475,694,428,426,256,557
ENSG00000008323,6255,18,4668,9,68,11,4401,2956,4831,1987,243,920,1437,1721,620,20,3465
ENSG00000008324,775,230,1030,157,465,150,596,696,1483,794,343,721,1238,367,403,168,507
ENSG00000008382,715,560,1420,582,887,602,1174,1394,2333,996,676,801,1801,813,764,421,903
ENSG00000008394,10026,4746,13270,970,9894,1386,14566,14595,11268,7857,2864,5976,11652,10256,4214,1762,4940
ENSG00000008405,2708,593,934,1003,2978,583,524,772,378,706,942,1080,1149,302,704,963,1001
ENSG00000008438,8,9,3,0,1,0,1,3,1,16,0,0,12,1,2,5,0
ENSG00000008441,2566,10147,6098,12314,18002,9609,2647,10403,1974,5003,10462,7694,3464,2833,7995,7193,4021
ENSG00000008513,7209,2819,4068,2965,12736,2079,5149,9177,2891,5068,3100,5001,9377,2109,3259,2920,3712
ENSG00000008516,95,83,206,10,73,10,57,151,80,154,47,112,304,51,90,78,64
ENSG00000008517,623,124,1426,435,1543,272,322,1054,1269,870,998,1987,1526,461,1029,247,886
ENSG00000008710,3264,7917,5015,8908,23523,7474,3654,10179,2149,2029,7054,3369,3507,1810,6148,5400,4774
ENSG00000008735,26,16,75,20,55,27,44,49,105,49,35,144,586,76,71,18,68
ENSG00000008838,2275,1460,4993,1557,4291,1251,3304,4633,3620,3441,2553,3202,5928,1894,2197,1403,2476
ENSG00000008853,1901,1358,1849,1127,1031,1199,4448,3822,4305,731,1665,1772,2270,255,1945,1741,1995
ENSG00000008869,1292,825,2890,720,1469,677,1785,3340,1230,2008,1273,1181,2164,1011,1267,691,1690
ENSG00000008952,5054,8023,7866,5693,16427,6010,6236,10294,7524,5144,7927,6504,13778,2915,7910,5721,6432
ENSG00000008988,35467,17515,60244,18908,49708,18135,61630,45138,109753,43127,37635,29915,49512,32912,40217,17282,42711
ENSG00000009307,26405,51968,45891,37829,94124,51061,34751,56372,33889,30401,41191,28171,43204,19131,41540,40260,30729
ENSG00000009335,3580,3577,6185,4890,8419,1941,3189,7009,2948,4531,3847,5199,4111,2910,3557,3704,3534
ENSG00000009413,1642,2605,1308,2137,8974,1818,843,4484,924,1240,2092,2613,1227,472,1797,2369,2337
ENSG00000009694,14,131,19,79,66,48,6,33,68,15,64,37,380,8,186,47,12
ENSG00000009709,0,0,0,0,1,0,6,9,0,0,0,59,4,86,0,0,0
ENSG00000009724,35,23,51,27,33,25,82,142,6,18,41,26,40,19,23,12,31
ENSG00000009765,17,0,49,0,0,0,79,121,15,6,1,26,80,18,13,0,9
ENSG00000009780,376,573,908,660,823,618,608,939,680,581,847,601,944,431,809,523,617
ENSG00000009790,173,37,357,53,26,13,117,720,242,820,185,358,834,150,614,69,195
ENSG00000009830,426,663,708,599,903,527,726,1350,560,565,544,607,635,406,582,472,650
ENSG00000009844,1645,1012,3373,1243,1840,850,2123,3286,2629,2980,1377,2027,2898,1697,1418,837,1586
ENSG00000009950,205,75,12,9,61,22,15,84,81,14,49,47,10,3,70,34,17
ENSG00000009954,3604,4743,5847,5310,7073,4436,4756,7906,3828,3927,5303,5319,5184,2254,5372,3975,3970
ENSG00000010017,1869,2189,3524,2091,4848,1521,1881,3795,2653,9895,1790,2526,4091,3491,2213,1685,2365
ENSG00000010030,161,7,2130,20,322,14,631,522,726,123,122,237,436,164,169,31,289
ENSG00000010072,435,260,576,335,511,267,388,604,378,673,290,502,631,404,349,237,340
ENSG00000010165,666,891,2563,948,1072,793,1756,2491,1541,1277,1159,1566,2501,551,1304,547,946
ENSG00000010219,276,591,924,625,847,588,829,1052,1079,604,672,647,730,526,861,452,568
ENSG00000010244,8787,2807,8936,3242,5871,2364,6089,9344,7412,9924,3607,5406,8257,5121,4149,2216,5867
ENSG00000010256,5502,4651,12404,5979,10035,5194,8321,9098,14071,12205,6463,7091,9545,9608,6603,4182,5803
ENSG00000010270,1319,875,1545,1366,2085,709,1220,1943,1547,741,1207,1422,2364,312,1164,851,1330
ENSG00000010278,43664,9001,38947,7651,20942,6916,28083,36546,32433,36987,12756,15630,34111,26099,13476,6476,32776
ENSG00000010282,15,11,9,1,10,2,32,6,1,2,22,3,0,1,2,4,2
ENSG00000010292,801,1402,3629,5004,1754,1072,2225,4232,2906,2843,1936,4415,4610,2045,2072,1035,2275
ENSG00000010295,299,795,729,737,1126,698,251,1244,246,276,1290,495,556,238,1426,720,515
ENSG00000010310,455,0,288,2,1,1,136,231,97,66,15,31,161,19,94,5,246
ENSG00000010318,124,149,259,303,274,110,262,293,182,144,209,155,162,118,225,85,200
ENSG00000010319,612,712,1212,740,1831,582,368,926,535,1665,2376,2480,1249,364,1770,560,821
ENSG00000010322,7081,3644,10333,2864,4898,2689,7150,12794,7065,4228,5141,3886,6968,2385,5088,2178,8246
ENSG00000010327,3002,4355,4645,3813,3990,1611,1044,6498,2610,2722,2759,3405,3091,1260,4539,2559,2860
ENSG00000010361,330,394,886,469,812,350,823,802,1117,444,516,455,1225,176,816,304,463
ENSG00000010379,2,5,7,1,9,0,9,3,1,1,3,3,3,0,3,0,2
ENSG00000010404,13424,4757,6161,2866,7669,4225,5989,9374,5461,4661,5743,4458,5539,2246,5247,3397,9426
ENSG00000010438,450,0,159,1,3,1,136,517,512,3644,20,57,292,1274,82,1,108
ENSG00000010539,280,262,673,225,359,170,536,455,338,366,325,383,624,256,342,122,295
ENSG00000010610,4046,916,2308,921,866,367,2454,5188,6365,1810,1524,3713,3288,518,2039,757,4171
ENSG00000010626,334,241,538,211,386,211,504,490,430,214,309,333,352,97,419,175,474
ENSG00000010671,147,223,301,143,310,88,82,300,82,465,427,374,533,122,638,197,112
ENSG00000010704,486,382,859,413,536,264,755,1542,740,458,605,684,1137,487,727,251,842
