Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Comment[cDNA read]	Comment[cDNA read offset]	Comment[cDNA read size]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index1 file]	Comment[FASTQ_URI]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[age]	Unit[time unit]
Old1	ERS3381960	SAMEA5577726	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O1_Sample_SaS_CB_002_S4_L006	read2	0	98	O1_Sample_SaS_CB_002_S4_L006_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L006_R1_001.fastq.gz	O1_Sample_SaS_CB_002_S4_L006_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L006_R2_001.fastq.gz	O1_Sample_SaS_CB_002_S4_L006_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L006_I1_001.fastq.gz	sequencing assay	ERX3320015	O1SampleSaSCB002S4L006.bam	O1SampleSaSCB002S4L006.bam	ERR3293668	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293668/O1SampleSaSCB002S4L006.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O1.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.1.zip	18	month
Old1	ERS3381960	SAMEA5577726	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O1_Sample_SaS_CB_002_S4_L007	read2	0	98	O1_Sample_SaS_CB_002_S4_L007_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L007_R1_001.fastq.gz	O1_Sample_SaS_CB_002_S4_L007_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L007_R2_001.fastq.gz	O1_Sample_SaS_CB_002_S4_L007_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L007_I1_001.fastq.gz	sequencing assay	ERX3320015	O1SampleSaSCB002S4L007.bam	O1SampleSaSCB002S4L007.bam	ERR3293669	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293669/O1SampleSaSCB002S4L007.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O1.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.1.zip	18	month
Old1	ERS3381960	SAMEA5577726	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O1_Sample_SaS_CB_002_S4_L008	read2	0	98	O1_Sample_SaS_CB_002_S4_L008_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L008_R1_001.fastq.gz	O1_Sample_SaS_CB_002_S4_L008_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L008_R2_001.fastq.gz	O1_Sample_SaS_CB_002_S4_L008_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O1_Sample_SaS_CB_002_S4_L008_I1_001.fastq.gz	sequencing assay	ERX3320015	O1SampleSaSCB002S4L008.bam	O1SampleSaSCB002S4L008.bam	ERR3293670	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293670/O1SampleSaSCB002S4L008.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O1.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.1.zip	18	month
Old2	ERS3381961	SAMEA5577727	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2_SaS_CB_005_S10_L007	read2	0	98	O2_SaS_CB_005_S10_L007_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S10_L007_R1_001.fastq.gz	O2_SaS_CB_005_S10_L007_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S10_L007_R2_001.fastq.gz	O2_SaS_CB_005_S10_L007_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S10_L007_I1_001.fastq.gz	sequencing assay	ERX3320016	O2SaSCB005S10L007.bam	O2SaSCB005S10L007.bam	ERR3293671	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293671/O2SaSCB005S10L007.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.2.zip	18	month
Old2	ERS3381961	SAMEA5577727	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2_SaS_CB_005_S11_L007	read2	0	98	O2_SaS_CB_005_S11_L007_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S11_L007_R1_001.fastq.gz	O2_SaS_CB_005_S11_L007_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S11_L007_R2_001.fastq.gz	O2_SaS_CB_005_S11_L007_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S11_L007_I1_001.fastq.gz	sequencing assay	ERX3320016	O2SaSCB005S11L007.bam	O2SaSCB005S11L007.bam	ERR3293672	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293672/O2SaSCB005S11L007.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.2.zip	18	month
Old2	ERS3381961	SAMEA5577727	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2_SaS_CB_005_S12_L007	read2	0	98	O2_SaS_CB_005_S12_L007_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S12_L007_R1_001.fastq.gz	O2_SaS_CB_005_S12_L007_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S12_L007_R2_001.fastq.gz	O2_SaS_CB_005_S12_L007_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S12_L007_I1_001.fastq.gz	sequencing assay	ERX3320016	O2SaSCB005S12L007.bam	O2SaSCB005S12L007.bam	ERR3293673	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293673/O2SaSCB005S12L007.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.2.zip	18	month
Old2	ERS3381961	SAMEA5577727	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2_SaS_CB_005_S9_L007	read2	0	98	O2_SaS_CB_005_S9_L007_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S9_L007_R1_001.fastq.gz	O2_SaS_CB_005_S9_L007_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S9_L007_R2_001.fastq.gz	O2_SaS_CB_005_S9_L007_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O2_SaS_CB_005_S9_L007_I1_001.fastq.gz	sequencing assay	ERX3320016	O2SaSCB005S9L007.bam	O2SaSCB005S9L007.bam	ERR3293674	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293674/O2SaSCB005S9L007.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O2.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.2.zip	18	month
Old3	ERS3381962	SAMEA5577728	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old3	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O3_SaS_CB_011_S1_L001	read2	0	98	O3_SaS_CB_011_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L001_R1_001.fastq.gz	O3_SaS_CB_011_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L001_R2_001.fastq.gz	O3_SaS_CB_011_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L001_I1_001.fastq.gz	sequencing assay	ERX3320017	O3SaSCB011S1L001.bam	O3SaSCB011S1L001.bam	ERR3293675	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293675/O3SaSCB011S1L001.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O3.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.2.zip	18	month
Old3	ERS3381962	SAMEA5577728	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old3	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O3_SaS_CB_011_S1_L002	read2	0	98	O3_SaS_CB_011_S1_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L002_R1_001.fastq.gz	O3_SaS_CB_011_S1_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L002_R2_001.fastq.gz	O3_SaS_CB_011_S1_L002_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L002_I1_001.fastq.gz	sequencing assay	ERX3320017	O3SaSCB011S1L002.bam	O3SaSCB011S1L002.bam	ERR3293676	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293676/O3SaSCB011S1L002.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O3.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.2.zip	18	month
Old3	ERS3381962	SAMEA5577728	Mus musculus	C57BL/6J	18	month	adult	male	heart	organism part	P-MTAB-85257	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85258	Institute for Cardiovascular Regeneration, Goethe University Frankfurt, Germany	P-MTAB-85259	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	Old3	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	0	5'-3'-3'-5'	read 2	0	98	0	read 1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index 1	8	10x	none	16	read 1	10	P-MTAB-85260	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O3_SaS_CB_011_S1_L003	read2	0	98	O3_SaS_CB_011_S1_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L003_R1_001.fastq.gz	O3_SaS_CB_011_S1_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L003_R2_001.fastq.gz	O3_SaS_CB_011_S1_L003_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/O3_SaS_CB_011_S1_L003_I1_001.fastq.gz	sequencing assay	ERX3320017	O3SaSCB011S1L003.bam	O3SaSCB011S1L003.bam	ERR3293677	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR329/ERR3293677/O3SaSCB011S1L003.bam	P-MTAB-85261	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	P-MTAB-85262	Center for Molecular Medicine (BIMSB/BIH), Berlin, Germany	O3.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-7869/E-MTAB-7869.processed.2.zip	18	month
