group	M1	M2	M3	M4	M5	M6	M7	M8
group1	23.64757604	42.84835814	52.46316982	27.68647395	78.01639713	120.9891138	146.1356595	143.2033994
group2	28.07642886	17.83804994	146.4488876	112.8158221	59.73776543	168.6885281	192.206598	134.6241987
group3	9.225027437	0.798982845	0.037266657	4.301208594	2.673423747	3.278631617	833.140774	5.45075437
group4	98.2930219	82.24019984	101.3550848	107.4199054	67.04887501	148.3449517	134.7126862	189.208321
group5	0.63354611	0.113806309	1.079779885	1.31683296	2.310102076	1.472609433	1.838322005	1.29927298
group6	20.19744134	0.474041214	7.83618218	8.869493387	8.703485906	2.260300923	6.082284241	5.153030775
group7	19.76882484	0	7.538932078	6.446954923	13.1524983	7.528587297	26.92516617	12.19313306
group8	58.88891997	56.65769895	69.55828562	63.11871499	117.669581	100.0890846	80.37897827	144.6291501
group9	38.42441218	36.88665668	57.38260382	39.06633537	66.08746686	73.86093985	44.69579423	83.90306866
group10	1.404683625	0.028444536	0.611664342	1.242920894	0.499411352	0.72363782	1.092283736	0.928117455
group11	14.56455104	13.94458412	21.72317686	13.99263248	37.88914774	36.40221852	22.86101209	48.3416031
group12	245.4695517	119.1215713	175.1121528	742.7469079	275.3937864	648.0250396	105.9523991	337.9733719
group13	22.66249539	21.73235227	20.77942276	23.91280979	35.92702529	45.88707134	26.80428848	43.7946726
group14	24.9054509	32.50461652	42.78275793	24.56968533	83.69807731	95.85356453	292.0044426	126.7088264
group15	8.483766363	8.453712586	13.53043141	10.14415616	11.57937404	19.81717714	123.9080707	28.58615243
group16	13.0245907	5.041065689	15.45187755	36.08756841	20.82908252	32.99513571	12.22147488	32.03681663
group17	237.3984367	242.5121868	329.2282604	319.2965725	213.1780858	307.6841096	254.9955595	304.0026509
group18	48.10731812	49.74723868	57.498329	83.46019282	56.69290487	60.81941096	56.3464881	77.44432742
group19	1702.076017	617.6490484	1741.977851	1273.730117	3471.347317	4530.877002	1745.41931	5529.326047
group20	5649.836134	4260.172553	6633.848625	6633.96981	5522.60957	6744.188652	5470.711821	7000.346205
group21	55.99896211	38.71707996	68.48217246	47.52110237	115.8276324	157.8733188	636.077091	189.7642541
group22	9.977995884	5.542550362	11.86043564	4.249415915	17.45672565	15.99208411	6.94474211	17.12309363
group23	37.68111721	0	41.31444207	57.22843487	36.91659036	62.0358504	0	51.27082501
group24	543.4709811	439.9152203	601.4500954	851.5818345	676.9092113	360.6486511	188.341663	389.8889473
