symbol	correlation	pvalue
aDC	0.576295841683536	0
B.cells	0.326131862844096	2.4039385479076e-17
CD8.T.cells	0.308769043347069	1.44605002323237e-15
Cytotoxic.cells	0.539970827738763	0
DC	0.617507759763082	0
Eosinophils	0.152540464550176	0.000103641207142886
iDC	0.583696736080893	0
Macrophages	0.570098903984712	0
Mast.cells	0.47857945959206	0
Neutrophils	0.426111712283238	0
NK.CD56bright.cells	0.0644490416577465	0.102237152001014
NK.CD56dim.cells	0.256527018262878	4.58765202101486e-11
NK.cells	0.411657357796459	0
pDC	0.366282353553552	7.03037239104823e-22
T.cells	0.567066839882116	0
T.helper.cells	0.0707216843622437	0.0729032609004546
Tcm	-0.129305452624953	0.00101461026296389
Tem	0.396530194728101	0
TFH	0.40939474409574	0
Tgd	0.172945502055604	1.04870229947232e-05
Th1.cells	0.468781030347374	0
Th17.cells	-0.0575995133313819	0.144234772592511
Th2.cells	-0.155349951443214	7.68339693597508e-05
TReg	0.943894534456907	4.14565733159302e-311
