,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_001145953,5338.903,4971.758,4952.428,4626.447,5667.872,5606.107,4886.851,4958.647,2044.645,1898.305,1675.792,1584.684,4679.378,3634.891,3640.29,3217.08,4702.559,3953.057,4055.875,3528.936
NM_007798,5319.285,6057.581,4892.658,5439.633,4785.919,5140.508,4106.086,4386.208,4101.907,3232.516,3627.479,3120.712,3776.789,3847.793,3268.948,3399.799,4053.797,4713.79,3700.796,4061.959
NM_080559,2558.355,2876.904,2215.658,2504.599,3523.019,4289.815,3027.875,3675.446,1921.38,1717.728,1682.66,1597.535,2352.628,2196.292,1895.723,1869.843,3233.478,3314.069,2444.883,2665.038
NM_133796,2194.036,2358.792,1975.009,2130.251,2560.912,2566.034,2328.365,2318.152,1950.213,1887.956,1757.355,1758.199,2104.789,2153.147,1811.5,1860.189,2870.436,2872.049,2454.652,2408.565
NM_008495,3014.927,2399.49,2735.308,2156.424,2387.284,2018.877,1974.909,1754.945,1911.985,2238.379,1650.403,1735.504,1436.471,844.862,1055.035,721.043,2378.785,1885.017,1933.07,1705.403
NM_007687,1952.065,1728.705,1736.014,1560.314,2000.259,1728.978,1873.686,1595.714,1447.866,1473.721,1297.935,1292.413,1427.188,1169.036,1224.188,1078.861,2166.691,1943.391,1852.332,1647.622
NM_011865,1766.186,1705.919,1750.94,1586.34,1913.176,1740.134,2068.306,1692.383,1238.832,1376.384,1246.985,1419.392,1675.575,1568.509,1609.515,1439.821,2381.723,1864.946,2036.156,1671.883
NM_011662,1671.949,1460.609,1557.202,1302.806,1464.637,1537.562,1205.011,1260.38,967.333,1054.358,809.972,846.175,1281.678,1113.712,1018.578,913.978,1495.96,1429.353,1216.875,1255.229
NM_178598,1055.782,944.298,973.751,902.422,1046.566,1074.304,1036.813,1081.055,676.327,732.095,625.397,648.963,948.399,906.536,883.171,856.295,1299.848,1442.604,1218.724,1329.934
NM_007763,2597.582,1678.366,2305.979,1362.846,1215.389,820.671,1042.038,714.88,571.363,789.304,448.078,575.01,791.324,283.474,560.381,254.188,3516.432,2821.014,2885.969,2405.269
NM_016774,820.574,900.917,753.272,818.74,944.173,954.811,843.234,877.967,923.03,960.185,846.542,841.971,702.335,773.54,614.676,708.98,1218.779,1119.359,1068.385,1042.56
NM_009415,867.177,864.662,658.313,652.793,749.901,976.642,614.132,942.995,600.761,690.979,498.503,514.972,614.211,529.047,471.927,465.484,728.835,1035.17,634.217,834.795
NM_001166590,726.157,610.019,713.712,577.374,922.927,773.179,840.659,741.868,1046.771,1220.09,926.575,1071.139,709.966,718.428,554.423,658.035,1285.847,1111.839,1165.392,965.837
NM_001136069,784.286,917.044,650.01,679.896,645.908,922.826,567.448,872.988,579.476,716.11,520.353,579.188,512.749,582.608,446,516.734,682.01,1211.609,627.856,1047.541
NM_011671,1190.046,1347.389,1037.683,1167.786,822.264,702.307,698.884,568.856,747.025,669.391,642.248,626.174,406.756,181.758,303.03,171.342,1011.024,1052.767,795.522,826.312
NM_012052,696.854,614.552,579.17,523.331,710.986,696.266,612.105,601.973,599.392,743.127,541.99,610.208,718.325,716.42,595.108,617.561,799.383,674.992,688.716,624.631
NM_011358,599.663,505.611,503.432,397.33,701.578,585.236,605.334,481.875,511.852,613.184,462.348,562.66,459.728,385.601,394.671,345.856,749.321,581.499,653.089,466.021
NM_026988,521.223,514.179,348.28,428.572,519.025,608.176,497.108,522.601,468.425,444.965,363.276,421.92,524.286,301.273,409.936,246.553,812.878,887.06,564.006,703.154
NM_010368,698.994,780.62,623.264,709.093,524.806,544.84,445.082,465.813,507.201,418.028,460.308,397.561,383.919,336.1,319.835,295.886,600.899,618.451,509.83,534.552
NM_029872,527.657,478.11,385.746,413.577,538.818,479.085,527.882,441.004,375.974,436.914,359.263,503.668,396.413,371.6,336.496,365.849,628.14,631.378,595.137,481.591
NM_010436,400.586,283.531,318.887,237.355,582.552,408.945,508.35,405.123,155.289,218.353,137.387,194.104,257.835,153.194,177.698,103.079,665.733,558.462,561.957,477.993
NM_025596,463.216,380.757,386.621,311.819,502.663,466.478,434.003,397.349,317.121,329.591,251.064,274.118,432.66,390.225,362.1,331.577,546.968,595.939,455.237,499.446
NM_011873,395.069,454.115,384.279,392.596,465.891,501.278,419.459,437.168,380.812,398.555,335.21,350.273,382.279,403.892,337.641,376.301,437.262,554.739,370.465,470.271
NM_134116,486.327,523.137,398.356,436.479,459.016,499.148,387.794,430.498,381.707,348.259,300.304,295.232,409.465,287.676,298.217,235.857,389.942,427.014,316.351,343.09
NM_010772,391.264,393.257,279.153,335.294,480.381,455.065,369.948,384.939,281.316,324.904,212.073,278.888,329.528,330.844,230.75,257.461,515.5,522.081,378.967,406.36
NM_013641,277.016,380.011,220.741,322.669,435.564,489.088,363.322,421.014,246.351,214.065,231.492,213.589,328.127,320.213,286.994,286.192,421.378,469.984,346.283,399.433
NM_001291020,361.273,428.802,319.866,369.917,404.028,461.838,394.804,413.821,460.152,396.707,411.415,396.737,406.7,326.638,387.234,288.378,427.345,502.686,447.426,471.93
NM_001077510,462.585,442.496,399.962,388.313,456.827,388.528,397.393,328.304,355.477,302.702,319.986,307.17,551.844,356.613,424.9,321.615,541.042,458.447,445.266,373.789
NM_010686,345.711,422.81,299.21,369.76,394.314,447.88,339.429,371.639,309.178,249.183,278.261,240.463,285.05,314.501,246.699,272.431,456.074,525.622,367.707,442.639
