src,tar,source_type
source11,target425,src_dn
source14,target459,src_dn
source 5,target369,src_up
source 9,target480,src_up
source12,target143,src_dn
source 1,target353,src_up
source18,target 61,src_dn
source 3,target436,src_up
source 5,target496,src_up
source13,target135,src_dn
source15,target261,src_dn
source 3,target402,src_up
source18,target 72,src_dn
source17,target250,src_dn
source16,target 39,src_dn
source 6,target418,src_up
source15,target 94,src_dn
source 9,target 46,src_up
source 4,target389,src_up
source11,target 79,src_dn
source 8,target332,src_up
source10,target437,src_up
source 8,target268,src_up
source 2,target439,src_up
source20,target345,src_dn
source14,target369,src_dn
source16,target483,src_dn
source20,target450,src_dn
source20,target298,src_dn
source14,target482,src_dn
source19,target230,src_dn
source10,target349,src_up
source 5,target 31,src_up
source 3,target283,src_up
source20,target460,src_dn
source 6,target 87,src_up
source19,target452,src_dn
source 9,target415,src_up
source 4,target120,src_up
source15,target187,src_dn
source 2,target271,src_up
source18,target150,src_dn
source16,target304,src_dn
source12,target448,src_dn
source19,target465,src_dn
source10,target410,src_up
source 7,target277,src_up
source19,target306,src_dn
source 2,target470,src_up
source 1,target272,src_up
source10,target294,src_up
source 8,target221,src_up
source 1,target479,src_up
source13,target414,src_dn
source15,target161,src_dn
source16,target222,src_dn
source 7,target259,src_up
source 7,target454,src_up
source10,target125,src_up
source20,target339,src_dn
source 3,target159,src_up
source20,target249,src_dn
source 9,target370,src_up
source 6,target380,src_up
source 9,target 15,src_up
source 8,target113,src_up
source19,target 61,src_dn
source11,target278,src_dn
source18,target 48,src_dn
source 9,target416,src_up
source 4,target398,src_up
source 4,target475,src_up
source12,target367,src_dn
source15,target374,src_dn
source13,target105,src_dn
source 3,target387,src_up
source19,target122,src_dn
source 5,target221,src_up
source15,target 69,src_dn
source20,target307,src_dn
source15,target432,src_dn
source 3,target370,src_up
source17,target487,src_dn
source12,target227,src_dn
source 3,target446,src_up
source 2,target 45,src_up
source11,target393,src_dn
source18,target 97,src_dn
source 5,target119,src_up
source 6,target144,src_up
source14,target407,src_dn
source 9,target462,src_up
source 6,target270,src_up
source14,target303,src_dn
source 1,target377,src_up
source 4,target 67,src_up
source18,target124,src_dn
source 6,target 42,src_up
source10,target326,src_up
source11,target409,src_dn
source 2,target358,src_up
source 3,target156,src_up
source13,target303,src_dn
