key,type,path,signif
source 1,src_up,source,ns
source 2,src_up,source,**
source 3,src_up,source,*
source 4,src_up,source,ns
source 5,src_up,source,*
source 6,src_up,source,ns
source 7,src_up,source,ns
source 8,src_up,source,**
source 9,src_up,source,ns
source10,src_up,source,**
source11,src_dn,source,ns
source12,src_dn,source,*
source13,src_dn,source,**
source14,src_dn,source,*
source15,src_dn,source,ns
source16,src_dn,source,***
source17,src_dn,source,**
source18,src_dn,source,**
source19,src_dn,source,*
source20,src_dn,source,ns
target  1,tar_dn,path 1,NA
target  2,tar_dn,path 1,NA
target  3,tar_up,path 1,NA
target  4,tar_up,path 1,NA
target  5,tar_dn,path 1,NA
target  6,tar_dn,path 1,NA
target  7,tar_dn,path 1,NA
target  8,tar_dn,path 1,NA
target  9,tar_dn,path 1,NA
target 10,tar_dn,path 1,NA
target 11,tar_up,path 1,NA
target 12,tar_dn,path 1,NA
target 13,tar_up,path 1,NA
target 14,tar_dn,path 1,NA
target 15,tar_up,path 1,NA
target 16,tar_up,path 1,NA
target 17,tar_up,path 1,NA
target 18,tar_dn,path 1,NA
target 19,tar_up,path 1,NA
target 20,tar_up,path 1,NA
target 21,tar_dn,path 1,NA
target 22,tar_up,path 1,NA
target 23,tar_up,path 1,NA
target 24,tar_up,path 1,NA
target 25,tar_dn,path 1,NA
target 26,tar_up,path 1,NA
target 27,tar_up,path 1,NA
target 28,tar_up,path 1,NA
target 29,tar_up,path 1,NA
target 30,tar_up,path 1,NA
target 31,tar_up,path 1,NA
target 32,tar_dn,path 1,NA
target 33,tar_dn,path 1,NA
target 34,tar_dn,path 1,NA
target 35,tar_up,path 1,NA
target 36,tar_up,path 1,NA
target 37,tar_up,path 1,NA
target 38,tar_up,path 1,NA
target 39,tar_dn,path 1,NA
target 40,tar_up,path 1,NA
target 41,tar_dn,path 2,NA
target 42,tar_up,path 2,NA
target 43,tar_dn,path 2,NA
target 44,tar_up,path 2,NA
target 45,tar_up,path 2,NA
target 46,tar_dn,path 2,NA
target 47,tar_dn,path 2,NA
target 48,tar_up,path 2,NA
target 49,tar_up,path 2,NA
target 50,tar_dn,path 2,NA
target 51,tar_up,path 2,NA
target 52,tar_up,path 2,NA
target 53,tar_dn,path 2,NA
target 54,tar_dn,path 2,NA
target 55,tar_dn,path 2,NA
target 56,tar_dn,path 2,NA
target 57,tar_dn,path 2,NA
target 58,tar_dn,path 2,NA
target 59,tar_dn,path 2,NA
target 60,tar_up,path 2,NA
target 61,tar_up,path 2,NA
target 62,tar_up,path 2,NA
target 63,tar_dn,path 2,NA
target 64,tar_dn,path 2,NA
target 65,tar_dn,path 2,NA
target 66,tar_up,path 2,NA
target 67,tar_dn,path 2,NA
target 68,tar_up,path 2,NA
target 69,tar_dn,path 2,NA
target 70,tar_up,path 2,NA
target 71,tar_dn,path 2,NA
target 72,tar_up,path 2,NA
target 73,tar_dn,path 2,NA
target 74,tar_up,path 2,NA
target 75,tar_up,path 2,NA
target 76,tar_dn,path 2,NA
target 77,tar_dn,path 2,NA
target 78,tar_up,path 2,NA
target 79,tar_dn,path 2,NA
target 80,tar_up,path 2,NA
target 81,tar_up,path 2,NA
target 82,tar_dn,path 2,NA
target 83,tar_dn,path 2,NA
