	KIRC	KIRP	KICH	LGG	GBM	BRCA	LUSC	LUAD	READ	COAD	UCS	UCEC	OV	HNSC	THCA	PRAD	STAD	SKCM	BLCA	LIHC	CESC	ACC	PCPG	SARC	LAML	PAAD	ESCA	TGCT	THYM	MESO	UVM	DLBC	CHOL
ALKBH5	0.049242424	0.590277778	0	0.035087719	0.083188908	0.084259259	0.123752495	0.145348837	0.018181818	0.033259424	0.196428571	0.051948052	0.032815199	0.134099617	0.034068136	0.038617886	0.054421769	0.117166213	0.12745098	0.102702703	0.06440678	0.1	0.00617284	0.404669261	0	0.065217391	0.14673913	0.28	0.024390244	0.057471264	0.1	0.041666667	0.111111111
FTO	0.185606061	0.524305556	0.318181818	0.035087719	0.065857886	0.14537037	0.185628743	0.205426357	0.260606061	0.241685144	0.107142857	0.037105751	0.079447323	0.214559387	0.026052104	0.024390244	0.111111111	0.114441417	0.178921569	0.056756757	0.122033898	0.555555556	0.037037037	0.070038911	0.005235602	0.125	0.239130435	0.113333333	0.016260163	0.16091954	0.0125	0.145833333	0.138888889
ZC3H13	0.039772727	0.100694444	0.03030303	0.007797271	0.012131716	0.07962963	0.077844311	0.087209302	0.709090909	0.583148559	0.267857143	0.059369202	0.115716753	0.109195402	0.01002004	0.014227642	0.378684807	0.250681199	0.171568627	0.035135135	0.06779661	0.077777778	0.061728395	0.027237354	0.031413613	0.163043478	0.244565217	0	0.008130081	0.034482759	0.075	0.125	0.083333333
RBM15B	0.011363636	0.25	0.090909091	0.01754386	0.093587522	0.082407407	0.005988024	0.062015504	0.151515152	0.082039911	0.125	0.092764378	0.174438687	0.017241379	0.006012024	0.075203252	0.056689342	0.174386921	0.237745098	0.1	0.094915254	0.122222222	0.012345679	0.171206226	0.005235602	0.027173913	0.059782609	0.193333333	0	0.091954023	0	0.208333333	0.027777778
RBM15	0.037878788	0.020833333	0.015151515	0.035087719	0.147313692	0.160185185	0.115768463	0.228682171	0.042424242	0.037694013	0.339285714	0.087198516	0.293609672	0.076628352	0.006012024	0.016260163	0.120181406	0.223433243	0.198529412	0.143243243	0.250847458	0.044444444	0	0.217898833	0.010471204	0.070652174	0.184782609	0.3	0.032520325	0.068965517	0.025	0	0.277777778
VIRMA	0.128787879	0.09375	0.287878788	0.155945419	0.10745234	0.606481481	0.592814371	0.548449612	0.624242424	0.54767184	0.660714286	0.322820037	0.587219344	0.659003831	0.014028056	0.31504065	0.614512472	0.479564033	0.602941176	0.594594595	0.355932203	0.433333333	0.080246914	0.33463035	0.120418848	0.320652174	0.630434783	0.78	0.089430894	0.172413793	0.75	0.166666667	0.361111111
WTAP	0.015151515	0.020833333	0.015151515	0.013645224	0.039861352	0.126851852	0.193612774	0.081395349	0.2	0.157427938	0.446428571	0.118738404	0.124352332	0.122605364	0.004008016	0.008130081	0.163265306	0.0626703	0.085784314	0.110810811	0.074576271	0.188888889	0.043209877	0.233463035	0.005235602	0.02173913	0.195652174	0.146666667	0	0.022988506	0.0875	0.083333333	0.055555556
METTL14	0.022727273	0.038194444	0.348484848	0.011695906	0.051993068	0.098148148	0.055888224	0.091085271	0.042424242	0.037694013	0.053571429	0.016697588	0.069084629	0.091954023	0.012024048	0.032520325	0.045351474	0.122615804	0.080882353	0.027027027	0.061016949	0.411111111	0.024691358	0.178988327	0.020942408	0.048913043	0.114130435	0	0.016260163	0.011494253	0.05	0	0.055555556
METTL3	0.034090909	0.010416667	0.318181818	0.023391813	0.043327556	0.177777778	0.285429142	0.32751938	0.054545455	0.082039911	0.232142857	0.102040816	0.236614853	0.289272031	0.022044088	0.016260163	0.117913832	0.117166213	0.198529412	0.108108108	0.159322034	0.311111111	0.024691358	0.295719844	0.010471204	0.163043478	0.282608696	0.34	0.105691057	0.022988506	0.0375	0.041666667	0.027777778
RBMX	0.053030303	0.319444444	0.136363636	0.089668616	0.045060659	0.162037037	0.219560878	0.261627907	0.218181818	0.192904656	0.196428571	0.141001855	0.336787565	0.247126437	0.016032064	0.032520325	0.188208617	0.144414169	0.156862745	0.2	0.203389831	0.488888889	0.030864198	0.089494163	0.010471204	0.097826087	0.336956522	0.16	0.056910569	0.103448276	0.1125	0.104166667	0.027777778
