gene	tumor	Correlation	Pvalue
ACSL4	BLCA	0.045539001601133	0.35873034496348
ALOX15	BLCA	0.49976275124598	3.6376311987592e-27
ATP5G3	BLCA	0.0786204600236398	0.11282135500658
CARS	BLCA	-0.11668721457123	0.018383864787524
CDKN1A	BLCA	-0.142059302349824	0.00406590818567032
CISD1	BLCA	-0.00830417748300972	0.867193468266918
CS	BLCA	-0.00435973936621139	0.930011988469161
DPP4	BLCA	0.517476172830678	2.5275888395828e-29
FANCD2	BLCA	0.0494169168841972	0.319244357534414
FDFT1	BLCA	0.0918197331256442	0.0639156595342968
GLS2	BLCA	-0.350222854681362	4.4222308514649e-13
GPX4	BLCA	-0.00349344561525268	0.943916788031575
HSPA5	BLCA	0.195514848160468	7.02249120264102e-05
HSPB1	BLCA	-0.0641612285507007	0.195803578253244
LPCAT3	BLCA	0.0498543065149572	0.315117031533817
MT1G	BLCA	0.14907536629877	0.0025375956493245
NCOA4	BLCA	0.00121454299506939	0.980480596743265
NFE2L2	BLCA	0.0228703004483243	0.644950345979571
RPL8	BLCA	0.118701799366632	0.0164493809187703
SAT1	BLCA	0.00737295092249788	0.881920514630083
SLC1A5	BLCA	-0.157131014099229	0.00146974503529082
SLC7A11	BLCA	-0.0685502978757689	0.166896586062151
TFRC	BLCA	0.0309401042900942	0.533158832193962
TTC35	BLCA	-0.00582924097953582	0.906515553479715
ACSL4	BRCA	-0.143497858720653	5.80525158947738e-05
ALOX15	BRCA	0.267742244911825	2.74517446296959e-14
ATP5G3	BRCA	-0.0548780267392026	0.125438443918354
CARS	BRCA	-0.0477195330874953	0.182749838973333
CDKN1A	BRCA	-0.0190407990240572	0.595198970703565
CISD1	BRCA	-0.127127181623599	0.000368723243906286
CS	BRCA	0.00687626379612053	0.847850978969824
DPP4	BRCA	0.187719252141212	1.25897417472703e-07
FANCD2	BRCA	0.0194228435300874	0.587832392069606
FDFT1	BRCA	0.0565981156880176	0.114004792925717
GLS2	BRCA	-0.0995435948878804	0.00536358864150329
GPX4	BRCA	-0.0614577793885969	0.0860899471669454
HSPA5	BRCA	0.0380704260253623	0.287958111652494
HSPB1	BRCA	-0.0967952355608502	0.00678733000859938
LPCAT3	BRCA	-0.0841118362463001	0.0187218540074733
MT1G	BRCA	-0.525021652415087	1.53059844658134e-56
NCOA4	BRCA	-0.0584944726565199	0.102366164338637
NFE2L2	BRCA	-0.0651830585113567	0.0686602037320525
RPL8	BRCA	0.213022636185828	1.82321188496879e-09
SAT1	BRCA	-0.0602485307310745	0.0924602984119685
SLC1A5	BRCA	-0.359046795519223	3.55514362437721e-25
SLC7A11	BRCA	-0.180122653957888	4.03680933814067e-07
TFRC	BRCA	-0.0518635594827752	0.147602583937313
