Gene,Frequency.in.sGBM,Frequency.in.pGBM,Frequency.in.LGG,allfrequency
METex14,0.14,0.02,0.01,1.5
Hypermutation,0.16,0.03,0.01,2.5
ZM,0.05,0.01,0.01,0.5
MET Amplified,0.12,0.03,0.04,2.5
ATRX,0.41,0.05,0.43,5.71638215388974
TP53,0.68,0.3,0.52,8.85362767999916
IDH1,0.67,0.05,0.77,8.85362767999916
RB1,0.1,0.11,0.03,3.5
PDGFRA,0.12,0.15,0.04,3.7767762353825
CDKN2A,0.46,0.62,0.12,7.36412674705509
MTOR,0.01,0.01,0.01,0.5
NF1,0.1,0.14,0.08,3.8647486550794
PIK3CA,0.1,0.12,0.1,3.8647486550794
CDK4,0.09,0.17,0.04,3.7767762353825
CIC/FUBP1,0.1,0.01,0.33,4.14115279380865
PTEN,0.1,0.41,0.06,4.86543029207679
EGFR,0.14,0.55,0.09,5.71638215388974
