"","x","runningScore","position","ymin","ymax","geneList","gene","Description"
"1",1,-8.26104915324246e-05,0,0,0,4.57261268231107,"4312","DNA replication"
"2",2,-0.000165220983064849,0,0,0,4.51459371540294,"8318","DNA replication"
"3",3,-0.000247831474597274,0,0,0,4.41821798112707,"10874","DNA replication"
"4",4,-0.000330441966129698,0,0,0,4.14407518193211,"55143","DNA replication"
"5",5,-0.000413052457662123,0,0,0,3.87625800905113,"55388","DNA replication"
"6",6,-0.000495662949194548,0,0,0,3.67785700608222,"991","DNA replication"
"7",7,-0.000578273440726972,0,0,0,3.50196257182422,"6280","DNA replication"
"8",8,-0.000660883932259397,0,0,0,3.29181180475379,"2305","DNA replication"
"9",9,-0.000743494423791822,0,0,0,3.28622327553642,"9493","DNA replication"
"10",10,-0.000826104915324246,0,0,0,3.21976069787127,"1062","DNA replication"
"11",11,-0.000908715406856671,0,0,0,3.21343469687452,"3868","DNA replication"
"12",12,-0.000991325898389095,0,0,0,3.20837276367322,"4605","DNA replication"
"13",13,-0.00107393638992152,0,0,0,3.19773690427129,"9833","DNA replication"
"14",14,-0.00115654688145394,0,0,0,3.12523889932218,"9133","DNA replication"
"15",15,-0.00123915737298637,0,0,0,3.08683552846105,"6279","DNA replication"
"16",16,-0.00132176786451879,0,0,0,3.06832474317075,"10403","DNA replication"
"17",17,-0.00140437835605122,0,0,0,2.98049240045984,"8685","DNA replication"
"18",18,-0.00148698884758364,0,0,0,2.96722291461667,"597","DNA replication"
"19",19,-0.00156959933911607,0,0,0,2.95109339365107,"7153","DNA replication"
"20",20,-0.00165220983064849,0,0,0,2.94906631520437,"23397","DNA replication"
"21",21,-0.00173482032218092,0,0,0,2.93319655454591,"6278","DNA replication"
"22",22,-0.00181743081371334,0,0,0,2.90489607718438,"79733","DNA replication"
"23",23,-0.00190004130524577,0,0,0,2.87700194081485,"259266","DNA replication"
"24",24,-0.00198265179677819,0,0,0,2.82552513642048,"1381","DNA replication"
"25",25,-0.00206526228831062,0,0,0,2.82428129851976,"3627","DNA replication"
"26",26,-0.00214787277984304,0,0,0,2.7922676355156,"27074","DNA replication"
"27",27,-0.00223048327137546,0,0,0,2.78798248037097,"6241","DNA replication"
"28",28,-0.00231309376290789,0,0,0,2.78423832455259,"55165","DNA replication"
"29",29,-0.00239570425444031,0,0,0,2.76613060129854,"9787","DNA replication"
"30",30,-0.00247831474597274,0,0,0,2.69747346495945,"7368","DNA replication"
"31",31,-0.00256092523750516,0,0,0,2.67972647035974,"11065","DNA replication"
"32",32,-0.00264353572903759,0,0,0,2.6762895491481,"55355","DNA replication"
"33",33,-0.00272614622057001,0,0,0,2.67431001864876,"9582","DNA replication"
"34",34,-0.00280875671210244,0,0,0,2.66888169680278,"220134","DNA replication"
"35",35,-0.00289136720363486,0,0,0,2.63284766251006,"55872","DNA replication"
"36",36,-0.00297397769516729,0,0,0,2.62958382800576,"51203","DNA replication"
"37",37,-0.00305658818669971,0,0,0,2.62682683929664,"3669","DNA replication"
"38",38,-0.00313919867823214,0,0,0,2.59570027852039,"83461","DNA replication"
"39",39,-0.00322180916976456,0,0,0,2.5931269224252,"22974","DNA replication"
"40",40,-0.00330441966129698,0,0,0,2.57645511923366,"10460","DNA replication"
"41",41,-0.00338703015282941,0,0,0,2.55386811529543,"10563","DNA replication"
"42",42,-0.00346964064436183,0,0,0,2.54667075821139,"4751","DNA replication"
"43",43,-0.00355225113589426,0,0,0,2.54315315665556,"6373","DNA replication"
"44",44,-0.00363486162742668,0,0,0,2.52745370307114,"8140","DNA replication"
"45",45,-0.00371747211895911,0,0,0,2.52436734092944,"79019","DNA replication"
"46",46,-0.00380008261049153,0,0,0,2.51458743183147,"820","DNA replication"
"47",47,-0.00388269310202396,0,0,0,2.493021394596,"10635","DNA replication"
"48",48,-0.00396530359355638,0,0,0,2.49256708560016,"1844","DNA replication"
"49",49,-0.00404791408508881,0,0,0,2.49100137654174,"4283","DNA replication"
