gene	tumor	Correlation	Pvalue
DPP4	BLCA	0.0134507158973658	0.787521438980565
ATP5G3	BLCA	0.487256931071815	1.76952877217547e-25
NFE2L2	BLCA	0.36622203203476	2.87257528293158e-14
FANCD2	BLCA	0.542260324093526	2.92974858660964e-32
TFRC	BLCA	0.358781504090976	1.02098822521497e-13
SLC7A11	BLCA	0.110660797377312	0.0261351336031274
CDKN1A	BLCA	0.222120965253122	6.56980939028547e-06
HSPB1	BLCA	0.153227881484598	0.00201130495769055
FDFT1	BLCA	0.358920695731487	9.97352995487529e-14
TTC35	BLCA	0.594140089298482	6.53356161567786e-40
RPL8	BLCA	0.42803677695255	1.98159663778191e-19
HSPA5	BLCA	0.474037810914452	5.03736595333365e-24
NCOA4	BLCA	0.377737084630791	3.77855019879844e-15
CISD1	BLCA	0.365185330956927	3.43454562574124e-14
CARS	BLCA	0.609175855140967	2.13095730480818e-42
LPCAT3	BLCA	0.288030164518726	3.70566718198873e-09
CS	BLCA	0.457881013029434	2.48884671504858e-22
GLS2	BLCA	0.0902863011013783	0.0698606340644274
MT1G	BLCA	0.0326704356182916	0.512591520749033
ALOX15	BLCA	-0.0719420290362646	0.148905768541216
GPX4	BLCA	0.305628849276929	3.50091865568237e-10
SLC1A5	BLCA	0.276467084432899	1.60259227969649e-08
SAT1	BLCA	0.153025642998743	0.00203940723273291
ACSL4	BLCA	0.133324943812739	0.007285925971163
DPP4	BRCA	0.113030069939799	0.000200232063887614
ATP5G3	BRCA	0.334269260078686	1.49394954579326e-29
NFE2L2	BRCA	0.339349913759698	1.84462837787153e-30
FANCD2	BRCA	0.344334517315114	2.28060564516934e-31
TFRC	BRCA	0.279979247044245	7.26082718379257e-21
SLC7A11	BRCA	0.0841629389008743	0.00569201325496761
CDKN1A	BRCA	-0.0486101902539852	0.110688673597648
HSPB1	BRCA	0.116375813643115	0.000128381726729593
FDFT1	BRCA	0.592734324555651	3.01793733086577e-103
TTC35	BRCA	0.804526115947343	1.02165306243897e-245
RPL8	BRCA	0.504931015475258	8.23408512652263e-71
HSPA5	BRCA	0.180233217658819	2.5288095932414e-09
NCOA4	BRCA	0.24420902694724	4.21474805378384e-16
