TCGA	Detail	Name	organ
BRCA	breast invasive carcinoma	乳腺浸润性癌	breast
PRAD	prostate adenocarcinoma	前列腺癌	prostate
OV	ovarian serous cystadenocarcinoma	卵巢浆液囊腺癌	ovary
PCPG	pheochromocytoma & paraganglioma	嗜铬细胞瘤和副细胞瘤	
GBM	glioblastoma multiforme	多形性胶质母细胞瘤	brain
HNSC	head & neck squamous cell carcinoma	头颈部鳞状细胞癌	
UCEC	uterine corpus endometrioid carcinoma	子宫内膜样癌	uterus
UCS	uterine carcinosarcoma	子宫癌肉瘤	uterus
CESC	cervical & endocervical cancer	宫颈癌和宫颈癌	uterine_cervix
DLBC	diffuse large B-cell lymphoma	弥漫性大 b 细胞淋巴瘤	
LAML	acute myeloid leukemia	急性髓系白血病	bone_marrow
THCA	thyroid carcinoma	甲状腺癌	thyroid_gland
SKCM	skin cutaneous melanoma	皮肤黑色素瘤	skin
READ	rectum adenocarcinoma	直肠腺癌	colon
TGCT	testicular germ cell tumor	睾丸生殖细胞瘤	testis
COAD	colon adenocarcinoma	结肠腺癌	colon
SARC	sarcoma	肉瘤	
LIHC	liver hepatocellular carcinoma	肝细胞癌	liver
LUAD	lung adenocarcinoma	肺腺癌	lung
LUSC	lung squamous cell carcinoma	肺鳞状细胞癌	lung
ACC	adrenocortical cancer	肾上腺皮质癌	adrenal_gland
KIRP	kidney papillary cell carcinoma	肾状细胞癌	kidney
KICH	kidney chromophobe	肾色素	kidney
KIRC	kidney clear cell carcinoma	肾透明细胞癌	kidney
STAD	stomach adenocarcinoma	胃腺癌	stomach
CHOL	cholangiocarcinoma	胆管 癌	gall_bladder
PAAD	pancreatic adenocarcinoma	胰腺癌	pancreas
THYM	thymoma	胸腺 瘤	
LGG	brain lower grade glioma	脑部低度胶质瘤	brain
BLCA	bladder urothelial carcinoma	膀胱尿路上皮癌	urinary_bladder
UVM	uveal melanoma	葡萄膜黑色素瘤	skin
MESO	mesothelioma	间 皮 瘤	
ESCA	esophageal carcinoma	食管癌	esophagus

