"","Unnormalized DAC","DAC"
"mitotic sister chromatid segregation",0.00315638607325823,0.00017333977235346
"protein polyubiquitination",0.112297671154524,0.00616706964926355
"microtubule cytoskeleton organization",-0.00130766984430091,-7.1813519596042e-05
"sister chromatid segregation",0.00484561438418204,0.000266107400923781
"pseudouridine synthesis",0.0142548395308811,0.000782835363567352
"vasculogenesis",0.0142599832176578,0.000783117840258806
"cell fate specification",0.00217420329655311,0.000119401079502807
"somitogenesis",0.00643279415517897,0.000353270813067666
"neuron migration",0.011837211356993,0.000650066080098653
"columnar/cuboidal epithelial cell differentiation",0.00649057052927513,0.000356443727692428
"hematopoietic progenitor cell differentiation",0.0182828078624558,0.00100403996193937
"immune effector process",1.17622701622254,0.0645950522198127
"positive regulation of immune system process",2.85420967782854,0.156745101619692
"circulatory system process",0.0566551390464299,0.00311133957539748
"DNA-dependent DNA replication",0.0191535290454888,0.00105185750014516
"DNA replication initiation",0.0282752103311584,0.0015527943693497
"DNA repair",0.555624031380444,0.0305132961805837
"base-excision repair",0.0291440500306673,0.00160050858181582
"double-strand break repair",0.0777055529563623,0.00426736861316572
"DNA recombination",0.251009102783478,0.0137847081203918
"regulation of translational initiation",0.0633753424461587,0.00348039408914886
"protein glycosylation",0.0211690600893554,0.00116254474948869
"peptide metabolic process",0.025359594613914,0.00139267702217879
"membrane lipid metabolic process",0.10241022543685,0.00562407916898631
"vitamin metabolic process",0.0261562754482519,0.00143642847439577
"porphyrin-containing compound biosynthetic process",0.0103916584376918,0.000570680413028498
"xenobiotic metabolic process",0.106487137028618,0.00584797159241622
"post-Golgi vesicle-mediated transport",0.0349143050598571,0.00191739462489377
"Golgi to plasma membrane transport",0.0217033030282315,0.00119188385670083
"movement of cell or subcellular component",0,0
"defense response",5.384850460942,0.295720717109103
"inflammatory response",1.67983386460745,0.0922517122191303
"immune response",4.463555477502,0.245125809200697
"humoral immune response",0.130761829517886,0.00718106886644406
"cellular response to DNA damage stimulus",0.864272800542397,0.0474634113255543
"organelle organization",1.35156806192354,0.0742242852225597
"chromosome segregation",0.0457199140078212,0.00251080802607734
"meiosis I",0.00100103240440113,5.49738609504798e-05
"regulation of actin polymerization or depolymerization",0.0636521076269997,0.00349559324803782
"actin polymerization or depolymerization",0.0165514487656977,0.000908958630084313
"fibroblast growth factor receptor signaling pathway",0.0510838475237874,0.00280538004388405
"regulation of Notch signaling pathway",0.00518192586541621,0.000284576673770625
"catabolic process",2.69904489286683,0.14822389164148
"nucleobase metabolic process",0.0413121416085422,0.00226874566534458
"purine ribonucleotide catabolic process",0.269983086650646,0.0148267055084927
"cyclic nucleotide biosynthetic process",0.00420496186904282,0.000230924581536522
"ribonucleotide catabolic process",0.273656028627583,0.0150284130662416
"response to xenobiotic stimulus",0.00360257304390821,0.000197843095497232
"response to bacterium",0.406130077127377,0.0223035121437102
"axis specification",0.00187962273371236,0.000103223550354777
"positive regulation of macromolecule biosynthetic process",1.12678925577006,0.0618800706099577
"negative regulation of organelle organization",0.0981441433739896,0.00538979803972823
"positive regulation of cell development",0.0372807235719334,0.00204735161895467
"negative regulation of cell development",0.0273635713906557,0.00150272974393708
"negative regulation of protein processing",0.0189898883692311,0.00104287081825267
"establishment of localization by movement along microtubule",0,0
"negative regulation of translation",0.016760312958182,0.000920428859244409
"cytokine-mediated signaling pathway",0.698865548851845,0.0383797141198905
"spinal cord motor neuron differentiation",0.00132273719649536,7.26409758509926e-05
"diencephalon development",-0.000124557188970261,-6.84032760251175e-06
"rostrocaudal neural tube patterning",-0.000178616634484085,-9.80911904989241e-06
"central nervous system neuron differentiation",0.00966213609362375,0.000530617114651002
"cell cycle process",1.51352715843285,0.0831186195238499
"actin filament polymerization",0.0135650629658844,0.000744954790666504
"macrophage differentiation",0.0235444981225744,0.00129299707007344
"chromosome condensation",0.00445672300484915,0.000244750589177935
"neutrophil chemotaxis",0.149443324241993,0.00820700358024046
"leukocyte chemotaxis",0.298895850219085,0.0164145124936785
"cytoskeleton-dependent intracellular transport",0.0160636953930054,0.000882172598013195
"regulation of actin filament length",0.0620719324587927,0.0034088145088157
"regulation of actin filament polymerization",0.0880902138111822,0.00483766473878644
"notochord development",0.000341746926504524,1.87677720874111e-05
"embryonic camera-type eye development",-0.000138608589045862,-7.61199064810296e-06
