"","Unnormalized DAC","DAC"
"mitotic sister chromatid segregation",-0.000219852952210115,-2.41958709289364e-05
"protein polyubiquitination",0.0325344660082359,0.00358057388979161
"microtubule cytoskeleton organization",-0.0343952781384738,-0.00378536518176028
"sister chromatid segregation",-0.000398713085459313,-4.38802856931008e-05
"pseudouridine synthesis",0.00737924619177579,0.000812121404848879
"vasculogenesis",0.00496867318644961,0.000546826294115464
"cell fate specification",0.000348675850620353,3.83734482199916e-05
"somitogenesis",0.00403767205542972,0.000444365158277169
"neuron migration",0.00432103885234059,0.000475551032174595
"columnar/cuboidal epithelial cell differentiation",0.00166807893775025,0.000183580080555432
"hematopoietic progenitor cell differentiation",0.00802511796351889,0.000883202688355158
"immune effector process",0.250588206309196,0.0275784329262785
"positive regulation of immune system process",0.690548635187305,0.0759981864204253
"circulatory system process",0.018294832264015,0.00201343395972957
"DNA-dependent DNA replication",0.0134210129740772,0.00147704679146634
"DNA replication initiation",0.0036402774824384,0.0004006299811995
"DNA repair",0.204234700792095,0.0224770075175188
"base-excision repair",0.0144243585790249,0.00158746978333605
"double-strand break repair",0.0329479560862563,0.00362608045432761
"DNA recombination",0.0964147354648259,0.0106109036585734
"regulation of translational initiation",0.0415428178732126,0.00457198618067188
"protein glycosylation",-0.010432288077775,-0.00114812329461961
"peptide metabolic process",0.00984271557782012,0.00108323801576047
"membrane lipid metabolic process",0.00850748461563085,0.000936289449927364
"vitamin metabolic process",0.0090265650109085,0.000993416734867691
"porphyrin-containing compound biosynthetic process",0.00174881722755033,0.000192465716246867
"xenobiotic metabolic process",0.0263874858396278,0.00290406926582719
"post-Golgi vesicle-mediated transport",0.0159837138365142,0.00175908430187347
"Golgi to plasma membrane transport",0.0140775902286735,0.00154930626466142
"movement of cell or subcellular component",0,0
"defense response",0.894642042211694,0.0984596438817265
"inflammatory response",0.509906528714277,0.0561176569637393
"immune response",0.832415802602531,0.0916113480237867
"humoral immune response",0.0431219370344628,0.00474577581152707
"cellular response to DNA damage stimulus",0.266892187284307,0.0293727641614789
"organelle organization",0.136465971210123,0.0150187340783872
"chromosome segregation",-0.00239506754825493,-0.00026358866088037
"meiosis I",0.000891666857107289,9.8132210503861e-05
"regulation of actin polymerization or depolymerization",0.0210039596157733,0.00231158640696416
"actin polymerization or depolymerization",0.00256266873079199,0.000282033974165625
"fibroblast growth factor receptor signaling pathway",0.0207991433308804,0.00228904539332939
"regulation of Notch signaling pathway",0.00416271434960216,0.000458126661955149
"catabolic process",2.25609382269757,0.248293936418879
"nucleobase metabolic process",0.0329849807524733,0.00363015519626748
"purine ribonucleotide catabolic process",0.0537691081295469,0.00591754801192377
"cyclic nucleotide biosynthetic process",-0.000469000079493862,-5.16157062027947e-05
"ribonucleotide catabolic process",0.0535325510234177,0.00589151376880952
"response to xenobiotic stimulus",0.000673273983875225,7.40970282631766e-05
"response to bacterium",0.198701430814283,0.0218680446409587
"axis specification",0.000154835608944535,1.70404007386027e-05
"positive regulation of macromolecule biosynthetic process",0.401566731871008,0.0441943431554187
"negative regulation of organelle organization",0.0115939701532839,0.00127597197382501
"positive regulation of cell development",-0.00835520790344119,-0.000919530668038902
"negative regulation of cell development",0.0172825743784373,0.00190203012866876
"negative regulation of protein processing",0.00533798003409379,0.000587470282421935
"establishment of localization by movement along microtubule",0,0
"negative regulation of translation",0.00890925065829411,0.000980505728190569
"cytokine-mediated signaling pathway",0.270818160405787,0.0298048363168122
"spinal cord motor neuron differentiation",0.000487690206661947,5.36726442609756e-05
"diencephalon development",-0.000228963390963462,-2.51985183710834e-05
"rostrocaudal neural tube patterning",-0.000365535602128962,-4.02289446656631e-05
"central nervous system neuron differentiation",0.00558664495299095,0.000614837048352101
"cell cycle process",0.0789254481311271,0.00868612377860692
"actin filament polymerization",0.00447088692910018,0.000492042531095925
"macrophage differentiation",0.00694164379182465,0.00076396116373785
"chromosome condensation",-0.000157809847731239,-1.73677299696705e-05
"neutrophil chemotaxis",0.0609161639694627,0.00670411575589126
"leukocyte chemotaxis",0.115327482265497,0.0126923420741165
"cytoskeleton-dependent intracellular transport",0.00133021959602763,0.000146397040972486
"regulation of actin filament length",0.0200663777897615,0.00220840103410722
"regulation of actin filament polymerization",0.0371262567728717,0.00408592246736099
"notochord development",-8.3025673717609e-05,-9.13737325273372e-06
"embryonic camera-type eye development",-0.000267952854643705,-2.94894956871124e-05
"RNA 3'-end processing",0.0322805340670133,0.0035526274628149
"regulation of defense response",0.636164591856284,0.0700129618428017
"positive regulation of defense response",0.220651043038681,0.0242837046490816
"regulation of response to external stimulus",0.396988736178885,0.0436905127916855
"positive regulation of response to external stimulus",0.152038134423466,0.0167325252620247
"regulation of protein polymerization",0.0319683162300246,0.00351826639370235
"regulation of intracellular transport",0.152807023441118,0.0168171451829435
"multicellular organismal process",-0.563153293566839,-0.0619777185949551
"regulation of cellular component size",0.0184723849484569,0.00203297448348718
"regulation of actin cytoskeleton organization",0.0161833333388223,0.00178105338468174
"tetrapyrrole biosynthetic process",0.00156859484349182,0.000172631379253214
"regulation of organelle organization",-0.182781677656237,-0.0201159995182511
"histone lysine methylation",-0.00536940949324135,-0.000590929245011502
"exocrine system development",4.20914583076729e-05,4.63236668957635e-06
"intracellular signal transduction",-0.289956432436191,-0.0319110948646072
"peptidyl-tyrosine autophosphorylation",0.000718017932398869,7.90213142117882e-05
"locomotion",-0.0200850122774224,-0.00221045184877102
"response to chemical",0.543825549539069,0.0598506077458977
"pigment metabolic process",0.00245801459733091,0.000270516285274262
"defense response to bacterium",0.201604296108231,0.0221875188771261
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process",0.00528948122933933,0.000582132756551803
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.027401392530872,0.0030156545558527
"regulation of protein complex disassembly",0.00693688819765301,0.000763437787810392
"regulation of protein complex assembly",0.0712634882876616,0.00784288838162209
"positive regulation of MAPK cascade",0.06509934873132,0.00716449528480957
"macromolecule glycosylation",-0.010432288077775,-0.00114812329461961
"macromolecule methylation",0.00769508199249297,0.000846880648207079
"cellular amide metabolic process",0.0223500026042649,0.00245972488810321
"response to estrogen",-0.0167214906204686,-0.00184028017238362
"mitotic cell cycle phase transition",0.0264185928954654,0.00290749274638754
"cilium organization",0.0127485087377365,0.00140303447760797
"establishment of protein localization",0.867485652487174,0.0954709530587695
"establishment or maintenance of epithelial cell apical/basal polarity",0.000179034386029262,1.97035921176321e-05
"cell redox homeostasis",-0.00135010727049858,-0.00014858577485001
