sampleID	TCGA_subtype	Moffitt_subtype	Bailey subtype	Collisson subtype
P1	Cholesterogenic	Basal-like	Squamous	Quasi-mesenchymal
P2	Cholesterogenic	Basal-like	Squamous	Quasi-mesenchymal
P3	Cholesterogenic	Basal-like	Squamous	Quasi-mesenchymal
P4	Cholesterogenic	Basal-like	Squamous	Quasi-mesenchymal
P5	Cholesterogenic	Basal-like	Immunogenic	Quasi-mesenchymal
P6	Cholesterogenic	Basal-like	Immunogenic	Classical
P7	Cholesterogenic	Classical	Immunogenic	Classical
P8	Cholesterogenic	Classical	Immunogenic	Classical
P9	Cholesterogenic	Classical	Immunogenic	Classical
P10	Cholesterogenic	Classical	Immunogenic	Classical
P11	Cholesterogenic	Classical	Immunogenic	Classical
P12	Cholesterogenic	Classical	Immunogenic	Classical
P13	Cholesterogenic	Classical	Immunogenic	Classical
P14	Cholesterogenic	Classical	Immunogenic	Classical
P15	Cholesterogenic	Classical	Immunogenic	Classical
P16	Cholesterogenic	Classical	Immunogenic	Classical
P17	Cholesterogenic	Classical	Immunogenic	Classical
P18	Cholesterogenic	Classical	Progenitor	Classical
P19	Cholesterogenic	Classical	Progenitor	Classical
P20	Cholesterogenic	Classical	Progenitor	Classical
P21	Cholesterogenic	Classical	Progenitor	Quasi-mesenchymal
P22	Cholesterogenic	Classical	Progenitor	Classical
P23	Cholesterogenic	Classical	Progenitor	Classical
P24	Cholesterogenic	Classical	Progenitor	Classical
P25	Cholesterogenic	Classical	Progenitor	Classical
P26	Cholesterogenic	Classical	Progenitor	Classical
P27	Cholesterogenic	Classical	Progenitor	Classical
P28	Cholesterogenic	Classical	Progenitor	Quasi-mesenchymal
P29	Cholesterogenic	Classical	Progenitor	Classical
P30	Cholesterogenic	Classical	Progenitor	Classical
P31	Cholesterogenic	Classical	Progenitor	Classical
P32	Cholesterogenic	Classical	Progenitor	Classical
P33	Cholesterogenic	Classical	Progenitor	Classical
P34	Cholesterogenic	Classical	Progenitor	Classical
P35	Cholesterogenic	Classical	Progenitor	Quasi-mesenchymal
P36	Cholesterogenic	Classical	Progenitor	Classical
P37	Cholesterogenic	Classical	Progenitor	Classical
P38	Cholesterogenic	Classical	Progenitor	Classical
P39	Cholesterogenic	Classical	Progenitor	Classical
P40	Cholesterogenic	Classical	Progenitor	Classical
