"id","chr","position","color","group1_s1","group1_s2","group2_s1","group2_s2","group2_s3","group3_s1","group3_s2","group3_s3"
"ABAT","16",8768422,"black",-0.981,-0.896,-2.019,1.412,-1.366,-1.994,-0.636,-0.885
"ABCC8","11",17414432,"black",-2.03,3.128,-3.019,2.328,2.058,-2.613,0.514,-2.572
"AFF3","2",100162323,"black",-1.376,1.755,1.066,1.073,-1.844,-0.392,-0.842,-0.76
"AGBL2","11",47681143,"black",-2.572,-0.516,-1.12,2.709,-0.21,-1.8,-0.3,-0.709
"AGTR1","3",148415571,"black",0.16,2.922,-0.966,-2.609,-0.456,-2.007,-0.802,-2.035
"AKR7A3","1",19609052,"black",-1.56,1.79,-1.542,1.223,1.252,0.743,2.022,-0.871
"APOBEC3A","22",39348746,"black",0.482,0.002,2.034,2.785,2.049,0.529,-0.321,-0.191
"ATP13A5","3",192992579,"black",2.428,2.268,0.56,-0.494,0.474,3.94,1.666,0.258
"BAIAP3","16",1383602,"black",-0.814,-2.649,-1.385,0.123,-0.673,-1.318,-0.164,-1.565
"BMPR1B","4",95679119,"black",0.148,-1.886,0.145,-1.138,1.533,-1.383,-1.185,-0.41
"C1orf106","1",200860176,"black",1.936,-0.171,0.061,3.152,-0.289,1.45,0.12,2.255
"C20orf26","20",20033158,"black",-1.291,-0.571,0.183,2.928,2.389,-0.841,0.688,-1.113
"C6orf211","6",151773422,"black",-0.933,-1.473,-1.112,2.106,-0.721,-1.88,-1.182,-1.248
"C8orf46","8",67372238,"black",-1.13,-1.439,-0.654,-0.607,-0.605,-0.576,-0.159,-0.882
"CCDC78","16",772582,"black",-0.986,-0.753,-0.247,0.04,-0.295,-0.202,-0.179,-0.454
"CCL20","2",228678558,"black",2.427,-1.437,0.31,1.279,-0.049,3.033,-0.186,1.074
"CDH3","16",68670092,"black",2.842,-2.389,-0.764,-0.314,-0.397,-1.04,-0.753,2.237
"CEACAM7","19",42177235,"black",1.952,1.146,0.566,0.86,3.037,0.945,2.232,0.691
"CEP55","10",95256389,"black",-0.133,1.106,0.935,1.119,0.11,0.74,-0.561,1.201
"CHI3L1","1",203148059,"black",-0.579,-2.587,0.947,1.288,-1.846,-0.724,-1.382,-0.665
"CLDN8","21",31586324,"black",1.34,-0.659,-0.103,-3.178,-3.445,3.65,0.541,2.302
"CNGA1","4",47937994,"black",1.325,-1.474,-1.345,0.547,-1.688,-0.524,-1.265,-0.819
"CNTD1","17",40950810,"blue",-0.97,-0.182,-0.326,2.154,0.407,0.677,-0.623,-1.7
"COX6C","8",100885428,"black",-1.504,-0.813,0.514,-0.468,1.214,-0.882,-0.917,-0.206
"CST9L","20",23545369,"black",-1.049,-1.285,-0.796,4.559,-1.135,-1.364,-0.178,-1.164
"CXCL1","4",74735110,"black",4.676,-2.203,1.85,-0.61,-1.054,-0.672,-0.164,4.1
"CXCL11","4",76954835,"black",-1.315,-0.15,3.503,1.597,0.394,1.47,-1.799,2.693
"DACH1","13",72012098,"black",-3.895,2.339,-0.485,0.345,1.27,-3.826,0.469,-4.469
"DCD","12",55038375,"black",0.483,2.922,8.876,2.59,1.516,5.439,6.114,2.206
