"chromosome_name","start_position","end_position","strand","ensembl_gene_id","entrezgene","external_gene_id"
"13",23551994,23552136,-1,"ENSG00000223116",NA,"AL157931.1"
"13",23708313,23708703,1,"ENSG00000233440",NA,"HMGA1P6"
"13",23726725,23726825,-1,"ENSG00000207157",NA,"RNY3P4"
"13",23743974,23744736,-1,"ENSG00000229483",NA,"LINC00362"
"13",23791571,23791673,-1,"ENSG00000252952",100873766,"RNU6-58P"
"13",23817659,23821323,1,"ENSG00000235205",NA,"TATDN2P3"
"13",93708910,93710179,1,"ENSG00000232849",NA,"LINC00363"
"13",23841645,23843289,1,"ENSG00000236803",NA,"SDAD1P4"
"13",23947562,23948200,1,"ENSG00000232163",NA,"RPLP1P13"
"13",94021100,94021213,-1,"ENSG00000252365",NA,"SNORD22"
"13",23993110,24002818,1,"ENSG00000229558",100506680,"SACS-AS1"
"13",94047230,94048108,-1,"ENSG00000235784",NA,"HNRNPA1P29"
"13",94470677,94488397,-1,"ENSG00000224394",NA,"GPC6-AS2"
"13",94677724,94677852,-1,"ENSG00000212559",NA,"RNA5SP35"
"13",24040710,24061603,1,"ENSG00000232977",100506697,"LINC00327"
"13",94806447,94840245,-1,"ENSG00000236520",100873972,"GPC6-AS1"
"13",24072935,24077013,1,"ENSG00000227893",NA,"LINC00352"
"13",95117554,95117644,-1,"ENSG00000212057",NA,"AL139318.1"
"13",95303651,95303783,-1,"ENSG00000222129",NA,"RNA5SP36"
"13",24340073,24340243,-1,"ENSG00000232102",NA,"MTCO3P2"
"13",95351479,95351756,-1,"ENSG00000242037",NA,"RN7SL585P"
"13",95351948,95355116,-1,"ENSG00000238230",NA,"LINC00391"
"13",95364970,95368500,1,"ENSG00000227640",100507533,"SOX21-AS1"
"13",24463028,24471402,1,"ENSG00000205861",NA,"C1QTNF9B-AS1"
"13",95409705,95411526,-1,"ENSG00000235768",NA,"BRD7P5"
"13",95412807,95413269,-1,"ENSG00000237924",NA,"RPL21P112"
"13",95612295,95613573,1,"ENSG00000260962",NA,"LINC00557"
"13",95671489,95671590,1,"ENSG00000252335",NA,"RNU6-62P"
"13",95862598,95862702,1,"ENSG00000238463",NA,"snoU13"
"13",95963084,95963209,-1,"ENSG00000223298",NA,"RNY3P8"
"13",24513696,24520921,-1,"ENSG00000196593",NA,"ANKRD20A19P"
"13",95988360,95988455,-1,"ENSG00000200211",NA,"RNY4P27"
"13",96046303,96046708,1,"ENSG00000271492",NA,"MEMO1P5"
"13",96131698,96186164,-1,"ENSG00000223392",100874194,"CLDN10-AS1"
"13",24553949,24609166,1,"ENSG00000228741",221178,"RP11-309I15.1"
"13",96300987,96329179,-1,"ENSG00000247400",100289274,"DNAJC3-AS1"
"13",24696204,24697953,-1,"ENSG00000225674",NA,"IPO7P2"
"13",96344792,96346226,1,"ENSG00000229622",NA,"MTND5P2"
"13",24736555,24736643,1,"ENSG00000252695",100313842,"MIR2276"
"13",24826887,24828577,-1,"ENSG00000227213",100874231,"SPATA13-AS1"
"13",96346237,96346749,-1,"ENSG00000227714",NA,"MTND6P18"
"13",24889863,24895736,-1,"ENSG00000240868",NA,"C1QTNF9-AS1"
"13",96346823,96347959,1,"ENSG00000232373",NA,"MTCYBP3"
"13",24902349,24903210,1,"ENSG00000234627",NA,"NUS1P3"
"13",96366931,96367032,-1,"ENSG00000251901",NA,"snR65"
"13",24905588,24911259,1,"ENSG00000261498",NA,"LINC00566"
"13",96461564,96461861,-1,"ENSG00000226977",NA,"HMGN1P24"
"13",24974841,24975167,1,"ENSG00000233545",NA,"CYCSP33"
"13",96821799,96822099,1,"ENSG00000242614",NA,"RN7SL164P"
"13",97225913,97226753,1,"ENSG00000233273",NA,"AMMECR1LP1"
"13",24982295,25171814,1,"ENSG00000205822",NA,"TPTE2P6"
"13",97536096,97542067,-1,"ENSG00000235137",NA,"HSP90AB6P"
"13",97593535,97636426,-1,"ENSG00000243300",100887754,"LINC00359"
"13",25129366,25129451,-1,"ENSG00000266216",NA,"AL359538.2"
"13",25140981,25144866,1,"ENSG00000244615",NA,"PSPC1P2"
"13",97599891,97601181,-1,"ENSG00000234267",NA,"TULP3P1"
"13",25141011,25171814,1,"ENSG00000243008",NA,"RP11-556N21.1"
"13",97600272,97601838,1,"ENSG00000272329",NA,"RP11-65L19.4"
"13",25183217,25183313,1,"ENSG00000211508",NA,"AL359538.1"
"13",97601503,97601787,-1,"ENSG00000222472",NA,"RN7SKP7"
"13",25277694,25277803,-1,"ENSG00000207474",NA,"RNY1P7"
"13",97618195,97618268,-1,"ENSG00000252154",NA,"SNORD112"
"13",25278476,25278926,-1,"ENSG00000225404",NA,"RPL26P34"
"13",97709633,97709734,1,"ENSG00000238522",NA,"snoU13"
"13",97824723,97831876,-1,"ENSG00000233124",NA,"LINC00456"
"13",25316815,25320322,1,"ENSG00000231417",NA,"IRX1P1"
"13",98015226,98015355,-1,"ENSG00000202290",NA,"RNA5SP37"
"13",98127996,98128713,1,"ENSG00000271625",NA,"PSMA6P4"
"13",25324795,25326309,-1,"ENSG00000226695",NA,"ANKRD20A10P"
"13",98327265,98330217,-1,"ENSG00000226134",NA,"RP11-120E13.1"
"13",98538063,98538166,1,"ENSG00000238407",NA,"snoU13"
"13",98553907,98554542,1,"ENSG00000233291",NA,"RPL7AP61"
"13",98591610,98605793,1,"ENSG00000270725",NA,"RP11-383H17.4"
"13",25498815,25542625,-1,"ENSG00000253771",NA,"TPTE2P1"
"13",98639204,98639470,-1,"ENSG00000232217",NA,"FTLP8"
"13",98856089,98856446,-1,"ENSG00000222969",NA,"RN7SKP8"
"13",98860778,98860854,1,"ENSG00000263399",100422881,"MIR3170"
"13",98885904,98886954,1,"ENSG00000269189",NA,"RP11-573N10.1"
