	mean_treat	mean_ctrl	FoldChange	log2FoldChange	pvalue	padj
UBE2Q2P3	1.4073648418636	1.55956741219777	0.902407187311202	-0.148149536617705	0.075809482559835	0.11871071125254
LOC149767	2.99528317895096	3.0520428950071	0.981402713523785	-0.0270828345043561	0.000591317799292899	0.00180784795793242
TIMM23	3.39836534749893	3.37865380535748	1.00583414083745	0.0083924284845466	0.0280575065381553	0.0505975666772825
LOC155060	3.04892763579805	3.0303322110705	1.00613643106839	0.00882594637635857	0.363686882802839	0.446548918706242
SRP14P1	1.90570973945076	1.97558024387367	0.964632920054968	-0.0519480490529169	0.0548429556386977	0.0902024627245154
KIAA1618	3.29048548681797	3.37395526104246	0.975260556893484	-0.0361403848259953	3.76675556584753e-06	2.27015745700271e-05
LOC645851	1.81172781525547	1.91064912002489	0.948226336414855	-0.0766966312815534	0.122585847890413	0.178981898324707
HSPB1P1	3.3418700283726	3.25255279124881	1.02746065716876	0.0390831522580941	3.09113798849004e-08	3.30717130169124e-07
LOC100132347	3.36327195711019	3.34281650479649	1.00611922679105	0.00880127702034821	0.0948438355486817	0.143766655373823
EFCAB12	1.3990090279609	1.51944937942051	0.920734212609606	-0.119143339754037	0.0833402692062933	0.128939000803418
LOC147680	3.16106478299611	3.09218063329773	1.02227688413692	0.0317860037799098	0.000908721675890037	0.00260529638492459
GGACT	2.87305543855396	2.86536024042971	1.00268559534528	0.00386930171959198	0.749632851802406	0.800845445062384
A2M	3.9001731419519	3.98032506310764	0.979862971017456	-0.0293480853084818	1.86492879016997e-05	9.08268474855491e-05
P1	2.81399094138239	2.93387884925523	0.959136721714574	-0.0601916136581083	0.000457866068492372	0.00145431970778097
AAAS	3.43909750652419	3.42129226847682	1.00520424349928	0.00748866672361765	0.0407820654576783	0.0700155518667726
AACS	3.36282826973003	3.30591292916412	1.01721622492347	0.0246263787705759	2.91645423549698e-05	0.000133927225157568
AADAT	2.80539405568227	2.81588392510308	0.996274750771047	-0.00538443400649311	0.779615108658996	0.825530510551982
AAGAB	3.42423599071344	3.44948839132586	0.992679377998222	-0.0106002728680494	0.00190956130998927	0.00494814750576935
DKFZp686K16132	3.39100396597498	3.43526626408454	0.987115322450453	-0.0187094535609297	7.85102453092397e-07	5.74738633365867e-06
AAMP	3.64507473341949	3.62542759675557	1.00541926052571	0.00779723170188465	0.00243863534546085	0.00610578020451506
LOC221410	3.48680286867801	3.43869708045855	1.01398953937898	0.0200427691421293	6.14641064947369e-06	3.44984797585081e-05
AARSD1	3.37132526165793	3.34624940649953	1.00749371971787	0.0107708456414592	0.00691808783806334	0.0150712314259136
AARS	3.71826594660653	3.70303516206153	1.00411305425913	0.00592171314991816	0.0782104014968531	0.122062701611662
AASDHPPT	3.40751329237311	3.44443710306732	0.989280161144087	-0.015548949175433	0.00237045660707884	0.00595210859297036
AASDH	3.12885814568234	3.14582729761495	0.994605822148765	-0.0078032185822328	0.283470675038297	0.362810167817299
AASS	3.24815740237985	3.30559691439793	0.982623558314718	-0.0252892668951247	0.00525073236855948	0.0118687215752111
AATF	3.5755417756577	3.55315898025888	1.00629940723823	0.0090596183355353	0.00361268439963985	0.00858258916194942
