gene	r	p	direct
MS4A6A	0.649989357736921	5.77133670647836e-59	A
MEF2C	0.644377861207155	1.15425413525035e-57	A
TMEM176B	0.639574180179354	1.42736597052422e-56	A
CSF1R	0.638400777940526	2.6205012616132e-56	A
RASSF4	0.638363313784268	2.67171172619698e-56	A
TMEM176A	0.633368150008516	3.4444004574324e-55	A
ARHGEF6	0.632358380760299	5.7423822395156e-55	A
SPI1	0.62813583596863	4.76962420859692e-54	A
RNASE6	0.620280704372747	2.24711419203016e-52	A
LAPTM5	0.617810388227917	7.37977724196076e-52	A
LAIR1	0.617085857177149	1.0438461377745e-51	A
CD4	0.616253466417103	1.55297565558842e-51	A
STAC3	0.613524757671333	5.66419401719571e-51	A
CYBB	0.61263730580995	8.60452169031013e-51	A
IFFO1	0.612109894177775	1.10248302624215e-50	A
LRRC25	0.608219374957172	6.76396814968421e-50	A
HAVCR2	0.607523316308285	9.33266789246737e-50	A
TYROBP	0.605886441830846	1.98342151245923e-49	A
C1QC	0.603345725411599	6.33669628561432e-49	A
CD53	0.603135433266004	6.97288562927345e-49	A
GIMAP4	0.602451191602337	9.51462971383284e-49	A
SLCO2B1	0.60135555698113	1.56260032685792e-48	A
C3AR1	0.600321986125943	2.49078991472742e-48	A
FCER1G	0.597677243300747	8.14949867503695e-48	A
FERMT3	0.595734850459244	1.932758700249e-47	A
ITGB2	0.595443838514313	2.19860817737979e-47	A
SLAMF8	0.594713632110573	3.03624677853272e-47	A
CD300A	0.593928969228613	4.29123281290551e-47	A
WIPF1	0.592884891789659	6.78985478794321e-47	A
MS4A4A	0.59244719967605	8.22592361024937e-47	A
ABI3	0.592074621762488	9.68306002497512e-47	A
ENPP2	0.591815543471099	1.08445047989863e-46	A
C1QB	0.591227340344869	1.40197476944051e-46	A
FGL2	0.590956966328519	1.57735572833574e-46	A
CMKLR1	0.589899438838829	2.49854128597991e-46	A
MYO1F	0.586527544816871	1.07081805192647e-45	A
MS4A7	0.585940987403437	1.37691077456121e-45	A
FPR3	0.585851488512611	1.4306943074308e-45	A
AIF1	0.585783990469695	1.47263031073577e-45	A
TNFRSF1B	0.585061770269834	2.00521066028691e-45	A
NCKAP1L	0.584362933554096	2.70125956757487e-45	A
SYNPO2	0.582068155187017	7.14994901705177e-45	A
CTSS	0.581304831392387	9.86683253010403e-45	A
HLA-DPB1	0.579353308593714	2.23929414051153e-44	A
PDLIM3	0.578951389150167	2.64922615613694e-44	A
NEXN	0.578493349533511	3.20772989612711e-44	A
C1QA	0.576855437269664	6.34176751135538e-44	A
MNDA	0.576556897400241	7.17768623774147e-44	A
DUSP26	0.576438691618702	7.53808258741246e-44	A
TBXAS1	0.574266470432579	1.84805055428048e-43	A
SIGLEC10	0.573474874454566	2.55809435728864e-43	A
EVI2A	0.572727405508394	3.47453289104782e-43	A
TXLNB	0.572210141621748	4.29261443514864e-43	A
GPR34	0.571295850143681	6.23204622021803e-43	A
HLA-DMB	0.571185754502902	6.51767867013415e-43	A
APBB1IP	0.57036650416633	9.09257026510711e-43	A
IRF8	0.570314628555974	9.28600295428661e-43	A
MILR1	0.56997634040543	1.06513902358151e-42	A
LY86	0.569722489752323	1.18050502511468e-42	A
